commodity,day,hour,month,prices,region,timeslice,units_prices,year
electricity,all-week,night,all-year,19.50000000000,R1,0,MUS$2010/PJ,2020
gas,all-week,night,all-year,7.15280000000,R1,0,MUS$2010/PJ,2020
heat,all-week,night,all-year,100.00000000000,R1,0,MUS$2010/PJ,2020
CO2f,all-week,night,all-year,0.08310000000,R1,0,MUS$2010/kt,2020
electricity,all-week,morning,all-year,19.50000000000,R1,1,MUS$2010/PJ,2020
gas,all-week,morning,all-year,7.15280000000,R1,1,MUS$2010/PJ,2020
heat,all-week,morning,all-year,100.00000000000,R1,1,MUS$2010/PJ,2020
CO2f,all-week,morning,all-year,0.08310000000,R1,1,MUS$2010/kt,2020
electricity,all-week,afternoon,all-year,19.50000000000,R1,2,MUS$2010/PJ,2020
gas,all-week,afternoon,all-year,7.15280000000,R1,2,MUS$2010/PJ,2020
heat,all-week,afternoon,all-year,100.00000000000,R1,2,MUS$2010/PJ,2020
CO2f,all-week,afternoon,all-year,0.08310000000,R1,2,MUS$2010/kt,2020
electricity,all-week,early-peak,all-year,19.50000000000,R1,3,MUS$2010/PJ,2020
gas,all-week,early-peak,all-year,7.15280000000,R1,3,MUS$2010/PJ,2020
heat,all-week,early-peak,all-year,100.00000000000,R1,3,MUS$2010/PJ,2020
CO2f,all-week,early-peak,all-year,0.08310000000,R1,3,MUS$2010/kt,2020
electricity,all-week,late-peak,all-year,19.50000000000,R1,4,MUS$2010/PJ,2020
gas,all-week,late-peak,all-year,7.15280000000,R1,4,MUS$2010/PJ,2020
heat,all-week,late-peak,all-year,100.00000000000,R1,4,MUS$2010/PJ,2020
CO2f,all-week,late-peak,all-year,0.08310000000,R1,4,MUS$2010/kt,2020
electricity,all-week,evening,all-year,19.50000000000,R1,5,MUS$2010/PJ,2020
gas,all-week,evening,all-year,7.15280000000,R1,5,MUS$2010/PJ,2020
heat,all-week,evening,all-year,100.00000000000,R1,5,MUS$2010/PJ,2020
CO2f,all-week,evening,all-year,0.08310000000,R1,5,MUS$2010/kt,2020
electricity,all-week,night,all-year,0.63070000000,R1,0,MUS$2010/PJ,2025
gas,all-week,night,all-year,0.04700000000,R1,0,MUS$2010/PJ,2025
heat,all-week,night,all-year,1.15480000000,R1,0,MUS$2010/PJ,2025
CO2f,all-week,night,all-year,0.12010000000,R1,0,MUS$2010/kt,2025
electricity,all-week,morning,all-year,0.95050000000,R1,1,MUS$2010/PJ,2025
gas,all-week,morning,all-year,0.07090000000,R1,1,MUS$2010/PJ,2025
heat,all-week,morning,all-year,1.74030000000,R1,1,MUS$2010/PJ,2025
CO2f,all-week,morning,all-year,0.12010000000,R1,1,MUS$2010/kt,2025
electricity,all-week,afternoon,all-year,0.63070000000,R1,2,MUS$2010/PJ,2025
gas,all-week,afternoon,all-year,0.04700000000,R1,2,MUS$2010/PJ,2025
heat,all-week,afternoon,all-year,1.15480000000,R1,2,MUS$2010/PJ,2025
CO2f,all-week,afternoon,all-year,0.12010000000,R1,2,MUS$2010/kt,2025
electricity,all-week,early-peak,all-year,0.95050000000,R1,3,MUS$2010/PJ,2025
gas,all-week,early-peak,all-year,0.07090000000,R1,3,MUS$2010/PJ,2025
heat,all-week,early-peak,all-year,1.74030000000,R1,3,MUS$2010/PJ,2025
CO2f,all-week,early-peak,all-year,0.12010000000,R1,3,MUS$2010/kt,2025
electricity,all-week,late-peak,all-year,1.90100000000,R1,4,MUS$2010/PJ,2025
gas,all-week,late-peak,all-year,0.14170000000,R1,4,MUS$2010/PJ,2025
heat,all-week,late-peak,all-year,3.48050000000,R1,4,MUS$2010/PJ,2025
CO2f,all-week,late-peak,all-year,0.12010000000,R1,4,MUS$2010/kt,2025
electricity,all-week,evening,all-year,1.27030000000,R1,5,MUS$2010/PJ,2025
gas,all-week,evening,all-year,0.09470000000,R1,5,MUS$2010/PJ,2025
heat,all-week,evening,all-year,2.32580000000,R1,5,MUS$2010/PJ,2025
CO2f,all-week,evening,all-year,0.12010000000,R1,5,MUS$2010/kt,2025
electricity,all-week,night,all-year,0.73190000000,R1,0,MUS$2010/PJ,2030
gas,all-week,night,all-year,0.04700000000,R1,0,MUS$2010/PJ,2030
heat,all-week,night,all-year,0.04910000000,R1,0,MUS$2010/PJ,2030
CO2f,all-week,night,all-year,0.15700000000,R1,0,MUS$2010/kt,2030
electricity,all-week,morning,all-year,1.10550000000,R1,1,MUS$2010/PJ,2030
gas,all-week,morning,all-year,0.07090000000,R1,1,MUS$2010/PJ,2030
heat,all-week,morning,all-year,0.09310000000,R1,1,MUS$2010/PJ,2030
CO2f,all-week,morning,all-year,0.15700000000,R1,1,MUS$2010/kt,2030
electricity,all-week,afternoon,all-year,0.73190000000,R1,2,MUS$2010/PJ,2030
gas,all-week,afternoon,all-year,0.04700000000,R1,2,MUS$2010/PJ,2030
heat,all-week,afternoon,all-year,0.04910000000,R1,2,MUS$2010/PJ,2030
CO2f,all-week,afternoon,all-year,0.15700000000,R1,2,MUS$2010/kt,2030
electricity,all-week,early-peak,all-year,1.10550000000,R1,3,MUS$2010/PJ,2030
gas,all-week,early-peak,all-year,0.07090000000,R1,3,MUS$2010/PJ,2030
heat,all-week,early-peak,all-year,0.09310000000,R1,3,MUS$2010/PJ,2030
CO2f,all-week,early-peak,all-year,0.15700000000,R1,3,MUS$2010/kt,2030
electricity,all-week,late-peak,all-year,2.22630000000,R1,4,MUS$2010/PJ,2030
gas,all-week,late-peak,all-year,0.14170000000,R1,4,MUS$2010/PJ,2030
heat,all-week,late-peak,all-year,0.30040000000,R1,4,MUS$2010/PJ,2030
CO2f,all-week,late-peak,all-year,0.15700000000,R1,4,MUS$2010/kt,2030
electricity,all-week,evening,all-year,1.48090000000,R1,5,MUS$2010/PJ,2030
gas,all-week,evening,all-year,0.09470000000,R1,5,MUS$2010/PJ,2030
heat,all-week,evening,all-year,0.15010000000,R1,5,MUS$2010/PJ,2030
CO2f,all-week,evening,all-year,0.15700000000,R1,5,MUS$2010/kt,2030
electricity,all-week,night,all-year,0.86900000000,R1,0,MUS$2010/PJ,2035
gas,all-week,night,all-year,0.04700000000,R1,0,MUS$2010/PJ,2035
heat,all-week,night,all-year,0.05310000000,R1,0,MUS$2010/PJ,2035
CO2f,all-week,night,all-year,0.21490000000,R1,0,MUS$2010/kt,2035
electricity,all-week,morning,all-year,1.31190000000,R1,1,MUS$2010/PJ,2035
gas,all-week,morning,all-year,0.07090000000,R1,1,MUS$2010/PJ,2035
heat,all-week,morning,all-year,0.10250000000,R1,1,MUS$2010/PJ,2035
CO2f,all-week,morning,all-year,0.21490000000,R1,1,MUS$2010/kt,2035
electricity,all-week,afternoon,all-year,0.86900000000,R1,2,MUS$2010/PJ,2035
gas,all-week,afternoon,all-year,0.04700000000,R1,2,MUS$2010/PJ,2035
heat,all-week,afternoon,all-year,0.05310000000,R1,2,MUS$2010/PJ,2035
CO2f,all-week,afternoon,all-year,0.21490000000,R1,2,MUS$2010/kt,2035
electricity,all-week,early-peak,all-year,1.31190000000,R1,3,MUS$2010/PJ,2035
gas,all-week,early-peak,all-year,0.07090000000,R1,3,MUS$2010/PJ,2035
heat,all-week,early-peak,all-year,0.10250000000,R1,3,MUS$2010/PJ,2035
CO2f,all-week,early-peak,all-year,0.21490000000,R1,3,MUS$2010/kt,2035
electricity,all-week,late-peak,all-year,2.63740000000,R1,4,MUS$2010/PJ,2035
gas,all-week,late-peak,all-year,0.14170000000,R1,4,MUS$2010/PJ,2035
heat,all-week,late-peak,all-year,0.33950000000,R1,4,MUS$2010/PJ,2035
CO2f,all-week,late-peak,all-year,0.21490000000,R1,4,MUS$2010/kt,2035
electricity,all-week,evening,all-year,1.75640000000,R1,5,MUS$2010/PJ,2035
gas,all-week,evening,all-year,0.09470000000,R1,5,MUS$2010/PJ,2035
heat,all-week,evening,all-year,0.16700000000,R1,5,MUS$2010/PJ,2035
CO2f,all-week,evening,all-year,0.21490000000,R1,5,MUS$2010/kt,2035
electricity,all-week,night,all-year,1.07000000000,R1,0,MUS$2010/PJ,2040
gas,all-week,night,all-year,0.04700000000,R1,0,MUS$2010/PJ,2040
heat,all-week,night,all-year,0.05860000000,R1,0,MUS$2010/PJ,2040
CO2f,all-week,night,all-year,0.27280000000,R1,0,MUS$2010/kt,2040
electricity,all-week,morning,all-year,1.61470000000,R1,1,MUS$2010/PJ,2040
gas,all-week,morning,all-year,0.07090000000,R1,1,MUS$2010/PJ,2040
heat,all-week,morning,all-year,0.11480000000,R1,1,MUS$2010/PJ,2040
CO2f,all-week,morning,all-year,0.27280000000,R1,1,MUS$2010/kt,2040
electricity,all-week,afternoon,all-year,1.07000000000,R1,2,MUS$2010/PJ,2040
gas,all-week,afternoon,all-year,0.04700000000,R1,2,MUS$2010/PJ,2040
heat,all-week,afternoon,all-year,0.05860000000,R1,2,MUS$2010/PJ,2040
CO2f,all-week,afternoon,all-year,0.27280000000,R1,2,MUS$2010/kt,2040
electricity,all-week,early-peak,all-year,1.61470000000,R1,3,MUS$2010/PJ,2040
gas,all-week,early-peak,all-year,0.07090000000,R1,3,MUS$2010/PJ,2040
heat,all-week,early-peak,all-year,0.11480000000,R1,3,MUS$2010/PJ,2040
CO2f,all-week,early-peak,all-year,0.27280000000,R1,3,MUS$2010/kt,2040
electricity,all-week,late-peak,all-year,3.24300000000,R1,4,MUS$2010/PJ,2040
gas,all-week,late-peak,all-year,0.14170000000,R1,4,MUS$2010/PJ,2040
heat,all-week,late-peak,all-year,0.38880000000,R1,4,MUS$2010/PJ,2040
CO2f,all-week,late-peak,all-year,0.27280000000,R1,4,MUS$2010/kt,2040
electricity,all-week,evening,all-year,2.16110000000,R1,5,MUS$2010/PJ,2040
gas,all-week,evening,all-year,0.09470000000,R1,5,MUS$2010/PJ,2040
heat,all-week,evening,all-year,0.18910000000,R1,5,MUS$2010/PJ,2040
CO2f,all-week,evening,all-year,0.27280000000,R1,5,MUS$2010/kt,2040
electricity,all-week,night,all-year,1.28860000000,R1,0,MUS$2010/PJ,2045
gas,all-week,night,all-year,0.04700000000,R1,0,MUS$2010/PJ,2045
heat,all-week,night,all-year,0.06660000000,R1,0,MUS$2010/PJ,2045
CO2f,all-week,night,all-year,0.35390000000,R1,0,MUS$2010/kt,2045
electricity,all-week,morning,all-year,1.94410000000,R1,1,MUS$2010/PJ,2045
gas,all-week,morning,all-year,0.07090000000,R1,1,MUS$2010/PJ,2045
heat,all-week,morning,all-year,0.13300000000,R1,1,MUS$2010/PJ,2045
CO2f,all-week,morning,all-year,0.35390000000,R1,1,MUS$2010/kt,2045
electricity,all-week,afternoon,all-year,1.28860000000,R1,2,MUS$2010/PJ,2045
gas,all-week,afternoon,all-year,0.04700000000,R1,2,MUS$2010/PJ,2045
heat,all-week,afternoon,all-year,0.06660000000,R1,2,MUS$2010/PJ,2045
CO2f,all-week,afternoon,all-year,0.35390000000,R1,2,MUS$2010/kt,2045
electricity,all-week,early-peak,all-year,1.94410000000,R1,3,MUS$2010/PJ,2045
gas,all-week,early-peak,all-year,0.07090000000,R1,3,MUS$2010/PJ,2045
heat,all-week,early-peak,all-year,0.13300000000,R1,3,MUS$2010/PJ,2045
CO2f,all-week,early-peak,all-year,0.35390000000,R1,3,MUS$2010/kt,2045
electricity,all-week,late-peak,all-year,3.90090000000,R1,4,MUS$2010/PJ,2045
gas,all-week,late-peak,all-year,0.14170000000,R1,4,MUS$2010/PJ,2045
heat,all-week,late-peak,all-year,0.46150000000,R1,4,MUS$2010/PJ,2045
CO2f,all-week,late-peak,all-year,0.35390000000,R1,4,MUS$2010/kt,2045
electricity,all-week,evening,all-year,2.60100000000,R1,5,MUS$2010/PJ,2045
gas,all-week,evening,all-year,0.09470000000,R1,5,MUS$2010/PJ,2045
heat,all-week,evening,all-year,0.22160000000,R1,5,MUS$2010/PJ,2045
CO2f,all-week,evening,all-year,0.35390000000,R1,5,MUS$2010/kt,2045
electricity,all-week,night,all-year,1.55540000000,R1,0,MUS$2010/PJ,2050
gas,all-week,night,all-year,0.04700000000,R1,0,MUS$2010/PJ,2050
heat,all-week,night,all-year,0.07530000000,R1,0,MUS$2010/PJ,2050
CO2f,all-week,night,all-year,0.43510000000,R1,0,MUS$2010/kt,2050
electricity,all-week,morning,all-year,2.34620000000,R1,1,MUS$2010/PJ,2050
gas,all-week,morning,all-year,0.07090000000,R1,1,MUS$2010/PJ,2050
heat,all-week,morning,all-year,0.15280000000,R1,1,MUS$2010/PJ,2050
CO2f,all-week,morning,all-year,0.43510000000,R1,1,MUS$2010/kt,2050
electricity,all-week,afternoon,all-year,1.55540000000,R1,2,MUS$2010/PJ,2050
gas,all-week,afternoon,all-year,0.04700000000,R1,2,MUS$2010/PJ,2050
heat,all-week,afternoon,all-year,0.07530000000,R1,2,MUS$2010/PJ,2050
CO2f,all-week,afternoon,all-year,0.43510000000,R1,2,MUS$2010/kt,2050
electricity,all-week,early-peak,all-year,2.34620000000,R1,3,MUS$2010/PJ,2050
gas,all-week,early-peak,all-year,0.07090000000,R1,3,MUS$2010/PJ,2050
heat,all-week,early-peak,all-year,0.15280000000,R1,3,MUS$2010/PJ,2050
CO2f,all-week,early-peak,all-year,0.43510000000,R1,3,MUS$2010/kt,2050
electricity,all-week,late-peak,all-year,4.70510000000,R1,4,MUS$2010/PJ,2050
gas,all-week,late-peak,all-year,0.14170000000,R1,4,MUS$2010/PJ,2050
heat,all-week,late-peak,all-year,0.54050000000,R1,4,MUS$2010/PJ,2050
CO2f,all-week,late-peak,all-year,0.43510000000,R1,4,MUS$2010/kt,2050
electricity,all-week,evening,all-year,3.13840000000,R1,5,MUS$2010/PJ,2050
gas,all-week,evening,all-year,0.09470000000,R1,5,MUS$2010/PJ,2050
heat,all-week,evening,all-year,0.25690000000,R1,5,MUS$2010/PJ,2050
CO2f,all-week,evening,all-year,0.43510000000,R1,5,MUS$2010/kt,2050
