timeslice,commodity,year,asset,region,month,day,hour,technology,installed,supply
0,heat,2030,1,R1,all-year,all-week,night,heatpump,2020,0.62700000000
0,heat,2030,2,R1,all-year,all-week,night,heatpump,2025,0.34200000000
0,heat,2035,2,R1,all-year,all-week,night,heatpump,2025,0.33210000000
0,heat,2035,3,R1,all-year,all-week,night,heatpump,2030,0.66420000000
1,heat,2030,1,R1,all-year,all-week,morning,heatpump,2020,0.94490000000
1,heat,2030,2,R1,all-year,all-week,morning,heatpump,2025,0.51540000000
1,heat,2035,2,R1,all-year,all-week,morning,heatpump,2025,0.50050000000
1,heat,2035,3,R1,all-year,all-week,morning,heatpump,2030,1.00100000000
2,heat,2030,1,R1,all-year,all-week,afternoon,heatpump,2020,0.62700000000
2,heat,2030,2,R1,all-year,all-week,afternoon,heatpump,2025,0.34200000000
2,heat,2035,2,R1,all-year,all-week,afternoon,heatpump,2025,0.33210000000
2,heat,2035,3,R1,all-year,all-week,afternoon,heatpump,2030,0.66420000000
3,heat,2030,1,R1,all-year,all-week,early-peak,heatpump,2020,0.94490000000
3,heat,2030,2,R1,all-year,all-week,early-peak,heatpump,2025,0.51540000000
3,heat,2035,2,R1,all-year,all-week,early-peak,heatpump,2025,0.50050000000
3,heat,2035,3,R1,all-year,all-week,early-peak,heatpump,2030,1.00100000000
4,heat,2030,1,R1,all-year,all-week,late-peak,heatpump,2020,1.88980000000
4,heat,2030,2,R1,all-year,all-week,late-peak,heatpump,2025,1.03080000000
4,heat,2035,2,R1,all-year,all-week,late-peak,heatpump,2025,1.00100000000
4,heat,2035,3,R1,all-year,all-week,late-peak,heatpump,2030,2.00190000000
5,heat,2030,1,R1,all-year,all-week,evening,heatpump,2020,1.26280000000
5,heat,2030,2,R1,all-year,all-week,evening,heatpump,2025,0.68880000000
5,heat,2035,2,R1,all-year,all-week,evening,heatpump,2025,0.66890000000
5,heat,2035,3,R1,all-year,all-week,evening,heatpump,2030,1.33780000000
