,agent,asset,category,comm_usage,commodity,dst_region,index,installed,region,sector,supply,technology,timeslice,units_prices,year
0,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,4,2020.00000000000,R1,residential,0.71071071071,gasboiler,"('all-year', 'all-week', 'night')",MUS$2010/PJ,2020.00000000000
1,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,6,2020.00000000000,R1,residential,45.99009009009,gasboiler,"('all-year', 'all-week', 'night')",MUS$2010/kt,2020.00000000000
2,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,12,2020.00000000000,R1,residential,1.07107107107,gasboiler,"('all-year', 'all-week', 'morning')",MUS$2010/PJ,2020.00000000000
3,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,14,2020.00000000000,R1,residential,69.30900900901,gasboiler,"('all-year', 'all-week', 'morning')",MUS$2010/kt,2020.00000000000
4,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,20,2020.00000000000,R1,residential,0.71071071071,gasboiler,"('all-year', 'all-week', 'mid-afternoon')",MUS$2010/PJ,2020.00000000000
5,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,22,2020.00000000000,R1,residential,45.99009009009,gasboiler,"('all-year', 'all-week', 'mid-afternoon')",MUS$2010/kt,2020.00000000000
6,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,28,2020.00000000000,R1,residential,1.07107107107,gasboiler,"('all-year', 'all-week', 'early-peak')",MUS$2010/PJ,2020.00000000000
7,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,30,2020.00000000000,R1,residential,69.30900900901,gasboiler,"('all-year', 'all-week', 'early-peak')",MUS$2010/kt,2020.00000000000
8,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,36,2020.00000000000,R1,residential,2.14214214214,gasboiler,"('all-year', 'all-week', 'late-peak')",MUS$2010/PJ,2020.00000000000
9,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,38,2020.00000000000,R1,residential,138.61801801802,gasboiler,"('all-year', 'all-week', 'late-peak')",MUS$2010/kt,2020.00000000000
10,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,44,2020.00000000000,R1,residential,1.43143143143,gasboiler,"('all-year', 'all-week', 'evening')",MUS$2010/PJ,2020.00000000000
11,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,46,2020.00000000000,R1,residential,92.62792792793,gasboiler,"('all-year', 'all-week', 'evening')",MUS$2010/kt,2020.00000000000
12,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,52,2020.00000000000,R1,residential,1.43143143143,gasboiler,"('all-year', 'all-week', 'early-morning')",MUS$2010/PJ,2020.00000000000
13,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,54,2020.00000000000,R1,residential,92.62792792793,gasboiler,"('all-year', 'all-week', 'early-morning')",MUS$2010/kt,2020.00000000000
14,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,heat,R1,60,2020.00000000000,R1,residential,1.43143143143,gasboiler,"('all-year', 'all-week', 'late-afternoon')",MUS$2010/PJ,2020.00000000000
15,A1,0.00000000000,retrofit,CommodityUsage.ENVIRONMENTAL|PRODUCT,CO2f,R1,62,2020.00000000000,R1,residential,92.62792792793,gasboiler,"('all-year', 'all-week', 'late-afternoon')",MUS$2010/kt,2020.00000000000
0,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,gas,R1,0,2020.00000000000,R1,gas,0.82442442442,gassupply1,"('all-year', 'all-week', 'night')",MUS$2010/PJ,2020.00000000000
1,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,gas,R1,1,2020.00000000000,R1,gas,1.24244244244,gassupply1,"('all-year', 'all-week', 'morning')",MUS$2010/PJ,2020.00000000000
2,A1,0.00000000000,retrofit,CommodityUsage.ENERGY|PRODUCT,gas,R1,2,2020.00000000000,R1,gas,0.82442442442,gassupply1,"('all-year', 'all-week', 'mid-afternoon')",MUS$2010/PJ,2020.00000000000
