asset,year,region,installed,technology,capacity
0,2040,R1,2020,gasCCGT,2338.48380000000
0,2045,R1,2020,gasCCGT,2338.48380000000
0,2049,R1,2020,gasCCGT,2338.48380000000
0,2050,R1,2020,gasCCGT,2338.48380000000
0,2054,R1,2020,gasCCGT,2338.48380000000
0,2055,R1,2020,gasCCGT,2338.48380000000
0,2059,R1,2020,gasCCGT,2338.48380000000
1,2040,R1,2020,windturbine,60.00000000000
1,2045,R1,2020,windturbine,60.00000000000
1,2049,R1,2020,windturbine,60.00000000000
2,2040,R1,2025,gasCCGT,120.48390000000
2,2045,R1,2025,gasCCGT,120.48390000000
2,2049,R1,2025,gasCCGT,120.48390000000
2,2050,R1,2025,gasCCGT,120.48390000000
2,2054,R1,2025,gasCCGT,120.48390000000
2,2055,R1,2025,gasCCGT,120.48390000000
2,2059,R1,2025,gasCCGT,120.48390000000
2,2060,R1,2025,gasCCGT,120.48390000000
2,2064,R1,2025,gasCCGT,120.48390000000
3,2040,R1,2025,windturbine,60.00000000000
3,2045,R1,2025,windturbine,60.00000000000
3,2049,R1,2025,windturbine,60.00000000000
3,2050,R1,2025,windturbine,60.00000000000
3,2054,R1,2025,windturbine,60.00000000000
4,2040,R1,2035,gasCCGT,43.67800000000
4,2045,R1,2035,gasCCGT,43.67800000000
4,2049,R1,2035,gasCCGT,43.67800000000
4,2050,R1,2035,gasCCGT,43.67800000000
4,2054,R1,2035,gasCCGT,43.67800000000
4,2055,R1,2035,gasCCGT,43.67800000000
4,2059,R1,2035,gasCCGT,43.67800000000
4,2060,R1,2035,gasCCGT,43.67800000000
4,2064,R1,2035,gasCCGT,43.67800000000
4,2065,R1,2035,gasCCGT,43.67800000000
4,2074,R1,2035,gasCCGT,43.67800000000
5,2040,R1,2035,windturbine,60.00000000000
5,2045,R1,2035,windturbine,60.00000000000
5,2049,R1,2035,windturbine,60.00000000000
5,2050,R1,2035,windturbine,60.00000000000
5,2054,R1,2035,windturbine,60.00000000000
5,2055,R1,2035,windturbine,60.00000000000
5,2059,R1,2035,windturbine,60.00000000000
5,2060,R1,2035,windturbine,60.00000000000
5,2064,R1,2035,windturbine,60.00000000000
