agent,capacity,dst_region,index,installed,region,sector,technology,type,year
A1,10.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2020
A1,1.00000000000,R1,0,2020,R1,power,gasCCGT,retrofit,2020
A1,15.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2020
A1,5.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2025
A1,19.00000000000,R1,16,2020,R1,residential,heatpump,retrofit,2025
A1,1.00000000000,R1,0,2020,R1,power,gasCCGT,retrofit,2025
A1,1.10000000000,R1,9,2020,R1,power,windturbine,retrofit,2025
A1,71.09630000000,R1,0,2020,R1,gas,gassupply1,retrofit,2025
A1,3.10000000000,R1,1,2025,R1,residential,gasboiler,retrofit,2030
A1,19.00000000000,R1,24,2020,R1,residential,heatpump,retrofit,2030
A1,7.90000000000,R1,25,2025,R1,residential,heatpump,retrofit,2030
A1,1.10000000000,R1,12,2020,R1,power,windturbine,retrofit,2030
A1,1.61000000000,R1,13,2025,R1,power,windturbine,retrofit,2030
A1,63.59630000000,R1,0,2020,R1,gas,gassupply1,retrofit,2030
A1,3.10000000000,R1,0,2025,R1,residential,gasboiler,retrofit,2035
A1,7.90000000000,R1,21,2025,R1,residential,heatpump,retrofit,2035
A1,25.00000000000,R1,22,2030,R1,residential,heatpump,retrofit,2035
A1,1.10000000000,R1,11,2020,R1,power,windturbine,retrofit,2035
A1,1.61000000000,R1,12,2025,R1,power,windturbine,retrofit,2035
A1,1.74170000000,R1,13,2030,R1,power,windturbine,retrofit,2035
A1,56.09630000000,R1,0,2020,R1,gas,gassupply1,retrofit,2035
A1,25.00000000000,R1,21,2030,R1,residential,heatpump,retrofit,2040
A1,17.00000000000,R1,22,2035,R1,residential,heatpump,retrofit,2040
A1,1.10000000000,R1,12,2020,R1,power,windturbine,retrofit,2040
A1,1.61000000000,R1,13,2025,R1,power,windturbine,retrofit,2040
A1,1.74170000000,R1,14,2030,R1,power,windturbine,retrofit,2040
A1,2.05810000000,R1,15,2035,R1,power,windturbine,retrofit,2040
A1,56.09630000000,R1,0,2020,R1,gas,gassupply1,retrofit,2040
A1,17.00000000000,R1,21,2035,R1,residential,heatpump,retrofit,2045
A1,31.00000000000,R1,22,2040,R1,residential,heatpump,retrofit,2045
A1,1.10000000000,R1,13,2020,R1,power,windturbine,retrofit,2045
A1,1.61000000000,R1,14,2025,R1,power,windturbine,retrofit,2045
A1,1.74170000000,R1,15,2030,R1,power,windturbine,retrofit,2045
A1,2.05810000000,R1,16,2035,R1,power,windturbine,retrofit,2045
A1,2.11500000000,R1,17,2040,R1,power,windturbine,retrofit,2045
A1,56.09630000000,R1,0,2020,R1,gas,gassupply1,retrofit,2045
A1,31.00000000000,R1,21,2040,R1,residential,heatpump,retrofit,2050
A1,23.00000000000,R1,22,2045,R1,residential,heatpump,retrofit,2050
A1,1.61000000000,R1,30,2025,R1,power,windturbine,retrofit,2050
A1,1.74170000000,R1,31,2030,R1,power,windturbine,retrofit,2050
A1,2.05810000000,R1,32,2035,R1,power,windturbine,retrofit,2050
A1,2.11500000000,R1,33,2040,R1,power,windturbine,retrofit,2050
A1,2.34590000000,R1,34,2045,R1,power,windturbine,retrofit,2050
A1,56.09630000000,R1,0,2020,R1,gas,gassupply1,retrofit,2050
