timeslice,asset,year,commodity,region,installed,technology,month,day,hour,supply
0,0,2030,electricity,R1,2020,windturbine,all-year,all-week,night,1.10000000000
0,0,2035,electricity,R1,2020,windturbine,all-year,all-week,night,1.10000000000
0,1,2030,electricity,R1,2025,windturbine,all-year,all-week,night,1.54330000000
0,1,2035,electricity,R1,2025,windturbine,all-year,all-week,night,1.54330000000
0,2,2035,electricity,R1,2030,windturbine,all-year,all-week,night,1.68610000000
1,0,2030,electricity,R1,2020,windturbine,all-year,all-week,morning,1.10000000000
1,0,2035,electricity,R1,2020,windturbine,all-year,all-week,morning,1.10000000000
1,1,2030,electricity,R1,2025,windturbine,all-year,all-week,morning,1.54330000000
1,1,2035,electricity,R1,2025,windturbine,all-year,all-week,morning,1.54330000000
1,2,2035,electricity,R1,2030,windturbine,all-year,all-week,morning,1.68610000000
2,0,2030,electricity,R1,2020,windturbine,all-year,all-week,afternoon,1.10000000000
2,0,2035,electricity,R1,2020,windturbine,all-year,all-week,afternoon,1.10000000000
2,1,2030,electricity,R1,2025,windturbine,all-year,all-week,afternoon,1.54330000000
2,1,2035,electricity,R1,2025,windturbine,all-year,all-week,afternoon,1.54330000000
2,2,2035,electricity,R1,2030,windturbine,all-year,all-week,afternoon,1.68610000000
3,0,2030,electricity,R1,2020,windturbine,all-year,all-week,early-peak,1.10000000000
3,0,2035,electricity,R1,2020,windturbine,all-year,all-week,early-peak,1.10000000000
3,1,2030,electricity,R1,2025,windturbine,all-year,all-week,early-peak,1.54330000000
3,1,2035,electricity,R1,2025,windturbine,all-year,all-week,early-peak,1.54330000000
3,2,2035,electricity,R1,2030,windturbine,all-year,all-week,early-peak,1.68610000000
4,0,2030,electricity,R1,2020,windturbine,all-year,all-week,late-peak,1.10000000000
4,0,2035,electricity,R1,2020,windturbine,all-year,all-week,late-peak,1.10000000000
4,1,2030,electricity,R1,2025,windturbine,all-year,all-week,late-peak,1.54330000000
4,1,2035,electricity,R1,2025,windturbine,all-year,all-week,late-peak,1.54330000000
4,2,2035,electricity,R1,2030,windturbine,all-year,all-week,late-peak,1.68610000000
5,0,2030,electricity,R1,2020,windturbine,all-year,all-week,evening,1.10000000000
5,0,2035,electricity,R1,2020,windturbine,all-year,all-week,evening,1.10000000000
5,1,2030,electricity,R1,2025,windturbine,all-year,all-week,evening,1.54330000000
5,1,2035,electricity,R1,2025,windturbine,all-year,all-week,evening,1.54330000000
5,2,2035,electricity,R1,2030,windturbine,all-year,all-week,evening,1.68610000000
