,timeslice,asset,year,commodity,region,installed,technology,comm_usage,month,day,hour,supply
0,0,1,2050,electricity,R1,2025,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,1.54330000000
1,0,2,2050,electricity,R1,2030,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,1.68610000000
2,0,2,2055,electricity,R1,2030,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,1.68610000000
3,0,3,2050,electricity,R1,2035,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,2.01780000000
4,0,3,2055,electricity,R1,2035,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,2.01780000000
5,0,4,2050,electricity,R1,2040,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,2.08150000000
6,0,4,2055,electricity,R1,2040,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,2.08150000000
7,0,5,2050,electricity,R1,2045,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,2.37860000000
8,0,5,2055,electricity,R1,2045,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,2.37860000000
9,0,6,2055,electricity,R1,2050,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,2.23940000000
10,1,1,2050,electricity,R1,2025,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,1.54330000000
11,1,2,2050,electricity,R1,2030,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,1.68610000000
12,1,2,2055,electricity,R1,2030,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,1.68610000000
13,1,3,2050,electricity,R1,2035,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,2.01780000000
14,1,3,2055,electricity,R1,2035,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,2.01780000000
15,1,4,2050,electricity,R1,2040,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,2.08150000000
16,1,4,2055,electricity,R1,2040,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,2.08150000000
17,1,5,2050,electricity,R1,2045,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,2.37860000000
18,1,5,2055,electricity,R1,2045,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,2.37860000000
19,1,6,2055,electricity,R1,2050,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,2.23940000000
20,2,1,2050,electricity,R1,2025,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,1.54330000000
21,2,2,2050,electricity,R1,2030,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,1.68610000000
22,2,2,2055,electricity,R1,2030,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,1.68610000000
23,2,3,2050,electricity,R1,2035,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,2.01780000000
24,2,3,2055,electricity,R1,2035,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,2.01780000000
25,2,4,2050,electricity,R1,2040,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,2.08150000000
26,2,4,2055,electricity,R1,2040,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,2.08150000000
27,2,5,2050,electricity,R1,2045,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,2.37860000000
28,2,5,2055,electricity,R1,2045,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,2.37860000000
29,2,6,2055,electricity,R1,2050,windturbine,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,2.23940000000
