timeslice,commodity,year,asset,region,month,day,hour,technology,installed,supply
0,heat,2035,2,R1,all-year,all-week,night,heatpump,2025,0.55560000000
0,heat,2035,3,R1,all-year,all-week,night,heatpump,2030,1.44440000000
0,heat,2040,3,R1,all-year,all-week,night,heatpump,2030,1.44440000000
0,heat,2040,4,R1,all-year,all-week,night,heatpump,2035,0.88890000000
1,heat,2035,2,R1,all-year,all-week,morning,heatpump,2025,0.83330000000
1,heat,2035,3,R1,all-year,all-week,morning,heatpump,2030,2.16670000000
1,heat,2040,3,R1,all-year,all-week,morning,heatpump,2030,2.16670000000
1,heat,2040,4,R1,all-year,all-week,morning,heatpump,2035,1.33330000000
2,heat,2035,2,R1,all-year,all-week,afternoon,heatpump,2025,0.55560000000
2,heat,2035,3,R1,all-year,all-week,afternoon,heatpump,2030,1.44440000000
2,heat,2040,3,R1,all-year,all-week,afternoon,heatpump,2030,1.44440000000
2,heat,2040,4,R1,all-year,all-week,afternoon,heatpump,2035,0.88890000000
3,heat,2035,2,R1,all-year,all-week,early-peak,heatpump,2025,0.83330000000
3,heat,2035,3,R1,all-year,all-week,early-peak,heatpump,2030,2.16670000000
3,heat,2040,3,R1,all-year,all-week,early-peak,heatpump,2030,2.16670000000
3,heat,2040,4,R1,all-year,all-week,early-peak,heatpump,2035,1.33330000000
4,heat,2035,2,R1,all-year,all-week,late-peak,heatpump,2025,1.66670000000
4,heat,2035,3,R1,all-year,all-week,late-peak,heatpump,2030,4.33330000000
4,heat,2040,3,R1,all-year,all-week,late-peak,heatpump,2030,4.33330000000
4,heat,2040,4,R1,all-year,all-week,late-peak,heatpump,2035,2.66670000000
5,heat,2035,2,R1,all-year,all-week,evening,heatpump,2025,1.11110000000
5,heat,2035,3,R1,all-year,all-week,evening,heatpump,2030,2.88890000000
5,heat,2040,3,R1,all-year,all-week,evening,heatpump,2030,2.88890000000
5,heat,2040,4,R1,all-year,all-week,evening,heatpump,2035,1.77780000000
