commodity,day,hour,month,region,supply,timeslice,units_prices,year
electricity,all-week,night,all-year,R1,0.20000000000,0,MUS$2010/PJ,2020
gas,all-week,night,all-year,R1,1.16730000000,0,MUS$2010/PJ,2020
heat,all-week,night,all-year,R1,1.00000000000,0,MUS$2010/PJ,2020
CO2f,all-week,night,all-year,R1,83.04400000000,0,MUS$2010/kt,2020
electricity,all-week,morning,all-year,R1,0.40000000000,1,MUS$2010/PJ,2020
gas,all-week,morning,all-year,R1,1.88150000000,1,MUS$2010/PJ,2020
heat,all-week,morning,all-year,R1,1.50000000000,1,MUS$2010/PJ,2020
CO2f,all-week,morning,all-year,R1,133.73300000000,1,MUS$2010/kt,2020
electricity,all-week,afternoon,all-year,R1,0.60000000000,2,MUS$2010/PJ,2020
gas,all-week,afternoon,all-year,R1,1.68930000000,2,MUS$2010/PJ,2020
heat,all-week,afternoon,all-year,R1,1.00000000000,2,MUS$2010/PJ,2020
CO2f,all-week,afternoon,all-year,R1,119.71200000000,2,MUS$2010/kt,2020
electricity,all-week,early-peak,all-year,R1,0.40000000000,3,MUS$2010/PJ,2020
gas,all-week,early-peak,all-year,R1,1.88150000000,3,MUS$2010/PJ,2020
heat,all-week,early-peak,all-year,R1,1.50000000000,3,MUS$2010/PJ,2020
CO2f,all-week,early-peak,all-year,R1,133.73300000000,3,MUS$2010/kt,2020
electricity,all-week,late-peak,all-year,R1,0.80000000000,4,MUS$2010/PJ,2020
gas,all-week,late-peak,all-year,R1,3.76290000000,4,MUS$2010/PJ,2020
heat,all-week,late-peak,all-year,R1,3.00000000000,4,MUS$2010/PJ,2020
CO2f,all-week,late-peak,all-year,R1,267.46600000000,4,MUS$2010/kt,2020
electricity,all-week,evening,all-year,R1,1.00000000000,5,MUS$2010/PJ,2020
gas,all-week,evening,all-year,R1,3.11750000000,5,MUS$2010/PJ,2020
heat,all-week,evening,all-year,R1,2.00000000000,5,MUS$2010/PJ,2020
CO2f,all-week,evening,all-year,R1,221.09000000000,5,MUS$2010/kt,2020
electricity,all-week,night,all-year,R1,0.42220000000,0,MUS$2010/PJ,2025
gas,all-week,night,all-year,R1,1.02730000000,0,MUS$2010/PJ,2025
heat,all-week,night,all-year,R1,1.33330000000,0,MUS$2010/PJ,2025
CO2f,all-week,night,all-year,R1,56.68010000000,0,MUS$2010/kt,2025
electricity,all-week,morning,all-year,R1,0.63330000000,1,MUS$2010/PJ,2025
gas,all-week,morning,all-year,R1,1.54100000000,1,MUS$2010/PJ,2025
heat,all-week,morning,all-year,R1,2.00000000000,1,MUS$2010/PJ,2025
CO2f,all-week,morning,all-year,R1,85.02020000000,1,MUS$2010/kt,2025
electricity,all-week,afternoon,all-year,R1,0.60000000000,2,MUS$2010/PJ,2025
gas,all-week,afternoon,all-year,R1,1.32420000000,2,MUS$2010/PJ,2025
heat,all-week,afternoon,all-year,R1,1.33330000000,2,MUS$2010/PJ,2025
CO2f,all-week,afternoon,all-year,R1,72.97700000000,2,MUS$2010/kt,2025
electricity,all-week,early-peak,all-year,R1,0.63330000000,3,MUS$2010/PJ,2025
gas,all-week,early-peak,all-year,R1,1.54100000000,3,MUS$2010/PJ,2025
heat,all-week,early-peak,all-year,R1,2.00000000000,3,MUS$2010/PJ,2025
CO2f,all-week,early-peak,all-year,R1,85.02020000000,3,MUS$2010/kt,2025
electricity,all-week,late-peak,all-year,R1,1.26670000000,4,MUS$2010/PJ,2025
gas,all-week,late-peak,all-year,R1,3.08200000000,4,MUS$2010/PJ,2025
heat,all-week,late-peak,all-year,R1,4.00000000000,4,MUS$2010/PJ,2025
CO2f,all-week,late-peak,all-year,R1,170.04030000000,4,MUS$2010/kt,2025
electricity,all-week,evening,all-year,R1,1.00000000000,5,MUS$2010/PJ,2025
gas,all-week,evening,all-year,R1,2.31440000000,5,MUS$2010/PJ,2025
heat,all-week,evening,all-year,R1,2.66670000000,5,MUS$2010/PJ,2025
CO2f,all-week,evening,all-year,R1,127.62000000000,5,MUS$2010/kt,2025
electricity,all-week,night,all-year,R1,0.66670000000,0,MUS$2010/PJ,2030
heat,all-week,night,all-year,R1,1.66670000000,0,MUS$2010/PJ,2030
electricity,all-week,morning,all-year,R1,0.50000000000,1,MUS$2010/PJ,2030
heat,all-week,morning,all-year,R1,2.50000000000,1,MUS$2010/PJ,2030
electricity,all-week,afternoon,all-year,R1,0.50000000000,2,MUS$2010/PJ,2030
heat,all-week,afternoon,all-year,R1,1.66670000000,2,MUS$2010/PJ,2030
electricity,all-week,early-peak,all-year,R1,1.00000000000,3,MUS$2010/PJ,2030
heat,all-week,early-peak,all-year,R1,2.50000000000,3,MUS$2010/PJ,2030
electricity,all-week,late-peak,all-year,R1,1.00000000000,4,MUS$2010/PJ,2030
heat,all-week,late-peak,all-year,R1,5.00000000000,4,MUS$2010/PJ,2030
electricity,all-week,evening,all-year,R1,1.00000000000,5,MUS$2010/PJ,2030
heat,all-week,evening,all-year,R1,3.33330000000,5,MUS$2010/PJ,2030
electricity,all-week,night,all-year,R1,0.80000000000,0,MUS$2010/PJ,2035
heat,all-week,night,all-year,R1,2.00000000000,0,MUS$2010/PJ,2035
electricity,all-week,morning,all-year,R1,1.00000000000,1,MUS$2010/PJ,2035
heat,all-week,morning,all-year,R1,3.00000000000,1,MUS$2010/PJ,2035
electricity,all-week,afternoon,all-year,R1,0.80000000000,2,MUS$2010/PJ,2035
heat,all-week,afternoon,all-year,R1,2.00000000000,2,MUS$2010/PJ,2035
