timeslice,asset,year,commodity,region,installed,technology,month,day,hour,consumption
0,0,2025,gas,R1,2020,gasCCGT,all-year,all-week,night,1.67000000000
0,1,2030,wind,R1,2020,windturbine,all-year,all-week,night,0.42740000000
1,0,2025,gas,R1,2020,gasCCGT,all-year,all-week,morning,3.34000000000
1,1,2030,wind,R1,2020,windturbine,all-year,all-week,morning,0.64100000000
2,0,2025,gas,R1,2020,gasCCGT,all-year,all-week,afternoon,5.01000000000
2,1,2030,wind,R1,2020,windturbine,all-year,all-week,afternoon,0.42740000000
3,0,2025,gas,R1,2020,gasCCGT,all-year,all-week,early-peak,3.34000000000
3,1,2030,wind,R1,2020,windturbine,all-year,all-week,early-peak,0.64100000000
4,0,2025,gas,R1,2020,gasCCGT,all-year,all-week,late-peak,8.35000000000
4,1,2030,wind,R1,2020,windturbine,all-year,all-week,late-peak,1.28210000000
5,0,2025,gas,R1,2020,gasCCGT,all-year,all-week,evening,10.02000000000
5,1,2030,wind,R1,2020,windturbine,all-year,all-week,evening,0.85470000000
