timeslice,asset,year,commodity,region,technology,installed,comm_usage,month,day,hour,consumption
0,3,2030,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,night,1.10000000000
0,3,2035,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,night,1.10000000000
0,4,2030,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,night,1.69900000000
0,4,2035,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,night,1.69900000000
0,5,2035,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,night,3.05370000000
1,3,2030,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,morning,0.55000000000
1,3,2035,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,morning,0.55000000000
1,4,2030,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,morning,0.84950000000
1,4,2035,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,morning,0.84950000000
1,5,2035,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,morning,1.52680000000
2,3,2030,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,afternoon,0.55000000000
2,3,2035,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,afternoon,0.55000000000
2,4,2030,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,afternoon,0.84950000000
2,4,2035,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,afternoon,0.84950000000
2,5,2035,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,afternoon,1.52680000000
3,3,2030,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,early-peak,1.10000000000
3,3,2035,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,early-peak,1.10000000000
3,4,2030,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,early-peak,1.69900000000
3,4,2035,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,early-peak,1.69900000000
3,5,2035,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,early-peak,3.05370000000
4,3,2030,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,late-peak,1.10000000000
4,3,2035,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,late-peak,1.10000000000
4,4,2030,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,late-peak,1.69900000000
4,4,2035,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,late-peak,1.69900000000
4,5,2035,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,late-peak,3.05370000000
5,3,2030,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,evening,1.10000000000
5,3,2035,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,evening,1.10000000000
5,4,2030,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,evening,1.69900000000
5,4,2035,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,evening,1.69900000000
5,5,2035,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,evening,3.05370000000
