timeslice,asset,year,commodity,region,installed,technology,month,day,hour,supply
0,0,2020,electricity,R1,2020,gasCCGT,all-year,all-week,night,0.20000000000
0,0,2020,CO2f,R1,2020,gasCCGT,all-year,all-week,night,18.33400000000
0,0,2025,electricity,R1,2020,gasCCGT,all-year,all-week,night,0.20000000000
0,0,2025,CO2f,R1,2020,gasCCGT,all-year,all-week,night,18.33400000000
0,1,2025,electricity,R1,2020,windturbine,all-year,all-week,night,0.22220000000
1,0,2020,electricity,R1,2020,gasCCGT,all-year,all-week,morning,0.40000000000
1,0,2020,CO2f,R1,2020,gasCCGT,all-year,all-week,morning,36.66800000000
1,0,2025,electricity,R1,2020,gasCCGT,all-year,all-week,morning,0.40000000000
1,0,2025,CO2f,R1,2020,gasCCGT,all-year,all-week,morning,36.66800000000
1,1,2025,electricity,R1,2020,windturbine,all-year,all-week,morning,0.23330000000
2,0,2020,electricity,R1,2020,gasCCGT,all-year,all-week,afternoon,0.60000000000
2,0,2020,CO2f,R1,2020,gasCCGT,all-year,all-week,afternoon,55.00200000000
2,0,2025,electricity,R1,2020,gasCCGT,all-year,all-week,afternoon,0.60000000000
2,0,2025,CO2f,R1,2020,gasCCGT,all-year,all-week,afternoon,55.00200000000
3,0,2020,electricity,R1,2020,gasCCGT,all-year,all-week,early-peak,0.40000000000
3,0,2020,CO2f,R1,2020,gasCCGT,all-year,all-week,early-peak,36.66800000000
3,0,2025,electricity,R1,2020,gasCCGT,all-year,all-week,early-peak,0.40000000000
3,0,2025,CO2f,R1,2020,gasCCGT,all-year,all-week,early-peak,36.66800000000
3,1,2025,electricity,R1,2020,windturbine,all-year,all-week,early-peak,0.23330000000
4,0,2020,electricity,R1,2020,gasCCGT,all-year,all-week,late-peak,0.80000000000
4,0,2020,CO2f,R1,2020,gasCCGT,all-year,all-week,late-peak,73.33600000000
4,0,2025,electricity,R1,2020,gasCCGT,all-year,all-week,late-peak,0.80000000000
4,0,2025,CO2f,R1,2020,gasCCGT,all-year,all-week,late-peak,73.33600000000
4,1,2025,electricity,R1,2020,windturbine,all-year,all-week,late-peak,0.46670000000
5,0,2020,electricity,R1,2020,gasCCGT,all-year,all-week,evening,1.00000000000
5,0,2020,CO2f,R1,2020,gasCCGT,all-year,all-week,evening,91.67000000000
5,0,2025,electricity,R1,2020,gasCCGT,all-year,all-week,evening,1.00000000000
5,0,2025,CO2f,R1,2020,gasCCGT,all-year,all-week,evening,91.67000000000
