timeslice,asset,year,commodity,month,day,hour,region,technology,installed,supply
0,0,2035,electricity,all-year,all-week,night,R1,windturbine,2020,0.19320000000
0,0,2040,electricity,all-year,all-week,night,R1,windturbine,2020,0.17460000000
0,1,2035,electricity,all-year,all-week,night,R1,windturbine,2025,0.26380000000
0,1,2040,electricity,all-year,all-week,night,R1,windturbine,2025,0.23840000000
0,2,2035,electricity,all-year,all-week,night,R1,windturbine,2030,0.25190000000
0,2,2040,electricity,all-year,all-week,night,R1,windturbine,2030,0.22760000000
0,3,2040,electricity,all-year,all-week,night,R1,windturbine,2035,0.27240000000
1,0,2035,electricity,all-year,all-week,morning,R1,windturbine,2020,0.28990000000
1,0,2040,electricity,all-year,all-week,morning,R1,windturbine,2020,0.26200000000
1,1,2035,electricity,all-year,all-week,morning,R1,windturbine,2025,0.39570000000
1,1,2040,electricity,all-year,all-week,morning,R1,windturbine,2025,0.35760000000
1,2,2035,electricity,all-year,all-week,morning,R1,windturbine,2030,0.37780000000
1,2,2040,electricity,all-year,all-week,morning,R1,windturbine,2030,0.34150000000
1,3,2040,electricity,all-year,all-week,morning,R1,windturbine,2035,0.40870000000
2,0,2035,electricity,all-year,all-week,afternoon,R1,windturbine,2020,0.19320000000
2,0,2040,electricity,all-year,all-week,afternoon,R1,windturbine,2020,0.17460000000
2,1,2035,electricity,all-year,all-week,afternoon,R1,windturbine,2025,0.26380000000
2,1,2040,electricity,all-year,all-week,afternoon,R1,windturbine,2025,0.23840000000
2,2,2035,electricity,all-year,all-week,afternoon,R1,windturbine,2030,0.25190000000
2,2,2040,electricity,all-year,all-week,afternoon,R1,windturbine,2030,0.22760000000
2,3,2040,electricity,all-year,all-week,afternoon,R1,windturbine,2035,0.27240000000
3,0,2035,electricity,all-year,all-week,early-peak,R1,windturbine,2020,0.28990000000
3,0,2040,electricity,all-year,all-week,early-peak,R1,windturbine,2020,0.26200000000
3,1,2035,electricity,all-year,all-week,early-peak,R1,windturbine,2025,0.39570000000
3,1,2040,electricity,all-year,all-week,early-peak,R1,windturbine,2025,0.35760000000
3,2,2035,electricity,all-year,all-week,early-peak,R1,windturbine,2030,0.37780000000
3,2,2040,electricity,all-year,all-week,early-peak,R1,windturbine,2030,0.34150000000
3,3,2040,electricity,all-year,all-week,early-peak,R1,windturbine,2035,0.40870000000
4,0,2035,electricity,all-year,all-week,late-peak,R1,windturbine,2020,0.57970000000
4,0,2040,electricity,all-year,all-week,late-peak,R1,windturbine,2020,0.52390000000
4,1,2035,electricity,all-year,all-week,late-peak,R1,windturbine,2025,0.79130000000
4,1,2040,electricity,all-year,all-week,late-peak,R1,windturbine,2025,0.71520000000
4,2,2035,electricity,all-year,all-week,late-peak,R1,windturbine,2030,0.75560000000
4,2,2040,electricity,all-year,all-week,late-peak,R1,windturbine,2030,0.68290000000
4,3,2040,electricity,all-year,all-week,late-peak,R1,windturbine,2035,0.81730000000
5,0,2035,electricity,all-year,all-week,evening,R1,windturbine,2020,0.38650000000
5,0,2040,electricity,all-year,all-week,evening,R1,windturbine,2020,0.34930000000
5,1,2035,electricity,all-year,all-week,evening,R1,windturbine,2025,0.52750000000
5,1,2040,electricity,all-year,all-week,evening,R1,windturbine,2025,0.47680000000
5,2,2035,electricity,all-year,all-week,evening,R1,windturbine,2030,0.50380000000
5,2,2040,electricity,all-year,all-week,evening,R1,windturbine,2030,0.45530000000
5,3,2040,electricity,all-year,all-week,evening,R1,windturbine,2035,0.54490000000
