timeslice,asset,year,commodity,region,technology,installed,month,day,hour,supply
0,0,2040,electricity,R1,windturbine,2020,all-year,all-week,night,0.15690000000
0,0,2045,electricity,R1,windturbine,2020,all-year,all-week,night,0.13580000000
0,1,2040,electricity,R1,windturbine,2025,all-year,all-week,night,0.23120000000
0,1,2045,electricity,R1,windturbine,2025,all-year,all-week,night,0.20020000000
0,2,2040,electricity,R1,windturbine,2030,all-year,all-week,night,0.23870000000
0,2,2045,electricity,R1,windturbine,2030,all-year,all-week,night,0.20660000000
0,3,2040,electricity,R1,windturbine,2035,all-year,all-week,night,0.28630000000
0,3,2045,electricity,R1,windturbine,2035,all-year,all-week,night,0.24780000000
0,4,2045,electricity,R1,windturbine,2040,all-year,all-week,night,0.25590000000
1,0,2040,electricity,R1,windturbine,2020,all-year,all-week,morning,0.23540000000
1,0,2045,electricity,R1,windturbine,2020,all-year,all-week,morning,0.20380000000
1,1,2040,electricity,R1,windturbine,2025,all-year,all-week,morning,0.34690000000
1,1,2045,electricity,R1,windturbine,2025,all-year,all-week,morning,0.30030000000
1,2,2040,electricity,R1,windturbine,2030,all-year,all-week,morning,0.35800000000
1,2,2045,electricity,R1,windturbine,2030,all-year,all-week,morning,0.30990000000
1,3,2040,electricity,R1,windturbine,2035,all-year,all-week,morning,0.42940000000
1,3,2045,electricity,R1,windturbine,2035,all-year,all-week,morning,0.37180000000
1,4,2045,electricity,R1,windturbine,2040,all-year,all-week,morning,0.38390000000
2,0,2040,electricity,R1,windturbine,2020,all-year,all-week,afternoon,0.15690000000
2,0,2045,electricity,R1,windturbine,2020,all-year,all-week,afternoon,0.13580000000
2,1,2040,electricity,R1,windturbine,2025,all-year,all-week,afternoon,0.23120000000
2,1,2045,electricity,R1,windturbine,2025,all-year,all-week,afternoon,0.20020000000
2,2,2040,electricity,R1,windturbine,2030,all-year,all-week,afternoon,0.23870000000
2,2,2045,electricity,R1,windturbine,2030,all-year,all-week,afternoon,0.20660000000
2,3,2040,electricity,R1,windturbine,2035,all-year,all-week,afternoon,0.28630000000
2,3,2045,electricity,R1,windturbine,2035,all-year,all-week,afternoon,0.24780000000
2,4,2045,electricity,R1,windturbine,2040,all-year,all-week,afternoon,0.25590000000
3,0,2040,electricity,R1,windturbine,2020,all-year,all-week,early-peak,0.23540000000
3,0,2045,electricity,R1,windturbine,2020,all-year,all-week,early-peak,0.20380000000
3,1,2040,electricity,R1,windturbine,2025,all-year,all-week,early-peak,0.34690000000
3,1,2045,electricity,R1,windturbine,2025,all-year,all-week,early-peak,0.30030000000
3,2,2040,electricity,R1,windturbine,2030,all-year,all-week,early-peak,0.35800000000
3,2,2045,electricity,R1,windturbine,2030,all-year,all-week,early-peak,0.30990000000
3,3,2040,electricity,R1,windturbine,2035,all-year,all-week,early-peak,0.42940000000
3,3,2045,electricity,R1,windturbine,2035,all-year,all-week,early-peak,0.37180000000
3,4,2045,electricity,R1,windturbine,2040,all-year,all-week,early-peak,0.38390000000
4,0,2040,electricity,R1,windturbine,2020,all-year,all-week,late-peak,0.47070000000
4,0,2045,electricity,R1,windturbine,2020,all-year,all-week,late-peak,0.40750000000
4,1,2040,electricity,R1,windturbine,2025,all-year,all-week,late-peak,0.69370000000
4,1,2045,electricity,R1,windturbine,2025,all-year,all-week,late-peak,0.60060000000
4,2,2040,electricity,R1,windturbine,2030,all-year,all-week,late-peak,0.71600000000
4,2,2045,electricity,R1,windturbine,2030,all-year,all-week,late-peak,0.61990000000
4,3,2040,electricity,R1,windturbine,2035,all-year,all-week,late-peak,0.85890000000
4,3,2045,electricity,R1,windturbine,2035,all-year,all-week,late-peak,0.74350000000
4,4,2045,electricity,R1,windturbine,2040,all-year,all-week,late-peak,0.76780000000
5,0,2040,electricity,R1,windturbine,2020,all-year,all-week,evening,0.31380000000
5,0,2045,electricity,R1,windturbine,2020,all-year,all-week,evening,0.27170000000
5,1,2040,electricity,R1,windturbine,2025,all-year,all-week,evening,0.46250000000
5,1,2045,electricity,R1,windturbine,2025,all-year,all-week,evening,0.40040000000
5,2,2040,electricity,R1,windturbine,2030,all-year,all-week,evening,0.47730000000
5,2,2045,electricity,R1,windturbine,2030,all-year,all-week,evening,0.41320000000
5,3,2040,electricity,R1,windturbine,2035,all-year,all-week,evening,0.57260000000
5,3,2045,electricity,R1,windturbine,2035,all-year,all-week,evening,0.49570000000
5,4,2045,electricity,R1,windturbine,2040,all-year,all-week,evening,0.51190000000
