month,day,hour,region,technology,installed,supply
all-year,all-week,night,R1,windturbine,2025,0.21330000000
all-year,all-week,night,R1,windturbine,2025,0.17140000000
all-year,all-week,night,R1,windturbine,2030,0.21330000000
all-year,all-week,night,R1,windturbine,2030,0.17140000000
all-year,all-week,night,R1,windturbine,2035,0.21330000000
all-year,all-week,night,R1,windturbine,2035,0.17140000000
all-year,all-week,night,R1,windturbine,2040,0.42670000000
all-year,all-week,night,R1,windturbine,2040,0.34290000000
all-year,all-week,night,R1,windturbine,2045,0.34290000000
all-year,all-week,morning,R1,windturbine,2025,0.32000000000
all-year,all-week,morning,R1,windturbine,2025,0.25710000000
all-year,all-week,morning,R1,windturbine,2030,0.32000000000
all-year,all-week,morning,R1,windturbine,2030,0.25710000000
all-year,all-week,morning,R1,windturbine,2035,0.32000000000
all-year,all-week,morning,R1,windturbine,2035,0.25710000000
all-year,all-week,morning,R1,windturbine,2040,0.64000000000
all-year,all-week,morning,R1,windturbine,2040,0.51430000000
all-year,all-week,morning,R1,windturbine,2045,0.51430000000
all-year,all-week,afternoon,R1,windturbine,2025,0.21330000000
all-year,all-week,afternoon,R1,windturbine,2025,0.17140000000
all-year,all-week,afternoon,R1,windturbine,2030,0.21330000000
all-year,all-week,afternoon,R1,windturbine,2030,0.17140000000
all-year,all-week,afternoon,R1,windturbine,2035,0.21330000000
all-year,all-week,afternoon,R1,windturbine,2035,0.17140000000
all-year,all-week,afternoon,R1,windturbine,2040,0.42670000000
all-year,all-week,afternoon,R1,windturbine,2040,0.34290000000
all-year,all-week,afternoon,R1,windturbine,2045,0.34290000000
all-year,all-week,early-peak,R1,windturbine,2025,0.32000000000
all-year,all-week,early-peak,R1,windturbine,2025,0.25710000000
all-year,all-week,early-peak,R1,windturbine,2030,0.32000000000
all-year,all-week,early-peak,R1,windturbine,2030,0.25710000000
all-year,all-week,early-peak,R1,windturbine,2035,0.32000000000
all-year,all-week,early-peak,R1,windturbine,2035,0.25710000000
all-year,all-week,early-peak,R1,windturbine,2040,0.64000000000
all-year,all-week,early-peak,R1,windturbine,2040,0.51430000000
all-year,all-week,early-peak,R1,windturbine,2045,0.51430000000
all-year,all-week,late-peak,R1,windturbine,2025,0.64000000000
all-year,all-week,late-peak,R1,windturbine,2025,0.51430000000
all-year,all-week,late-peak,R1,windturbine,2030,0.64000000000
all-year,all-week,late-peak,R1,windturbine,2030,0.51430000000
all-year,all-week,late-peak,R1,windturbine,2035,0.64000000000
all-year,all-week,late-peak,R1,windturbine,2035,0.51430000000
all-year,all-week,late-peak,R1,windturbine,2040,1.28000000000
all-year,all-week,late-peak,R1,windturbine,2040,1.02860000000
all-year,all-week,late-peak,R1,windturbine,2045,1.02860000000
all-year,all-week,evening,R1,windturbine,2025,0.42670000000
all-year,all-week,evening,R1,windturbine,2025,0.34290000000
all-year,all-week,evening,R1,windturbine,2030,0.42670000000
all-year,all-week,evening,R1,windturbine,2030,0.34290000000
all-year,all-week,evening,R1,windturbine,2035,0.42670000000
all-year,all-week,evening,R1,windturbine,2035,0.34290000000
all-year,all-week,evening,R1,windturbine,2040,0.85330000000
all-year,all-week,evening,R1,windturbine,2040,0.68570000000
all-year,all-week,evening,R1,windturbine,2045,0.68570000000
