timeslice,commodity,year,asset,region,installed,technology,month,day,hour,supply
0,heat,2025,0,R1,2020,gasboiler,all-year,all-week,night,0.50520000000
0,heat,2025,1,R1,2020,heatpump,all-year,all-week,night,0.82820000000
0,heat,2030,0,R1,2020,gasboiler,all-year,all-week,night,0.59830000000
0,heat,2030,1,R1,2020,heatpump,all-year,all-week,night,1.06840000000
0,CO2f,2025,0,R1,2020,gasboiler,all-year,all-week,night,32.68990000000
0,CO2f,2030,0,R1,2020,gasboiler,all-year,all-week,night,38.71540000000
1,heat,2025,0,R1,2020,gasboiler,all-year,all-week,morning,0.75780000000
1,heat,2025,1,R1,2020,heatpump,all-year,all-week,morning,1.24220000000
1,heat,2030,0,R1,2020,gasboiler,all-year,all-week,morning,0.89740000000
1,heat,2030,1,R1,2020,heatpump,all-year,all-week,morning,1.60260000000
1,CO2f,2025,0,R1,2020,gasboiler,all-year,all-week,morning,49.03490000000
1,CO2f,2030,0,R1,2020,gasboiler,all-year,all-week,morning,58.07310000000
2,heat,2025,0,R1,2020,gasboiler,all-year,all-week,afternoon,0.50520000000
2,heat,2025,1,R1,2020,heatpump,all-year,all-week,afternoon,0.82820000000
2,heat,2030,0,R1,2020,gasboiler,all-year,all-week,afternoon,0.59830000000
2,heat,2030,1,R1,2020,heatpump,all-year,all-week,afternoon,1.06840000000
2,CO2f,2025,0,R1,2020,gasboiler,all-year,all-week,afternoon,32.68990000000
2,CO2f,2030,0,R1,2020,gasboiler,all-year,all-week,afternoon,38.71540000000
3,heat,2025,0,R1,2020,gasboiler,all-year,all-week,early-peak,0.75780000000
3,heat,2025,1,R1,2020,heatpump,all-year,all-week,early-peak,1.24220000000
3,heat,2030,0,R1,2020,gasboiler,all-year,all-week,early-peak,0.89740000000
3,heat,2030,1,R1,2020,heatpump,all-year,all-week,early-peak,1.60260000000
3,CO2f,2025,0,R1,2020,gasboiler,all-year,all-week,early-peak,49.03490000000
3,CO2f,2030,0,R1,2020,gasboiler,all-year,all-week,early-peak,58.07310000000
4,heat,2025,0,R1,2020,gasboiler,all-year,all-week,late-peak,1.51550000000
4,heat,2025,1,R1,2020,heatpump,all-year,all-week,late-peak,2.48450000000
4,heat,2030,0,R1,2020,gasboiler,all-year,all-week,late-peak,1.79490000000
4,heat,2030,1,R1,2020,heatpump,all-year,all-week,late-peak,3.20510000000
4,CO2f,2025,0,R1,2020,gasboiler,all-year,all-week,late-peak,98.06980000000
4,CO2f,2030,0,R1,2020,gasboiler,all-year,all-week,late-peak,116.14620000000
5,heat,2025,0,R1,2020,gasboiler,all-year,all-week,evening,1.01040000000
5,heat,2025,1,R1,2020,heatpump,all-year,all-week,evening,1.65630000000
5,heat,2030,0,R1,2020,gasboiler,all-year,all-week,evening,1.19660000000
5,heat,2030,1,R1,2020,heatpump,all-year,all-week,evening,2.13680000000
5,CO2f,2025,0,R1,2020,gasboiler,all-year,all-week,evening,65.37990000000
5,CO2f,2030,0,R1,2020,gasboiler,all-year,all-week,evening,77.43080000000
