region,timeslice,commodity,year,month,day,hour,supply
R1,0,heat,2040,all-year,all-week,night,2.33330000000
R1,0,heat,2045,all-year,all-week,night,2.66670000000
R1,0,CO2f,2040,all-year,all-week,night,75.49500000000
R1,0,CO2f,2045,all-year,all-week,night,86.28000000000
R1,1,heat,2040,all-year,all-week,morning,3.50000000000
R1,1,heat,2045,all-year,all-week,morning,4.00000000000
R1,1,CO2f,2040,all-year,all-week,morning,113.24250000000
R1,1,CO2f,2045,all-year,all-week,morning,129.42000000000
R1,2,heat,2040,all-year,all-week,afternoon,2.33330000000
R1,2,heat,2045,all-year,all-week,afternoon,2.66670000000
R1,2,CO2f,2040,all-year,all-week,afternoon,75.49500000000
R1,2,CO2f,2045,all-year,all-week,afternoon,86.28000000000
R1,3,heat,2040,all-year,all-week,early-peak,3.50000000000
R1,3,heat,2045,all-year,all-week,early-peak,4.00000000000
R1,3,CO2f,2040,all-year,all-week,early-peak,113.24250000000
R1,3,CO2f,2045,all-year,all-week,early-peak,129.42000000000
R1,4,heat,2040,all-year,all-week,late-peak,7.00000000000
R1,4,heat,2045,all-year,all-week,late-peak,8.00000000000
R1,4,CO2f,2040,all-year,all-week,late-peak,226.48500000000
R1,4,CO2f,2045,all-year,all-week,late-peak,258.84000000000
R1,5,heat,2040,all-year,all-week,evening,4.66670000000
R1,5,heat,2045,all-year,all-week,evening,5.33330000000
R1,5,CO2f,2040,all-year,all-week,evening,150.99000000000
R1,5,CO2f,2045,all-year,all-week,evening,172.56000000000
