region,month,day,hour,technology,installed,supply
R1,all-year,all-week,night,heatpump,2040,1.77780000000
R1,all-year,all-week,night,heatpump,2045,1.22220000000
R1,all-year,all-week,night,heatpump,2045,1.22220000000
R1,all-year,all-week,night,heatpump,2050,1.77780000000
R1,all-year,all-week,morning,heatpump,2040,2.66670000000
R1,all-year,all-week,morning,heatpump,2045,1.83330000000
R1,all-year,all-week,morning,heatpump,2045,1.83330000000
R1,all-year,all-week,morning,heatpump,2050,2.66670000000
R1,all-year,all-week,afternoon,heatpump,2040,1.77780000000
R1,all-year,all-week,afternoon,heatpump,2045,1.22220000000
R1,all-year,all-week,afternoon,heatpump,2045,1.22220000000
R1,all-year,all-week,afternoon,heatpump,2050,1.77780000000
R1,all-year,all-week,early-peak,heatpump,2040,2.66670000000
R1,all-year,all-week,early-peak,heatpump,2045,1.83330000000
R1,all-year,all-week,early-peak,heatpump,2045,1.83330000000
R1,all-year,all-week,early-peak,heatpump,2050,2.66670000000
R1,all-year,all-week,late-peak,heatpump,2040,5.33330000000
R1,all-year,all-week,late-peak,heatpump,2045,3.66670000000
R1,all-year,all-week,late-peak,heatpump,2045,3.66670000000
R1,all-year,all-week,late-peak,heatpump,2050,5.33330000000
R1,all-year,all-week,evening,heatpump,2040,3.55560000000
R1,all-year,all-week,evening,heatpump,2045,2.44440000000
R1,all-year,all-week,evening,heatpump,2045,2.44440000000
R1,all-year,all-week,evening,heatpump,2050,3.55560000000
