,year,dst_region,asset,region,technology,installed,capacity
0,2020,R1,0,R1,gasCCGT,2010,240.00000000000
3,2020,R2,1,R2,gasCCGT,2010,200.00000000000
4,2025,R1,0,R1,gasCCGT,2010,192.00000000000
7,2025,R2,1,R2,gasCCGT,2010,140.00000000000
8,2030,R1,0,R1,gasCCGT,2010,153.60000000000
11,2030,R2,1,R2,gasCCGT,2010,98.00000000000
12,2035,R1,0,R1,gasCCGT,2010,122.88000000000
15,2035,R2,1,R2,gasCCGT,2010,68.60000000000
16,2040,R1,0,R1,gasCCGT,2010,98.30400000000
19,2040,R2,1,R2,gasCCGT,2010,48.02000000000
20,2045,R1,0,R1,gasCCGT,2010,78.64320000000
23,2045,R2,1,R2,gasCCGT,2010,33.61400000000
24,2050,R1,0,R1,gasCCGT,2010,62.91460000000
27,2050,R2,1,R2,gasCCGT,2010,23.52980000000
