,asset,year,region,installed,technology,capacity
18,2,2035,R1,2025,heatpump,4.00000000000
19,2,2039,R1,2025,heatpump,4.00000000000
34,4,2035,R1,2030,heatpump,64.00000000000
35,4,2039,R1,2030,heatpump,64.00000000000
36,4,2040,R1,2030,heatpump,64.00000000000
37,4,2044,R1,2030,heatpump,64.00000000000
58,7,2035,R2,2025,heatpump,4.00000000000
59,7,2039,R2,2025,heatpump,4.00000000000
74,9,2035,R2,2030,heatpump,64.00000000000
75,9,2039,R2,2030,heatpump,64.00000000000
76,9,2040,R2,2030,heatpump,64.00000000000
77,9,2044,R2,2030,heatpump,64.00000000000
