timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,heat,4,2040,heatpump,2030,all-year,all-week,night,2.33330000000
0,heat,5,2045,heatpump,2040,all-year,all-week,night,2.66670000000
0,heat,6,2040,heatpump,2030,all-year,all-week,night,2.33330000000
0,heat,7,2045,heatpump,2040,all-year,all-week,night,2.66670000000
1,heat,4,2040,heatpump,2030,all-year,all-week,morning,3.50000000000
1,heat,5,2045,heatpump,2040,all-year,all-week,morning,4.00000000000
1,heat,6,2040,heatpump,2030,all-year,all-week,morning,3.50000000000
1,heat,7,2045,heatpump,2040,all-year,all-week,morning,4.00000000000
2,heat,4,2040,heatpump,2030,all-year,all-week,afternoon,2.33330000000
2,heat,5,2045,heatpump,2040,all-year,all-week,afternoon,2.66670000000
2,heat,6,2040,heatpump,2030,all-year,all-week,afternoon,2.33330000000
2,heat,7,2045,heatpump,2040,all-year,all-week,afternoon,2.66670000000
3,heat,4,2040,heatpump,2030,all-year,all-week,early-peak,3.50000000000
3,heat,5,2045,heatpump,2040,all-year,all-week,early-peak,4.00000000000
3,heat,6,2040,heatpump,2030,all-year,all-week,early-peak,3.50000000000
3,heat,7,2045,heatpump,2040,all-year,all-week,early-peak,4.00000000000
4,heat,4,2040,heatpump,2030,all-year,all-week,late-peak,7.00000000000
4,heat,5,2045,heatpump,2040,all-year,all-week,late-peak,8.00000000000
4,heat,6,2040,heatpump,2030,all-year,all-week,late-peak,7.00000000000
4,heat,7,2045,heatpump,2040,all-year,all-week,late-peak,8.00000000000
5,heat,4,2040,heatpump,2030,all-year,all-week,evening,4.66670000000
5,heat,5,2045,heatpump,2040,all-year,all-week,evening,5.33330000000
5,heat,6,2040,heatpump,2030,all-year,all-week,evening,4.66670000000
5,heat,7,2045,heatpump,2040,all-year,all-week,evening,5.33330000000
