ProcessName,RegionName,Time,Parameter,Unit,R1,R2
gasCCGT,R1,2020,cap_par,MUSD/PJ,28.29,56.58
windturbine,R1,2020,cap_par,MUSD/PJ,43.2,0
solarPV,R1,2020,cap_par,MUSD/PJ,43.2,0
gasCCGT,R2,2020,cap_par,MUSD/PJ,57.08,28.54
windturbine,R2,2020,cap_par,MUSD/PJ,0,43.57
solarPV,R2,2020,cap_par,MUSD/PJ,0,43.57
gasCCGT,R1,2020,fix_par,MUSD/PJ,2.829,5.658
windturbine,R1,2020,fix_par,MUSD/PJ,0,0
solarPV,R1,2020,fix_par,MUSD/PJ,0,0
gasCCGT,R2,2020,fix_par,MUSD/PJ,5.708,2.854
windturbine,R2,2020,fix_par,MUSD/PJ,0,0
solarPV,R2,2020,fix_par,MUSD/PJ,0,0
gasCCGT,R1,2020,MaxCapacityAddition,PJ/y,40000,40000
windturbine,R1,2020,MaxCapacityAddition,PJ/y,40000,40000
solarPV,R1,2020,MaxCapacityAddition,PJ/y,40000,40000
gasCCGT,R2,2020,MaxCapacityAddition,PJ/y,40000,40000
windturbine,R2,2020,MaxCapacityAddition,PJ/y,40000,40000
solarPV,R2,2020,MaxCapacityAddition,PJ/y,40000,40000
gasCCGT,R1,2020,MaxCapacityGrowth,PJ/y,10,10
windturbine,R1,2020,MaxCapacityGrowth,PJ/y,10,10
solarPV,R1,2020,MaxCapacityGrowth,PJ/y,10,10
gasCCGT,R2,2020,MaxCapacityGrowth,PJ/y,10,10
windturbine,R2,2020,MaxCapacityGrowth,PJ/y,10,10
solarPV,R2,2020,MaxCapacityGrowth,PJ/y,10,10
gasCCGT,R1,2020,TotalCapacityLimit,PJ/y,40000,40000
windturbine,R1,2020,TotalCapacityLimit,PJ/y,40000,40000
solarPV,R1,2020,TotalCapacityLimit,PJ/y,40000,40000
gasCCGT,R2,2020,TotalCapacityLimit,PJ/y,40000,40000
windturbine,R2,2020,TotalCapacityLimit,PJ/y,40000,40000
solarPV,R2,2020,TotalCapacityLimit,PJ/y,40000,40000
gasCCGT,R1,2040,cap_par,MUSD/PJ,28.29,56.58
windturbine,R1,2040,cap_par,MUSD/PJ,43.2,0
solarPV,R1,2040,cap_par,MUSD/PJ,43.2,0
gasCCGT,R2,2040,cap_par,MUSD/PJ,57.08,28.54
windturbine,R2,2040,cap_par,MUSD/PJ,0,43.57
solarPV,R2,2040,cap_par,MUSD/PJ,0,43.57
gasCCGT,R1,2040,fix_par,MUSD/PJ,2.829,5.658
windturbine,R1,2040,fix_par,MUSD/PJ,0,0
solarPV,R1,2040,fix_par,MUSD/PJ,0,0
gasCCGT,R2,2040,fix_par,MUSD/PJ,5.708,2.854
windturbine,R2,2040,fix_par,MUSD/PJ,0,0
solarPV,R2,2040,fix_par,MUSD/PJ,0,0
gasCCGT,R1,2040,MaxCapacityAddition,PJ/y,40000,40000
windturbine,R1,2040,MaxCapacityAddition,PJ/y,40000,40000
solarPV,R1,2040,MaxCapacityAddition,PJ/y,40000,40000
gasCCGT,R2,2040,MaxCapacityAddition,PJ/y,40000,40000
windturbine,R2,2040,MaxCapacityAddition,PJ/y,40000,40000
solarPV,R2,2040,MaxCapacityAddition,PJ/y,40000,40000
gasCCGT,R1,2040,MaxCapacityGrowth,PJ/y,10,10
windturbine,R1,2040,MaxCapacityGrowth,PJ/y,10,10
solarPV,R1,2040,MaxCapacityGrowth,PJ/y,10,10
gasCCGT,R2,2040,MaxCapacityGrowth,PJ/y,10,10
windturbine,R2,2040,MaxCapacityGrowth,PJ/y,10,10
solarPV,R2,2040,MaxCapacityGrowth,PJ/y,10,10
gasCCGT,R1,2040,TotalCapacityLimit,PJ/y,40000,40000
windturbine,R1,2040,TotalCapacityLimit,PJ/y,40000,40000
solarPV,R1,2040,TotalCapacityLimit,PJ/y,40000,40000
gasCCGT,R2,2040,TotalCapacityLimit,PJ/y,40000,40000
windturbine,R2,2040,TotalCapacityLimit,PJ/y,40000,40000
solarPV,R2,2040,TotalCapacityLimit,PJ/y,40000,40000
