timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,heat,2,2050,2040,gasboiler,all-year,all-week,night,3.00000000000
0,heat,3,2050,2040,heatpump,all-year,all-week,night,3.00000000000
0,heat,4,2055,2050,gasboiler,all-year,all-week,night,3.00000000000
0,heat,5,2055,2050,heatpump,all-year,all-week,night,3.00000000000
0,heat,8,2050,2040,gasboiler,all-year,all-week,night,3.00000000000
0,heat,9,2050,2040,heatpump,all-year,all-week,night,3.00000000000
0,heat,10,2055,2050,gasboiler,all-year,all-week,night,3.00000000000
0,heat,11,2055,2050,heatpump,all-year,all-week,night,3.00000000000
0,CO2f,2,2050,2040,gasboiler,all-year,all-week,night,194.13000000000
0,CO2f,4,2055,2050,gasboiler,all-year,all-week,night,194.13000000000
0,CO2f,8,2050,2040,gasboiler,all-year,all-week,night,194.13000000000
0,CO2f,10,2055,2050,gasboiler,all-year,all-week,night,194.13000000000
1,heat,2,2050,2040,gasboiler,all-year,all-week,morning,4.50000000000
1,heat,3,2050,2040,heatpump,all-year,all-week,morning,4.50000000000
1,heat,4,2055,2050,gasboiler,all-year,all-week,morning,4.50000000000
1,heat,5,2055,2050,heatpump,all-year,all-week,morning,4.50000000000
1,heat,8,2050,2040,gasboiler,all-year,all-week,morning,4.50000000000
1,heat,9,2050,2040,heatpump,all-year,all-week,morning,4.50000000000
1,heat,10,2055,2050,gasboiler,all-year,all-week,morning,4.50000000000
1,heat,11,2055,2050,heatpump,all-year,all-week,morning,4.50000000000
1,CO2f,2,2050,2040,gasboiler,all-year,all-week,morning,291.19500000000
1,CO2f,4,2055,2050,gasboiler,all-year,all-week,morning,291.19500000000
1,CO2f,8,2050,2040,gasboiler,all-year,all-week,morning,291.19500000000
1,CO2f,10,2055,2050,gasboiler,all-year,all-week,morning,291.19500000000
2,heat,2,2050,2040,gasboiler,all-year,all-week,afternoon,3.00000000000
2,heat,3,2050,2040,heatpump,all-year,all-week,afternoon,3.00000000000
2,heat,4,2055,2050,gasboiler,all-year,all-week,afternoon,3.00000000000
2,heat,5,2055,2050,heatpump,all-year,all-week,afternoon,3.00000000000
2,heat,8,2050,2040,gasboiler,all-year,all-week,afternoon,3.00000000000
2,heat,9,2050,2040,heatpump,all-year,all-week,afternoon,3.00000000000
2,heat,10,2055,2050,gasboiler,all-year,all-week,afternoon,3.00000000000
2,heat,11,2055,2050,heatpump,all-year,all-week,afternoon,3.00000000000
2,CO2f,2,2050,2040,gasboiler,all-year,all-week,afternoon,194.13000000000
2,CO2f,4,2055,2050,gasboiler,all-year,all-week,afternoon,194.13000000000
2,CO2f,8,2050,2040,gasboiler,all-year,all-week,afternoon,194.13000000000
2,CO2f,10,2055,2050,gasboiler,all-year,all-week,afternoon,194.13000000000
3,heat,2,2050,2040,gasboiler,all-year,all-week,early-peak,4.50000000000
3,heat,3,2050,2040,heatpump,all-year,all-week,early-peak,4.50000000000
3,heat,4,2055,2050,gasboiler,all-year,all-week,early-peak,4.50000000000
3,heat,5,2055,2050,heatpump,all-year,all-week,early-peak,4.50000000000
3,heat,8,2050,2040,gasboiler,all-year,all-week,early-peak,4.50000000000
3,heat,9,2050,2040,heatpump,all-year,all-week,early-peak,4.50000000000
3,heat,10,2055,2050,gasboiler,all-year,all-week,early-peak,4.50000000000
3,heat,11,2055,2050,heatpump,all-year,all-week,early-peak,4.50000000000
3,CO2f,2,2050,2040,gasboiler,all-year,all-week,early-peak,291.19500000000
3,CO2f,4,2055,2050,gasboiler,all-year,all-week,early-peak,291.19500000000
3,CO2f,8,2050,2040,gasboiler,all-year,all-week,early-peak,291.19500000000
3,CO2f,10,2055,2050,gasboiler,all-year,all-week,early-peak,291.19500000000
4,heat,2,2050,2040,gasboiler,all-year,all-week,late-peak,9.00000000000
4,heat,3,2050,2040,heatpump,all-year,all-week,late-peak,9.00000000000
4,heat,4,2055,2050,gasboiler,all-year,all-week,late-peak,9.00000000000
4,heat,5,2055,2050,heatpump,all-year,all-week,late-peak,9.00000000000
4,heat,8,2050,2040,gasboiler,all-year,all-week,late-peak,9.00000000000
4,heat,9,2050,2040,heatpump,all-year,all-week,late-peak,9.00000000000
4,heat,10,2055,2050,gasboiler,all-year,all-week,late-peak,9.00000000000
4,heat,11,2055,2050,heatpump,all-year,all-week,late-peak,9.00000000000
4,CO2f,2,2050,2040,gasboiler,all-year,all-week,late-peak,582.39000000000
4,CO2f,4,2055,2050,gasboiler,all-year,all-week,late-peak,582.39000000000
4,CO2f,8,2050,2040,gasboiler,all-year,all-week,late-peak,582.39000000000
4,CO2f,10,2055,2050,gasboiler,all-year,all-week,late-peak,582.39000000000
5,heat,2,2050,2040,gasboiler,all-year,all-week,evening,6.00000000000
5,heat,3,2050,2040,heatpump,all-year,all-week,evening,6.00000000000
5,heat,4,2055,2050,gasboiler,all-year,all-week,evening,6.00000000000
5,heat,5,2055,2050,heatpump,all-year,all-week,evening,6.00000000000
5,heat,8,2050,2040,gasboiler,all-year,all-week,evening,6.00000000000
5,heat,9,2050,2040,heatpump,all-year,all-week,evening,6.00000000000
5,heat,10,2055,2050,gasboiler,all-year,all-week,evening,6.00000000000
5,heat,11,2055,2050,heatpump,all-year,all-week,evening,6.00000000000
5,CO2f,2,2050,2040,gasboiler,all-year,all-week,evening,388.26000000000
5,CO2f,4,2055,2050,gasboiler,all-year,all-week,evening,388.26000000000
5,CO2f,8,2050,2040,gasboiler,all-year,all-week,evening,388.26000000000
5,CO2f,10,2055,2050,gasboiler,all-year,all-week,evening,388.26000000000
