technology,region,agent,type,sector,capacity,year
gasboiler,R1,A1,retrofit,residential,10.00000000000,2020
gasboiler,R2,A1,retrofit,residential,10.00000000000,2020
gasboiler,R1,A2,retrofit,residential,10.00000000000,2020
gasboiler,R2,A2,retrofit,residential,10.00000000000,2020
gasCCGT,R1,A1,retrofit,power,1.00000000000,2020
gasCCGT,R2,A1,retrofit,power,1.00000000000,2020
gasCCGT,R1,A2,retrofit,power,1.00000000000,2020
gasCCGT,R2,A2,retrofit,power,1.00000000000,2020
gassupply1,R1,A1,retrofit,gas,15.00000000000,2020
gassupply1,R2,A1,retrofit,gas,15.00000000000,2020
gassupply1,R1,A2,retrofit,gas,15.00000000000,2020
gassupply1,R2,A2,retrofit,gas,15.00000000000,2020
gasboiler,R1,A1,retrofit,residential,5.00000000000,2025
heatpump,R1,A1,retrofit,residential,7.00000000000,2025
gasboiler,R2,A1,retrofit,residential,5.00000000000,2025
heatpump,R2,A1,retrofit,residential,7.00000000000,2025
gasboiler,R1,A2,retrofit,residential,5.00000000000,2025
heatpump,R1,A2,retrofit,residential,7.00000000000,2025
gasboiler,R2,A2,retrofit,residential,5.00000000000,2025
heatpump,R2,A2,retrofit,residential,7.00000000000,2025
gasCCGT,R1,A1,retrofit,power,1.00000000000,2025
windturbine,R1,A1,retrofit,power,9.75000000000,2025
gasCCGT,R2,A1,retrofit,power,1.00000000000,2025
windturbine,R2,A1,retrofit,power,9.75000000000,2025
gasCCGT,R1,A2,retrofit,power,1.00000000000,2025
windturbine,R1,A2,retrofit,power,9.75000000000,2025
gasCCGT,R2,A2,retrofit,power,1.00000000000,2025
windturbine,R2,A2,retrofit,power,9.75000000000,2025
gassupply1,R1,A1,retrofit,gas,15.00000000000,2025
gassupply1,R2,A1,retrofit,gas,15.00000000000,2025
gassupply1,R1,A2,retrofit,gas,15.00000000000,2025
gassupply1,R2,A2,retrofit,gas,15.00000000000,2025
gasboiler,R1,A1,retrofit,residential,4.30000000000,2030
heatpump,R1,A1,retrofit,residential,10.70000000000,2030
gasboiler,R2,A1,retrofit,residential,4.30000000000,2030
heatpump,R2,A1,retrofit,residential,10.70000000000,2030
gasboiler,R1,A2,retrofit,residential,4.30000000000,2030
heatpump,R1,A2,retrofit,residential,10.70000000000,2030
gasboiler,R2,A2,retrofit,residential,4.30000000000,2030
heatpump,R2,A2,retrofit,residential,10.70000000000,2030
gasCCGT,R1,A1,retrofit,power,0.56670000000,2030
windturbine,R1,A1,retrofit,power,17.98500000000,2030
windturbine,R2,A1,retrofit,power,19.26000000000,2030
gasCCGT,R1,A2,retrofit,power,0.56670000000,2030
windturbine,R1,A2,retrofit,power,17.98500000000,2030
windturbine,R2,A2,retrofit,power,19.26000000000,2030
gassupply1,R1,A1,retrofit,gas,11.67940000000,2030
gassupply1,R2,A1,retrofit,gas,9.97600000000,2030
gassupply1,R1,A2,retrofit,gas,11.67940000000,2030
gassupply1,R2,A2,retrofit,gas,9.97600000000,2030
gasboiler,R1,A1,retrofit,residential,4.30000000000,2035
heatpump,R1,A1,retrofit,residential,13.70000000000,2035
gasboiler,R2,A1,retrofit,residential,4.30000000000,2035
heatpump,R2,A1,retrofit,residential,13.70000000000,2035
gasboiler,R1,A2,retrofit,residential,4.30000000000,2035
heatpump,R1,A2,retrofit,residential,13.70000000000,2035
gasboiler,R2,A2,retrofit,residential,4.30000000000,2035
heatpump,R2,A2,retrofit,residential,13.70000000000,2035
gasCCGT,R1,A1,retrofit,power,0.56670000000,2035
windturbine,R1,A1,retrofit,power,23.38500000000,2035
windturbine,R2,A1,retrofit,power,24.66000000000,2035
gasCCGT,R1,A2,retrofit,power,0.56670000000,2035
windturbine,R1,A2,retrofit,power,23.38500000000,2035
windturbine,R2,A2,retrofit,power,24.66000000000,2035
gassupply1,R1,A1,retrofit,gas,11.67940000000,2035
gassupply1,R2,A1,retrofit,gas,9.97600000000,2035
gassupply1,R1,A2,retrofit,gas,11.67940000000,2035
gassupply1,R2,A2,retrofit,gas,9.97600000000,2035
gasboiler,R1,A1,retrofit,residential,2.93000000000,2040
