commodity,day,hour,month,region,supply,timeslice,units_prices,year
gas,all-week,night,all-year,r1,2.2500,0,MUS$2010/PJ,2020
heat,all-week,night,all-year,r1,1.0000,0,MUS$2010/PJ,2020
CO2f,all-week,night,all-year,r1,114.7100,0,MUS$2010/kt,2020
cook,all-week,night,all-year,r1,1.0000,0,MUS$2010/PJ,2020
gas,all-week,morning,all-year,r1,2.2500,1,MUS$2010/PJ,2020
heat,all-week,morning,all-year,r1,1.5000,1,MUS$2010/PJ,2020
CO2f,all-week,morning,all-year,r1,172.0650,1,MUS$2010/kt,2020
cook,all-week,morning,all-year,r1,1.5000,1,MUS$2010/PJ,2020
gas,all-week,afternoon,all-year,r1,2.2500,2,MUS$2010/PJ,2020
heat,all-week,afternoon,all-year,r1,1.0000,2,MUS$2010/PJ,2020
CO2f,all-week,afternoon,all-year,r1,114.7100,2,MUS$2010/kt,2020
cook,all-week,afternoon,all-year,r1,1.0000,2,MUS$2010/PJ,2020
gas,all-week,early-peak,all-year,r1,2.2500,3,MUS$2010/PJ,2020
heat,all-week,early-peak,all-year,r1,1.5000,3,MUS$2010/PJ,2020
CO2f,all-week,early-peak,all-year,r1,172.0650,3,MUS$2010/kt,2020
cook,all-week,early-peak,all-year,r1,1.5000,3,MUS$2010/PJ,2020
gas,all-week,late-peak,all-year,r1,2.2500,4,MUS$2010/PJ,2020
heat,all-week,late-peak,all-year,r1,1.6667,4,MUS$2010/PJ,2020
CO2f,all-week,late-peak,all-year,r1,191.1833,4,MUS$2010/kt,2020
cook,all-week,late-peak,all-year,r1,1.6667,4,MUS$2010/PJ,2020
gas,all-week,evening,all-year,r1,2.2500,5,MUS$2010/PJ,2020
heat,all-week,evening,all-year,r1,1.6667,5,MUS$2010/PJ,2020
CO2f,all-week,evening,all-year,r1,191.1833,5,MUS$2010/kt,2020
cook,all-week,evening,all-year,r1,1.6667,5,MUS$2010/PJ,2020
electricity,all-week,night,all-year,r1,0.3375,0,MUS$2010/PJ,2025
gas,all-week,night,all-year,r1,2.6782,0,MUS$2010/PJ,2025
heat,all-week,night,all-year,r1,1.3333,0,MUS$2010/PJ,2025
CO2f,all-week,night,all-year,r1,135.4920,0,MUS$2010/kt,2025
cook,all-week,night,all-year,r1,1.3333,0,MUS$2010/PJ,2025
electricity,all-week,morning,all-year,r1,0.5062,1,MUS$2010/PJ,2025
gas,all-week,morning,all-year,r1,4.0173,1,MUS$2010/PJ,2025
heat,all-week,morning,all-year,r1,2.0000,1,MUS$2010/PJ,2025
CO2f,all-week,morning,all-year,r1,203.2380,1,MUS$2010/kt,2025
cook,all-week,morning,all-year,r1,2.0000,1,MUS$2010/PJ,2025
electricity,all-week,afternoon,all-year,r1,0.3375,2,MUS$2010/PJ,2025
gas,all-week,afternoon,all-year,r1,2.6782,2,MUS$2010/PJ,2025
heat,all-week,afternoon,all-year,r1,1.3333,2,MUS$2010/PJ,2025
CO2f,all-week,afternoon,all-year,r1,135.4920,2,MUS$2010/kt,2025
cook,all-week,afternoon,all-year,r1,1.3333,2,MUS$2010/PJ,2025
electricity,all-week,early-peak,all-year,r1,0.5062,3,MUS$2010/PJ,2025
gas,all-week,early-peak,all-year,r1,4.0173,3,MUS$2010/PJ,2025
heat,all-week,early-peak,all-year,r1,2.0000,3,MUS$2010/PJ,2025
CO2f,all-week,early-peak,all-year,r1,203.2380,3,MUS$2010/kt,2025
cook,all-week,early-peak,all-year,r1,2.0000,3,MUS$2010/PJ,2025
electricity,all-week,late-peak,all-year,r1,1.0125,4,MUS$2010/PJ,2025
gas,all-week,late-peak,all-year,r1,8.0346,4,MUS$2010/PJ,2025
heat,all-week,late-peak,all-year,r1,4.0000,4,MUS$2010/PJ,2025
CO2f,all-week,late-peak,all-year,r1,406.4760,4,MUS$2010/kt,2025
cook,all-week,late-peak,all-year,r1,4.0000,4,MUS$2010/PJ,2025
electricity,all-week,evening,all-year,r1,0.6750,5,MUS$2010/PJ,2025
gas,all-week,evening,all-year,r1,5.3564,5,MUS$2010/PJ,2025
heat,all-week,evening,all-year,r1,2.6667,5,MUS$2010/PJ,2025
CO2f,all-week,evening,all-year,r1,270.9840,5,MUS$2010/kt,2025
cook,all-week,evening,all-year,r1,2.6667,5,MUS$2010/PJ,2025
electricity,all-week,night,all-year,r1,0.8264,0,MUS$2010/PJ,2030
gas,all-week,night,all-year,r1,2.0048,0,MUS$2010/PJ,2030
heat,all-week,night,all-year,r1,1.6667,0,MUS$2010/PJ,2030
CO2f,all-week,night,all-year,r1,102.0366,0,MUS$2010/kt,2030
cook,all-week,night,all-year,r1,1.6667,0,MUS$2010/PJ,2030
electricity,all-week,morning,all-year,r1,1.2396,1,MUS$2010/PJ,2030
gas,all-week,morning,all-year,r1,3.4299,1,MUS$2010/PJ,2030
heat,all-week,morning,all-year,r1,2.5000,1,MUS$2010/PJ,2030
CO2f,all-week,morning,all-year,r1,176.2589,1,MUS$2010/kt,2030
cook,all-week,morning,all-year,r1,2.5000,1,MUS$2010/PJ,2030
electricity,all-week,afternoon,all-year,r1,0.8264,2,MUS$2010/PJ,2030
gas,all-week,afternoon,all-year,r1,2.0048,2,MUS$2010/PJ,2030
heat,all-week,afternoon,all-year,r1,1.6667,2,MUS$2010/PJ,2030
CO2f,all-week,afternoon,all-year,r1,102.0366,2,MUS$2010/kt,2030
cook,all-week,afternoon,all-year,r1,1.6667,2,MUS$2010/PJ,2030
electricity,all-week,early-peak,all-year,r1,1.2396,3,MUS$2010/PJ,2030
gas,all-week,early-peak,all-year,r1,3.4299,3,MUS$2010/PJ,2030
heat,all-week,early-peak,all-year,r1,2.5000,3,MUS$2010/PJ,2030
CO2f,all-week,early-peak,all-year,r1,176.2589,3,MUS$2010/kt,2030
cook,all-week,early-peak,all-year,r1,2.5000,3,MUS$2010/PJ,2030
electricity,all-week,late-peak,all-year,r1,2.4792,4,MUS$2010/PJ,2030
gas,all-week,late-peak,all-year,r1,7.7052,4,MUS$2010/PJ,2030
heat,all-week,late-peak,all-year,r1,5.0000,4,MUS$2010/PJ,2030
CO2f,all-week,late-peak,all-year,r1,398.9258,4,MUS$2010/kt,2030
cook,all-week,late-peak,all-year,r1,5.0000,4,MUS$2010/PJ,2030
electricity,all-week,evening,all-year,r1,1.6528,5,MUS$2010/PJ,2030
