commodity,day,hour,month,region,supply,timeslice,units_prices,year
gas,all-week,night,all-year,r1,2.2500,0,MUS$2010/PJ,2020
heat,all-week,night,all-year,r1,1.0000,0,MUS$2010/PJ,2020
CO2f,all-week,night,all-year,r1,114.7100,0,MUS$2010/kt,2020
cook,all-week,night,all-year,r1,1.0000,0,MUS$2010/PJ,2020
gas,all-week,morning,all-year,r1,2.2500,1,MUS$2010/PJ,2020
heat,all-week,morning,all-year,r1,1.5000,1,MUS$2010/PJ,2020
CO2f,all-week,morning,all-year,r1,172.0650,1,MUS$2010/kt,2020
cook,all-week,morning,all-year,r1,1.5000,1,MUS$2010/PJ,2020
gas,all-week,afternoon,all-year,r1,2.2500,2,MUS$2010/PJ,2020
heat,all-week,afternoon,all-year,r1,1.0000,2,MUS$2010/PJ,2020
CO2f,all-week,afternoon,all-year,r1,114.7100,2,MUS$2010/kt,2020
cook,all-week,afternoon,all-year,r1,1.0000,2,MUS$2010/PJ,2020
gas,all-week,early-peak,all-year,r1,2.2500,3,MUS$2010/PJ,2020
heat,all-week,early-peak,all-year,r1,1.5000,3,MUS$2010/PJ,2020
CO2f,all-week,early-peak,all-year,r1,172.0650,3,MUS$2010/kt,2020
cook,all-week,early-peak,all-year,r1,1.5000,3,MUS$2010/PJ,2020
gas,all-week,late-peak,all-year,r1,2.2500,4,MUS$2010/PJ,2020
heat,all-week,late-peak,all-year,r1,1.6667,4,MUS$2010/PJ,2020
CO2f,all-week,late-peak,all-year,r1,191.1833,4,MUS$2010/kt,2020
cook,all-week,late-peak,all-year,r1,1.6667,4,MUS$2010/PJ,2020
gas,all-week,evening,all-year,r1,2.2500,5,MUS$2010/PJ,2020
heat,all-week,evening,all-year,r1,1.6667,5,MUS$2010/PJ,2020
CO2f,all-week,evening,all-year,r1,191.1833,5,MUS$2010/kt,2020
cook,all-week,evening,all-year,r1,1.6667,5,MUS$2010/PJ,2020
electricity,all-week,night,all-year,r1,0.1688,0,MUS$2010/PJ,2025
gas,all-week,night,all-year,r1,2.8858,0,MUS$2010/PJ,2025
heat,all-week,night,all-year,r1,1.3333,0,MUS$2010/PJ,2025
CO2f,all-week,night,all-year,r1,141.1164,0,MUS$2010/kt,2025
cook,all-week,night,all-year,r1,1.3333,0,MUS$2010/PJ,2025
electricity,all-week,morning,all-year,r1,0.2531,1,MUS$2010/PJ,2025
gas,all-week,morning,all-year,r1,4.3287,1,MUS$2010/PJ,2025
heat,all-week,morning,all-year,r1,2.0000,1,MUS$2010/PJ,2025
CO2f,all-week,morning,all-year,r1,211.6747,1,MUS$2010/kt,2025
cook,all-week,morning,all-year,r1,2.0000,1,MUS$2010/PJ,2025
electricity,all-week,afternoon,all-year,r1,0.1688,2,MUS$2010/PJ,2025
gas,all-week,afternoon,all-year,r1,2.8858,2,MUS$2010/PJ,2025
heat,all-week,afternoon,all-year,r1,1.3333,2,MUS$2010/PJ,2025
CO2f,all-week,afternoon,all-year,r1,141.1164,2,MUS$2010/kt,2025
cook,all-week,afternoon,all-year,r1,1.3333,2,MUS$2010/PJ,2025
electricity,all-week,early-peak,all-year,r1,0.2531,3,MUS$2010/PJ,2025
gas,all-week,early-peak,all-year,r1,4.3287,3,MUS$2010/PJ,2025
heat,all-week,early-peak,all-year,r1,2.0000,3,MUS$2010/PJ,2025
CO2f,all-week,early-peak,all-year,r1,211.6747,3,MUS$2010/kt,2025
cook,all-week,early-peak,all-year,r1,2.0000,3,MUS$2010/PJ,2025
electricity,all-week,late-peak,all-year,r1,0.5062,4,MUS$2010/PJ,2025
gas,all-week,late-peak,all-year,r1,8.6573,4,MUS$2010/PJ,2025
heat,all-week,late-peak,all-year,r1,4.0000,4,MUS$2010/PJ,2025
CO2f,all-week,late-peak,all-year,r1,423.3493,4,MUS$2010/kt,2025
cook,all-week,late-peak,all-year,r1,4.0000,4,MUS$2010/PJ,2025
electricity,all-week,evening,all-year,r1,0.3375,5,MUS$2010/PJ,2025
gas,all-week,evening,all-year,r1,5.7715,5,MUS$2010/PJ,2025
heat,all-week,evening,all-year,r1,2.6667,5,MUS$2010/PJ,2025
CO2f,all-week,evening,all-year,r1,282.2329,5,MUS$2010/kt,2025
cook,all-week,evening,all-year,r1,2.6667,5,MUS$2010/PJ,2025
electricity,all-week,night,all-year,r1,0.4132,0,MUS$2010/PJ,2030
gas,all-week,night,all-year,r1,2.6684,0,MUS$2010/PJ,2030
heat,all-week,night,all-year,r1,1.6667,0,MUS$2010/PJ,2030
CO2f,all-week,night,all-year,r1,124.3388,0,MUS$2010/kt,2030
cook,all-week,night,all-year,r1,1.6667,0,MUS$2010/PJ,2030
electricity,all-week,morning,all-year,r1,0.6198,1,MUS$2010/PJ,2030
gas,all-week,morning,all-year,r1,4.1922,1,MUS$2010/PJ,2030
heat,all-week,morning,all-year,r1,2.5000,1,MUS$2010/PJ,2030
CO2f,all-week,morning,all-year,r1,196.9166,1,MUS$2010/kt,2030
cook,all-week,morning,all-year,r1,2.5000,1,MUS$2010/PJ,2030
electricity,all-week,afternoon,all-year,r1,0.4132,2,MUS$2010/PJ,2030
gas,all-week,afternoon,all-year,r1,2.6684,2,MUS$2010/PJ,2030
heat,all-week,afternoon,all-year,r1,1.6667,2,MUS$2010/PJ,2030
CO2f,all-week,afternoon,all-year,r1,124.3388,2,MUS$2010/kt,2030
cook,all-week,afternoon,all-year,r1,1.6667,2,MUS$2010/PJ,2030
electricity,all-week,early-peak,all-year,r1,0.6198,3,MUS$2010/PJ,2030
gas,all-week,early-peak,all-year,r1,4.1922,3,MUS$2010/PJ,2030
heat,all-week,early-peak,all-year,r1,2.5000,3,MUS$2010/PJ,2030
CO2f,all-week,early-peak,all-year,r1,196.9166,3,MUS$2010/kt,2030
cook,all-week,early-peak,all-year,r1,2.5000,3,MUS$2010/PJ,2030
electricity,all-week,late-peak,all-year,r1,1.2396,4,MUS$2010/PJ,2030
gas,all-week,late-peak,all-year,r1,9.2299,4,MUS$2010/PJ,2030
heat,all-week,late-peak,all-year,r1,5.0000,4,MUS$2010/PJ,2030
CO2f,all-week,late-peak,all-year,r1,440.2411,4,MUS$2010/kt,2030
cook,all-week,late-peak,all-year,r1,5.0000,4,MUS$2010/PJ,2030
electricity,all-week,evening,all-year,r1,0.8264,5,MUS$2010/PJ,2030
