asset,year,region,installed,technology,capacity
0,2032,R1,2020,gassupply1,17.59550000000
0,2033,R1,2020,gassupply1,17.59550000000
0,2035,R1,2020,gassupply1,17.59550000000
0,2037,R1,2020,gassupply1,17.59550000000
0,2040,R1,2020,gassupply1,17.59550000000
0,2045,R1,2020,gassupply1,17.59550000000
0,2050,R1,2020,gassupply1,17.59550000000
0,2056,R1,2020,gassupply1,17.59550000000
1,2032,R1,2022,gassupply1,38.28960000000
1,2033,R1,2022,gassupply1,38.28960000000
1,2035,R1,2022,gassupply1,38.28960000000
1,2037,R1,2022,gassupply1,38.28960000000
1,2040,R1,2022,gassupply1,38.28960000000
1,2045,R1,2022,gassupply1,38.28960000000
1,2050,R1,2022,gassupply1,38.28960000000
1,2056,R1,2022,gassupply1,38.28960000000
1,2057,R1,2022,gassupply1,38.28960000000
1,2058,R1,2022,gassupply1,38.28960000000
2,2032,R1,2024,gassupply1,4.88630000000
2,2033,R1,2024,gassupply1,4.88630000000
2,2035,R1,2024,gassupply1,4.88630000000
2,2037,R1,2024,gassupply1,4.88630000000
2,2040,R1,2024,gassupply1,4.88630000000
2,2045,R1,2024,gassupply1,4.88630000000
2,2050,R1,2024,gassupply1,4.88630000000
2,2056,R1,2024,gassupply1,4.88630000000
2,2057,R1,2024,gassupply1,4.88630000000
2,2058,R1,2024,gassupply1,4.88630000000
2,2059,R1,2024,gassupply1,4.88630000000
2,2060,R1,2024,gassupply1,4.88630000000
3,2032,R1,2028,gassupply1,101.37530000000
3,2033,R1,2028,gassupply1,101.37530000000
3,2035,R1,2028,gassupply1,101.37530000000
3,2037,R1,2028,gassupply1,101.37530000000
3,2040,R1,2028,gassupply1,101.37530000000
3,2045,R1,2028,gassupply1,101.37530000000
3,2050,R1,2028,gassupply1,101.37530000000
3,2056,R1,2028,gassupply1,101.37530000000
3,2057,R1,2028,gassupply1,101.37530000000
3,2058,R1,2028,gassupply1,101.37530000000
3,2059,R1,2028,gassupply1,101.37530000000
3,2060,R1,2028,gassupply1,101.37530000000
3,2061,R1,2028,gassupply1,101.37530000000
3,2064,R1,2028,gassupply1,101.37530000000
4,2032,R2,2020,gassupply1,13.24510000000
4,2033,R2,2020,gassupply1,13.24510000000
4,2035,R2,2020,gassupply1,13.24510000000
4,2037,R2,2020,gassupply1,13.24510000000
4,2040,R2,2020,gassupply1,13.24510000000
4,2045,R2,2020,gassupply1,13.24510000000
4,2050,R2,2020,gassupply1,13.24510000000
4,2056,R2,2020,gassupply1,13.24510000000
5,2032,R2,2022,gassupply1,23.69280000000
5,2033,R2,2022,gassupply1,23.69280000000
5,2035,R2,2022,gassupply1,23.69280000000
5,2037,R2,2022,gassupply1,23.69280000000
5,2040,R2,2022,gassupply1,23.69280000000
5,2045,R2,2022,gassupply1,23.69280000000
5,2050,R2,2022,gassupply1,23.69280000000
5,2056,R2,2022,gassupply1,23.69280000000
5,2057,R2,2022,gassupply1,23.69280000000
5,2058,R2,2022,gassupply1,23.69280000000
6,2032,R2,2028,gassupply1,33.78260000000
6,2033,R2,2028,gassupply1,33.78260000000
6,2035,R2,2028,gassupply1,33.78260000000
6,2037,R2,2028,gassupply1,33.78260000000
6,2040,R2,2028,gassupply1,33.78260000000
6,2045,R2,2028,gassupply1,33.78260000000
6,2050,R2,2028,gassupply1,33.78260000000
6,2056,R2,2028,gassupply1,33.78260000000
6,2057,R2,2028,gassupply1,33.78260000000
6,2058,R2,2028,gassupply1,33.78260000000
6,2059,R2,2028,gassupply1,33.78260000000
6,2064,R2,2028,gassupply1,33.78260000000
