agent,capacity,dst_region,installed,region,sector,technology,type,year
A1,10.00000000000,R1,2020,R1,residential,gasboiler,newcapa,2020
A1,1.00000000000,R1,2020,R1,power,gasCCGT,newcapa,2020
A1,15.00000000000,R1,2020,R1,gas,gassupply1,newcapa,2020
A1,24.00000000000,R1,2020,R1,residential,gasboiler,newcapa,2025
A1,1.00000000000,R1,2020,R1,power,gasCCGT,newcapa,2025
A1,30.93330000000,R1,2020,R1,gas,gassupply1,newcapa,2025
A1,19.00000000000,R1,2020,R1,residential,gasboiler,newcapa,2030
A1,10.00000000000,R1,2025,R1,residential,heatpump,newcapa,2030
A1,4.00000000000,R1,2025,R1,power,gasCCGT,newcapa,2030
A1,23.43330000000,R1,2020,R1,gas,gassupply1,newcapa,2030
A1,8.47780000000,R1,2025,R1,gas,gassupply1,newcapa,2030
A1,10.00000000000,R1,2025,R1,residential,heatpump,newcapa,2035
A1,26.00000000000,R1,2030,R1,residential,heatpump,newcapa,2035
A1,4.00000000000,R1,2025,R1,power,gasCCGT,newcapa,2035
A1,10.00000000000,R1,2030,R1,power,gasCCGT,newcapa,2035
A1,15.93330000000,R1,2020,R1,gas,gassupply1,newcapa,2035
A1,8.47780000000,R1,2025,R1,gas,gassupply1,newcapa,2035
A1,1.56670000000,R1,2030,R1,gas,gassupply1,newcapa,2035
A1,26.00000000000,R1,2030,R1,residential,heatpump,newcapa,2040
A1,16.00000000000,R1,2035,R1,residential,heatpump,newcapa,2040
A1,4.00000000000,R1,2025,R1,power,gasCCGT,newcapa,2040
A1,10.00000000000,R1,2030,R1,power,gasCCGT,newcapa,2040
A1,2.00000000000,R1,2035,R1,power,gasCCGT,newcapa,2040
A1,15.93330000000,R1,2020,R1,gas,gassupply1,newcapa,2040
A1,8.47780000000,R1,2025,R1,gas,gassupply1,newcapa,2040
A1,1.56670000000,R1,2030,R1,gas,gassupply1,newcapa,2040
A1,3.71110000000,R1,2035,R1,gas,gassupply1,newcapa,2040
A1,16.00000000000,R1,2035,R1,residential,heatpump,newcapa,2045
A1,32.00000000000,R1,2040,R1,residential,heatpump,newcapa,2045
A1,4.00000000000,R1,2025,R1,power,gasCCGT,newcapa,2045
A1,10.00000000000,R1,2030,R1,power,gasCCGT,newcapa,2045
A1,2.00000000000,R1,2035,R1,power,gasCCGT,newcapa,2045
A1,3.00000000000,R1,2040,R1,power,windturbine,newcapa,2045
A1,15.93330000000,R1,2020,R1,gas,gassupply1,newcapa,2045
A1,8.47780000000,R1,2025,R1,gas,gassupply1,newcapa,2045
A1,1.56670000000,R1,2030,R1,gas,gassupply1,newcapa,2045
A1,3.71110000000,R1,2035,R1,gas,gassupply1,newcapa,2045
A1,32.00000000000,R1,2040,R1,residential,heatpump,newcapa,2050
A1,22.00000000000,R1,2045,R1,residential,heatpump,newcapa,2050
A1,4.00000000000,R1,2025,R1,power,gasCCGT,newcapa,2050
A1,10.00000000000,R1,2030,R1,power,gasCCGT,newcapa,2050
A1,2.00000000000,R1,2035,R1,power,gasCCGT,newcapa,2050
A1,3.00000000000,R1,2040,R1,power,windturbine,newcapa,2050
A1,2.00000000000,R1,2045,R1,power,windturbine,newcapa,2050
A1,15.93330000000,R1,2020,R1,gas,gassupply1,newcapa,2050
A1,8.47780000000,R1,2025,R1,gas,gassupply1,newcapa,2050
A1,1.56670000000,R1,2030,R1,gas,gassupply1,newcapa,2050
A1,3.71110000000,R1,2035,R1,gas,gassupply1,newcapa,2050
