,asset,year,region,installed,technology,capacity
259,13,2060,R1,2050,gassupply1,0.00210000000
260,13,2064,R1,2050,gassupply1,0.00210000000
278,14,2060,R1,2050,gassupply2,0.00020000000
279,14,2064,R1,2050,gassupply2,0.00020000000
297,15,2060,R1,2050,gassupply3,0.00310000000
298,15,2064,R1,2050,gassupply3,0.00310000000
316,16,2060,R1,2055,gassupply1,0.00200000000
317,16,2064,R1,2055,gassupply1,0.00200000000
318,16,2065,R1,2055,gassupply1,0.00200000000
319,16,2069,R1,2055,gassupply1,0.00200000000
354,18,2060,R1,2055,gassupply3,0.00040000000
355,18,2064,R1,2055,gassupply3,0.00040000000
356,18,2065,R1,2055,gassupply3,0.00040000000
357,18,2069,R1,2055,gassupply3,0.00040000000
375,19,2065,R1,2060,gassupply1,0.00020000000
376,19,2069,R1,2060,gassupply1,0.00020000000
377,19,2070,R1,2060,gassupply1,0.00020000000
378,19,2074,R1,2060,gassupply1,0.00020000000
413,21,2065,R1,2060,gassupply3,0.00020000000
414,21,2069,R1,2060,gassupply3,0.00020000000
415,21,2070,R1,2060,gassupply3,0.00020000000
416,21,2074,R1,2060,gassupply3,0.00020000000
