,commodity,region,technology,year,supply
0,gas,R1,gassupply1,2050,0.00150000000
1,gas,R1,gassupply2,2050,0.00020000000
2,gas,R1,gassupply3,2050,0.00400000000
3,gas,R1,gassupply1,2050,0.00260000000
4,gas,R1,gassupply3,2050,0.00040000000
5,gas,R1,gassupply1,2055,0.00260000000
6,gas,R1,gassupply3,2055,0.00040000000
7,gas,R1,gassupply1,2055,0.00020000000
8,gas,R1,gassupply3,2055,0.00030000000
9,CO2f,R1,gassupply1,2050,0.00230000000
10,CO2f,R1,gassupply2,2050,0.00230000000
11,CO2f,R1,gassupply3,2050,0.06730000000
12,CO2f,R1,gassupply1,2050,0.00390000000
13,CO2f,R1,gassupply2,2050,0.00020000000
14,CO2f,R1,gassupply3,2050,0.00670000000
15,CO2f,R1,gassupply1,2055,0.00390000000
16,CO2f,R1,gassupply2,2055,0.00020000000
17,CO2f,R1,gassupply3,2055,0.00670000000
18,CO2f,R1,gassupply1,2055,0.00030000000
19,CO2f,R1,gassupply2,2055,0.00020000000
20,CO2f,R1,gassupply3,2055,0.00470000000
21,gas,R1,gassupply1,2050,0.00230000000
22,gas,R1,gassupply2,2050,0.00040000000
23,gas,R1,gassupply3,2050,0.00600000000
24,gas,R1,gassupply1,2050,0.00380000000
25,gas,R1,gassupply3,2050,0.00060000000
26,gas,R1,gassupply1,2055,0.00380000000
27,gas,R1,gassupply3,2055,0.00060000000
28,gas,R1,gassupply1,2055,0.00030000000
29,gas,R1,gassupply3,2055,0.00040000000
30,CO2f,R1,gassupply1,2050,0.00350000000
31,CO2f,R1,gassupply2,2050,0.00340000000
32,CO2f,R1,gassupply3,2050,0.10090000000
33,CO2f,R1,gassupply1,2050,0.00590000000
34,CO2f,R1,gassupply2,2050,0.00030000000
35,CO2f,R1,gassupply3,2050,0.01010000000
36,CO2f,R1,gassupply1,2055,0.00590000000
37,CO2f,R1,gassupply2,2055,0.00030000000
38,CO2f,R1,gassupply3,2055,0.01010000000
39,CO2f,R1,gassupply1,2055,0.00040000000
40,CO2f,R1,gassupply2,2055,0.00020000000
41,CO2f,R1,gassupply3,2055,0.00710000000
42,gas,R1,gassupply1,2050,0.00150000000
43,gas,R1,gassupply2,2050,0.00020000000
44,gas,R1,gassupply3,2050,0.00400000000
45,gas,R1,gassupply1,2050,0.00260000000
46,gas,R1,gassupply3,2050,0.00040000000
47,gas,R1,gassupply1,2055,0.00260000000
48,gas,R1,gassupply3,2055,0.00040000000
49,gas,R1,gassupply1,2055,0.00020000000
50,gas,R1,gassupply3,2055,0.00030000000
51,CO2f,R1,gassupply1,2050,0.00230000000
52,CO2f,R1,gassupply2,2050,0.00230000000
53,CO2f,R1,gassupply3,2050,0.06730000000
54,CO2f,R1,gassupply1,2050,0.00390000000
55,CO2f,R1,gassupply2,2050,0.00020000000
56,CO2f,R1,gassupply3,2050,0.00670000000
57,CO2f,R1,gassupply1,2055,0.00390000000
58,CO2f,R1,gassupply2,2055,0.00020000000
59,CO2f,R1,gassupply3,2055,0.00670000000
60,CO2f,R1,gassupply1,2055,0.00030000000
61,CO2f,R1,gassupply2,2055,0.00020000000
62,CO2f,R1,gassupply3,2055,0.00470000000
63,gas,R1,gassupply1,2050,0.00230000000
64,gas,R1,gassupply2,2050,0.00040000000
65,gas,R1,gassupply3,2050,0.00600000000
66,gas,R1,gassupply1,2050,0.00380000000
67,gas,R1,gassupply3,2050,0.00060000000
68,gas,R1,gassupply1,2055,0.00380000000
69,gas,R1,gassupply3,2055,0.00060000000
70,gas,R1,gassupply1,2055,0.00030000000
71,gas,R1,gassupply3,2055,0.00040000000
72,CO2f,R1,gassupply1,2050,0.00350000000
73,CO2f,R1,gassupply2,2050,0.00340000000
74,CO2f,R1,gassupply3,2050,0.10090000000
75,CO2f,R1,gassupply1,2050,0.00590000000
76,CO2f,R1,gassupply2,2050,0.00030000000
77,CO2f,R1,gassupply3,2050,0.01010000000
78,CO2f,R1,gassupply1,2055,0.00590000000
79,CO2f,R1,gassupply2,2055,0.00030000000
80,CO2f,R1,gassupply3,2055,0.01010000000
81,CO2f,R1,gassupply1,2055,0.00040000000
82,CO2f,R1,gassupply2,2055,0.00020000000
83,CO2f,R1,gassupply3,2055,0.00710000000
84,gas,R1,gassupply1,2050,0.00460000000
85,gas,R1,gassupply2,2050,0.00070000000
86,gas,R1,gassupply3,2050,0.01200000000
87,gas,R1,gassupply1,2050,0.00770000000
88,gas,R1,gassupply2,2050,0.00010000000
89,gas,R1,gassupply3,2050,0.00120000000
90,gas,R1,gassupply1,2055,0.00770000000
91,gas,R1,gassupply2,2055,0.00010000000
92,gas,R1,gassupply3,2055,0.00120000000
93,gas,R1,gassupply1,2055,0.00060000000
94,gas,R1,gassupply2,2055,0.00010000000
95,gas,R1,gassupply3,2055,0.00080000000
96,CO2f,R1,gassupply1,2050,0.00700000000
97,CO2f,R1,gassupply2,2050,0.00680000000
98,CO2f,R1,gassupply3,2050,0.20190000000
99,CO2f,R1,gassupply1,2050,0.01170000000
100,CO2f,R1,gassupply2,2050,0.00070000000
101,CO2f,R1,gassupply3,2050,0.02020000000
102,CO2f,R1,gassupply1,2055,0.01170000000
103,CO2f,R1,gassupply2,2055,0.00070000000
104,CO2f,R1,gassupply3,2055,0.02020000000
105,CO2f,R1,gassupply1,2055,0.00090000000
106,CO2f,R1,gassupply2,2055,0.00050000000
107,CO2f,R1,gassupply3,2055,0.01410000000
108,gas,R1,gassupply1,2050,0.00310000000
109,gas,R1,gassupply2,2050,0.00050000000
110,gas,R1,gassupply3,2050,0.00800000000
111,gas,R1,gassupply1,2050,0.00510000000
112,gas,R1,gassupply3,2050,0.00080000000
113,gas,R1,gassupply1,2055,0.00510000000
114,gas,R1,gassupply3,2055,0.00080000000
115,gas,R1,gassupply1,2055,0.00040000000
116,gas,R1,gassupply3,2055,0.00060000000
117,CO2f,R1,gassupply1,2050,0.00470000000
118,CO2f,R1,gassupply2,2050,0.00450000000
119,CO2f,R1,gassupply3,2050,0.13460000000
120,CO2f,R1,gassupply1,2050,0.00780000000
121,CO2f,R1,gassupply2,2050,0.00050000000
122,CO2f,R1,gassupply3,2050,0.01350000000
123,CO2f,R1,gassupply1,2055,0.00780000000
124,CO2f,R1,gassupply2,2055,0.00050000000
125,CO2f,R1,gassupply3,2055,0.01350000000
126,CO2f,R1,gassupply1,2055,0.00060000000
127,CO2f,R1,gassupply2,2055,0.00030000000
128,CO2f,R1,gassupply3,2055,0.00940000000
