,commodity,region,technology,year,consumption
0,gas,R1,gasboiler,2040,0.05590000000
1,gas,R1,gasboiler,2040,0.04550000000
2,electricity,R1,heatpump,2040,0.02360000000
3,electricity,R1,heatpump,2040,0.01490000000
4,gas,R1,gasboiler,2045,0.04550000000
5,gas,R1,gasboiler,2045,0.01180000000
6,electricity,R1,heatpump,2045,0.01490000000
7,electricity,R1,heatpump,2045,0.01470000000
8,gas,R1,gasboiler,2040,0.08390000000
9,gas,R1,gasboiler,2040,0.06830000000
10,electricity,R1,heatpump,2040,0.03540000000
11,electricity,R1,heatpump,2040,0.02230000000
12,gas,R1,gasboiler,2045,0.06830000000
13,gas,R1,gasboiler,2045,0.01770000000
14,electricity,R1,heatpump,2045,0.02230000000
15,electricity,R1,heatpump,2045,0.02200000000
16,gas,R1,gasboiler,2040,0.05590000000
17,gas,R1,gasboiler,2040,0.04550000000
18,electricity,R1,heatpump,2040,0.02360000000
19,electricity,R1,heatpump,2040,0.01490000000
20,gas,R1,gasboiler,2045,0.04550000000
21,gas,R1,gasboiler,2045,0.01180000000
22,electricity,R1,heatpump,2045,0.01490000000
23,electricity,R1,heatpump,2045,0.01470000000
24,gas,R1,gasboiler,2040,0.08390000000
25,gas,R1,gasboiler,2040,0.06830000000
26,electricity,R1,heatpump,2040,0.03540000000
27,electricity,R1,heatpump,2040,0.02230000000
28,gas,R1,gasboiler,2045,0.06830000000
29,gas,R1,gasboiler,2045,0.01770000000
30,electricity,R1,heatpump,2045,0.02230000000
31,electricity,R1,heatpump,2045,0.02200000000
32,gas,R1,gasboiler,2040,0.16770000000
33,gas,R1,gasboiler,2040,0.13660000000
34,electricity,R1,heatpump,2040,0.07090000000
35,electricity,R1,heatpump,2040,0.04460000000
36,gas,R1,gasboiler,2045,0.13660000000
37,gas,R1,gasboiler,2045,0.03540000000
38,electricity,R1,heatpump,2045,0.04460000000
39,electricity,R1,heatpump,2045,0.04400000000
40,gas,R1,gasboiler,2040,0.11180000000
41,gas,R1,gasboiler,2040,0.09110000000
42,electricity,R1,heatpump,2040,0.04730000000
43,electricity,R1,heatpump,2040,0.02970000000
44,gas,R1,gasboiler,2045,0.09110000000
45,gas,R1,gasboiler,2045,0.02360000000
46,electricity,R1,heatpump,2045,0.02970000000
47,electricity,R1,heatpump,2045,0.02930000000
