,commodity,region,technology,year,supply
0,heat,R1,gasboiler,2045,0.03930000000
1,heat,R1,gasboiler,2045,0.01020000000
2,heat,R1,heatpump,2045,0.03710000000
3,heat,R1,heatpump,2045,0.03660000000
4,heat,R1,gasboiler,2050,0.01020000000
5,heat,R1,gasboiler,2050,0.00670000000
6,heat,R1,heatpump,2050,0.03660000000
7,heat,R1,heatpump,2050,0.03330000000
8,CO2f,R1,gasboiler,2045,2.54060000000
9,CO2f,R1,gasboiler,2045,0.65830000000
10,CO2f,R1,gasboiler,2050,0.65830000000
11,CO2f,R1,gasboiler,2050,0.43050000000
12,heat,R1,gasboiler,2045,0.05890000000
13,heat,R1,gasboiler,2045,0.01530000000
14,heat,R1,heatpump,2045,0.05570000000
15,heat,R1,heatpump,2045,0.05500000000
16,heat,R1,gasboiler,2050,0.01530000000
17,heat,R1,gasboiler,2050,0.01000000000
18,heat,R1,heatpump,2050,0.05500000000
19,heat,R1,heatpump,2050,0.05000000000
20,CO2f,R1,gasboiler,2045,3.81090000000
21,CO2f,R1,gasboiler,2045,0.98750000000
22,CO2f,R1,gasboiler,2050,0.98750000000
23,CO2f,R1,gasboiler,2050,0.64570000000
24,heat,R1,gasboiler,2045,0.03930000000
25,heat,R1,gasboiler,2045,0.01020000000
26,heat,R1,heatpump,2045,0.03710000000
27,heat,R1,heatpump,2045,0.03660000000
28,heat,R1,gasboiler,2050,0.01020000000
29,heat,R1,gasboiler,2050,0.00670000000
30,heat,R1,heatpump,2050,0.03660000000
31,heat,R1,heatpump,2050,0.03330000000
32,CO2f,R1,gasboiler,2045,2.54060000000
33,CO2f,R1,gasboiler,2045,0.65830000000
34,CO2f,R1,gasboiler,2050,0.65830000000
35,CO2f,R1,gasboiler,2050,0.43050000000
36,heat,R1,gasboiler,2045,0.05890000000
37,heat,R1,gasboiler,2045,0.01530000000
38,heat,R1,heatpump,2045,0.05570000000
39,heat,R1,heatpump,2045,0.05500000000
40,heat,R1,gasboiler,2050,0.01530000000
41,heat,R1,gasboiler,2050,0.01000000000
42,heat,R1,heatpump,2050,0.05500000000
43,heat,R1,heatpump,2050,0.05000000000
44,CO2f,R1,gasboiler,2045,3.81090000000
45,CO2f,R1,gasboiler,2045,0.98750000000
46,CO2f,R1,gasboiler,2050,0.98750000000
47,CO2f,R1,gasboiler,2050,0.64570000000
48,heat,R1,gasboiler,2045,0.11780000000
49,heat,R1,gasboiler,2045,0.03050000000
50,heat,R1,heatpump,2045,0.11140000000
51,heat,R1,heatpump,2045,0.10990000000
52,heat,R1,gasboiler,2050,0.03050000000
53,heat,R1,gasboiler,2050,0.02000000000
54,heat,R1,heatpump,2050,0.10990000000
55,heat,R1,heatpump,2050,0.10000000000
56,CO2f,R1,gasboiler,2045,7.62180000000
57,CO2f,R1,gasboiler,2045,1.97500000000
58,CO2f,R1,gasboiler,2050,1.97500000000
59,CO2f,R1,gasboiler,2050,1.29140000000
60,heat,R1,gasboiler,2045,0.07850000000
61,heat,R1,gasboiler,2045,0.02030000000
62,heat,R1,heatpump,2045,0.07430000000
63,heat,R1,heatpump,2045,0.07330000000
64,heat,R1,gasboiler,2050,0.02030000000
65,heat,R1,gasboiler,2050,0.01330000000
66,heat,R1,heatpump,2050,0.07330000000
67,heat,R1,heatpump,2050,0.06660000000
68,CO2f,R1,gasboiler,2045,5.08120000000
69,CO2f,R1,gasboiler,2045,1.31660000000
70,CO2f,R1,gasboiler,2050,1.31660000000
71,CO2f,R1,gasboiler,2050,0.86090000000
