,timeslice,region,technology,year,agent,category,sector,EAC
0,"('all-year', 'all-week', 'night')",R1,gasboiler,2020,A1,retrofit,residential,9.36780060914
1,"('all-year', 'all-week', 'night')",R1,heatpump,2020,A1,retrofit,residential,11.57530143166
2,"('all-year', 'all-week', 'morning')",R1,gasboiler,2020,A1,retrofit,residential,14.43209116741
3,"('all-year', 'all-week', 'morning')",R1,heatpump,2020,A1,retrofit,residential,17.03484178938
4,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2020,A1,retrofit,residential,9.36780060914
5,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2020,A1,retrofit,residential,11.57530143166
6,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2020,A1,retrofit,residential,14.43209116741
7,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2020,A1,retrofit,residential,17.03484178938
8,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2020,A1,retrofit,residential,36.55769632779
9,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2020,A1,retrofit,residential,32.10489094790
10,"('all-year', 'all-week', 'evening')",R1,gasboiler,2020,A1,retrofit,residential,20.35121661379
11,"('all-year', 'all-week', 'evening')",R1,heatpump,2020,A1,retrofit,residential,22.27607185478
12,"('all-year', 'all-week', 'night')",R1,gasboiler,2020,A2,retrofit,residential,4.01477168963
13,"('all-year', 'all-week', 'night')",R1,heatpump,2020,A2,retrofit,residential,4.96084347071
14,"('all-year', 'all-week', 'morning')",R1,gasboiler,2020,A2,retrofit,residential,6.18518192889
15,"('all-year', 'all-week', 'morning')",R1,heatpump,2020,A2,retrofit,residential,7.30064648116
16,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2020,A2,retrofit,residential,4.01477168963
17,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2020,A2,retrofit,residential,4.96084347071
18,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2020,A2,retrofit,residential,6.18518192889
19,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2020,A2,retrofit,residential,7.30064648116
20,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2020,A2,retrofit,residential,15.66758414048
21,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2020,A2,retrofit,residential,13.75923897767
22,"('all-year', 'all-week', 'evening')",R1,gasboiler,2020,A2,retrofit,residential,8.72194997734
23,"('all-year', 'all-week', 'evening')",R1,heatpump,2020,A2,retrofit,residential,9.54688793776
24,"('all-year', 'all-week', 'night')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
25,"('all-year', 'all-week', 'night')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
26,"('all-year', 'all-week', 'morning')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
27,"('all-year', 'all-week', 'morning')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
28,"('all-year', 'all-week', 'afternoon')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
29,"('all-year', 'all-week', 'afternoon')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
30,"('all-year', 'all-week', 'early-peak')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
31,"('all-year', 'all-week', 'early-peak')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
32,"('all-year', 'all-week', 'late-peak')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
33,"('all-year', 'all-week', 'late-peak')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
34,"('all-year', 'all-week', 'evening')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
35,"('all-year', 'all-week', 'evening')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
36,"('all-year', 'all-week', 'night')",R1,gassupply1,2020,A1,retrofit,gas,85.72047852683
37,"('all-year', 'all-week', 'night')",R1,gassupply2,2020,A1,retrofit,gas,154.25459993989
