,asset,year,region,technology,installed,capacity
12,1,2055,R1,gasCCGT,2025,0.38000000000
13,1,2059,R1,gasCCGT,2025,0.38000000000
14,1,2060,R1,gasCCGT,2025,0.38000000000
15,1,2064,R1,gasCCGT,2025,0.38000000000
24,2,2055,R1,windturbine,2030,7.52330000000
25,2,2059,R1,windturbine,2030,7.52330000000
36,3,2055,R1,windturbine,2045,3.12000000000
37,3,2059,R1,windturbine,2045,3.12000000000
38,3,2060,R1,windturbine,2045,3.12000000000
39,3,2064,R1,windturbine,2045,3.12000000000
40,3,2065,R1,windturbine,2045,3.12000000000
41,3,2070,R1,windturbine,2045,3.12000000000
42,3,2074,R1,windturbine,2045,3.12000000000
48,4,2055,R1,windturbine,2050,1.77500000000
49,4,2059,R1,windturbine,2050,1.77500000000
50,4,2060,R1,windturbine,2050,1.77500000000
51,4,2064,R1,windturbine,2050,1.77500000000
52,4,2065,R1,windturbine,2050,1.77500000000
53,4,2070,R1,windturbine,2050,1.77500000000
54,4,2074,R1,windturbine,2050,1.77500000000
55,4,2075,R1,windturbine,2050,1.77500000000
56,4,2079,R1,windturbine,2050,1.77500000000
62,5,2060,R1,windturbine,2055,9.25000000000
63,5,2064,R1,windturbine,2055,9.25000000000
64,5,2065,R1,windturbine,2055,9.25000000000
65,5,2070,R1,windturbine,2055,9.25000000000
66,5,2074,R1,windturbine,2055,9.25000000000
67,5,2075,R1,windturbine,2055,9.25000000000
68,5,2079,R1,windturbine,2055,9.25000000000
69,5,2080,R1,windturbine,2055,9.25000000000
70,5,2084,R1,windturbine,2055,9.25000000000
