,commodity,region,technology,year,consumption
0,gas,R1,gasCCGT,2050,0.05710000000
1,wind,R1,windturbine,2050,0.07100000000
2,wind,R1,windturbine,2050,0.30090000000
3,wind,R1,windturbine,2050,0.12480000000
4,gas,R1,gasCCGT,2055,0.05710000000
5,wind,R1,windturbine,2055,0.30090000000
6,wind,R1,windturbine,2055,0.12480000000
7,wind,R1,windturbine,2055,0.07100000000
8,gas,R1,gasCCGT,2050,0.08570000000
9,wind,R1,windturbine,2050,0.10650000000
10,wind,R1,windturbine,2050,0.45140000000
11,wind,R1,windturbine,2050,0.18720000000
12,gas,R1,gasCCGT,2055,0.08570000000
13,wind,R1,windturbine,2055,0.45140000000
14,wind,R1,windturbine,2055,0.18720000000
15,wind,R1,windturbine,2055,0.10650000000
16,gas,R1,gasCCGT,2050,0.05710000000
17,wind,R1,windturbine,2050,0.07100000000
18,wind,R1,windturbine,2050,0.30090000000
19,wind,R1,windturbine,2050,0.12480000000
20,gas,R1,gasCCGT,2055,0.05710000000
21,wind,R1,windturbine,2055,0.30090000000
22,wind,R1,windturbine,2055,0.12480000000
23,wind,R1,windturbine,2055,0.07100000000
24,gas,R1,gasCCGT,2050,0.08570000000
25,wind,R1,windturbine,2050,0.10650000000
26,wind,R1,windturbine,2050,0.45140000000
27,wind,R1,windturbine,2050,0.18720000000
28,gas,R1,gasCCGT,2055,0.08570000000
29,wind,R1,windturbine,2055,0.45140000000
30,wind,R1,windturbine,2055,0.18720000000
31,wind,R1,windturbine,2055,0.10650000000
32,gas,R1,gasCCGT,2050,0.17130000000
33,wind,R1,windturbine,2050,0.21300000000
34,wind,R1,windturbine,2050,0.90280000000
35,wind,R1,windturbine,2050,0.37440000000
36,gas,R1,gasCCGT,2055,0.17130000000
37,wind,R1,windturbine,2055,0.90280000000
38,wind,R1,windturbine,2055,0.37440000000
39,wind,R1,windturbine,2055,0.21300000000
40,gas,R1,gasCCGT,2050,0.11420000000
41,wind,R1,windturbine,2050,0.14200000000
42,wind,R1,windturbine,2050,0.60190000000
43,wind,R1,windturbine,2050,0.24960000000
44,gas,R1,gasCCGT,2055,0.11420000000
45,wind,R1,windturbine,2055,0.60190000000
46,wind,R1,windturbine,2055,0.24960000000
47,wind,R1,windturbine,2055,0.14200000000
