,commodity,region,technology,year,supply
0,electricity,R1,windturbine,2040,0.00380000000
1,electricity,R1,gasCCGT,2040,0.02500000000
2,electricity,R1,windturbine,2040,0.05190000000
3,electricity,R1,windturbine,2040,0.21980000000
4,electricity,R1,windturbine,2045,0.00420000000
5,electricity,R1,gasCCGT,2045,0.02780000000
6,electricity,R1,windturbine,2045,0.05760000000
7,electricity,R1,windturbine,2045,0.24420000000
8,CO2f,R1,gasCCGT,2040,2.29010000000
9,CO2f,R1,gasCCGT,2045,2.54420000000
10,electricity,R1,windturbine,2040,0.00570000000
11,electricity,R1,gasCCGT,2040,0.03750000000
12,electricity,R1,windturbine,2040,0.07780000000
13,electricity,R1,windturbine,2040,0.32970000000
14,electricity,R1,windturbine,2045,0.00630000000
15,electricity,R1,gasCCGT,2045,0.04160000000
16,electricity,R1,windturbine,2045,0.08640000000
17,electricity,R1,windturbine,2045,0.36630000000
18,CO2f,R1,gasCCGT,2040,3.43520000000
19,CO2f,R1,gasCCGT,2045,3.81630000000
20,electricity,R1,windturbine,2040,0.00380000000
21,electricity,R1,gasCCGT,2040,0.02500000000
22,electricity,R1,windturbine,2040,0.05190000000
23,electricity,R1,windturbine,2040,0.21980000000
24,electricity,R1,windturbine,2045,0.00420000000
25,electricity,R1,gasCCGT,2045,0.02780000000
26,electricity,R1,windturbine,2045,0.05760000000
27,electricity,R1,windturbine,2045,0.24420000000
28,CO2f,R1,gasCCGT,2040,2.29010000000
29,CO2f,R1,gasCCGT,2045,2.54420000000
30,electricity,R1,windturbine,2040,0.00570000000
31,electricity,R1,gasCCGT,2040,0.03750000000
32,electricity,R1,windturbine,2040,0.07780000000
33,electricity,R1,windturbine,2040,0.32970000000
34,electricity,R1,windturbine,2045,0.00630000000
35,electricity,R1,gasCCGT,2045,0.04160000000
36,electricity,R1,windturbine,2045,0.08640000000
37,electricity,R1,windturbine,2045,0.36630000000
38,CO2f,R1,gasCCGT,2040,3.43520000000
39,CO2f,R1,gasCCGT,2045,3.81630000000
40,electricity,R1,windturbine,2040,0.01140000000
41,electricity,R1,gasCCGT,2040,0.07490000000
42,electricity,R1,windturbine,2040,0.15560000000
43,electricity,R1,windturbine,2040,0.65950000000
44,electricity,R1,windturbine,2045,0.01270000000
45,electricity,R1,gasCCGT,2045,0.08330000000
46,electricity,R1,windturbine,2045,0.17290000000
47,electricity,R1,windturbine,2045,0.73260000000
48,CO2f,R1,gasCCGT,2040,6.87030000000
49,CO2f,R1,gasCCGT,2045,7.63250000000
50,electricity,R1,windturbine,2040,0.00760000000
51,electricity,R1,gasCCGT,2040,0.05000000000
52,electricity,R1,windturbine,2040,0.10370000000
53,electricity,R1,windturbine,2040,0.43960000000
54,electricity,R1,windturbine,2045,0.00840000000
55,electricity,R1,gasCCGT,2045,0.05550000000
56,electricity,R1,windturbine,2045,0.11520000000
57,electricity,R1,windturbine,2045,0.48840000000
58,CO2f,R1,gasCCGT,2040,4.58020000000
59,CO2f,R1,gasCCGT,2045,5.08830000000
