,asset,year,region,technology,installed,capacity
0,0,2030,R1,gasboiler,2020,3.08250000000
1,0,2034,R1,gasboiler,2020,3.08250000000
10,1,2030,R1,gasboiler,2025,6.29300000000
11,1,2034,R1,gasboiler,2025,6.29300000000
12,1,2035,R1,gasboiler,2025,6.29300000000
13,1,2039,R1,gasboiler,2025,6.29300000000
20,2,2030,R1,heatpump,2020,1.32110000000
21,2,2034,R1,heatpump,2020,1.32110000000
30,3,2030,R1,heatpump,2025,1.58420000000
31,3,2034,R1,heatpump,2025,1.58420000000
32,3,2035,R1,heatpump,2025,1.58420000000
33,3,2039,R1,heatpump,2025,1.58420000000
42,4,2035,R1,heatpump,2030,5.28070000000
43,4,2039,R1,heatpump,2030,5.28070000000
44,4,2040,R1,heatpump,2030,5.28070000000
45,4,2044,R1,heatpump,2030,5.28070000000
