,asset,year,region,installed,technology,capacity
3,0,2040,R1,2020,gasCCGT,1.35930000000
4,0,2045,R1,2020,gasCCGT,1.35930000000
5,0,2050,R1,2020,gasCCGT,1.35930000000
6,0,2059,R1,2020,gasCCGT,1.35930000000
17,1,2040,R1,2025,gasCCGT,2.72960000000
18,1,2045,R1,2025,gasCCGT,2.72960000000
19,1,2050,R1,2025,gasCCGT,2.72960000000
20,1,2059,R1,2025,gasCCGT,2.72960000000
21,1,2060,R1,2025,gasCCGT,2.72960000000
22,1,2064,R1,2025,gasCCGT,2.72960000000
31,2,2040,R1,2030,gasCCGT,0.37040000000
32,2,2045,R1,2030,gasCCGT,0.37040000000
33,2,2050,R1,2030,gasCCGT,0.37040000000
34,2,2059,R1,2030,gasCCGT,0.37040000000
35,2,2060,R1,2030,gasCCGT,0.37040000000
36,2,2064,R1,2030,gasCCGT,0.37040000000
37,2,2065,R1,2030,gasCCGT,0.37040000000
38,2,2069,R1,2030,gasCCGT,0.37040000000
45,3,2040,R1,2035,gasCCGT,1.46670000000
46,3,2045,R1,2035,gasCCGT,1.46670000000
47,3,2050,R1,2035,gasCCGT,1.46670000000
48,3,2059,R1,2035,gasCCGT,1.46670000000
49,3,2060,R1,2035,gasCCGT,1.46670000000
50,3,2064,R1,2035,gasCCGT,1.46670000000
51,3,2065,R1,2035,gasCCGT,1.46670000000
52,3,2069,R1,2035,gasCCGT,1.46670000000
53,3,2070,R1,2035,gasCCGT,1.46670000000
54,3,2074,R1,2035,gasCCGT,1.46670000000
60,4,2045,R1,2040,windturbine,0.83330000000
61,4,2050,R1,2040,windturbine,0.83330000000
62,4,2059,R1,2040,windturbine,0.83330000000
63,4,2060,R1,2040,windturbine,0.83330000000
64,4,2064,R1,2040,windturbine,0.83330000000
65,4,2065,R1,2040,windturbine,0.83330000000
66,4,2069,R1,2040,windturbine,0.83330000000
