,commodity,region,technology,year,consumption
0,gas,R1,gasCCGT,2060,0.41030000000
1,gas,R1,gasCCGT,2060,0.05570000000
2,gas,R1,gasCCGT,2060,0.22040000000
3,wind,R1,windturbine,2060,0.03330000000
4,wind,R1,windturbine,2060,0.03330000000
5,wind,R1,windturbine,2060,0.12230000000
6,gas,R1,gasCCGT,2065,0.05570000000
7,gas,R1,gasCCGT,2065,0.22040000000
8,wind,R1,windturbine,2065,0.03330000000
9,wind,R1,windturbine,2065,0.03330000000
10,wind,R1,windturbine,2065,0.12230000000
11,wind,R1,windturbine,2065,0.24570000000
12,gas,R1,gasCCGT,2060,0.61540000000
13,gas,R1,gasCCGT,2060,0.08350000000
14,gas,R1,gasCCGT,2060,0.33070000000
15,wind,R1,windturbine,2060,0.05000000000
16,wind,R1,windturbine,2060,0.05000000000
17,wind,R1,windturbine,2060,0.18350000000
18,gas,R1,gasCCGT,2065,0.08350000000
19,gas,R1,gasCCGT,2065,0.33070000000
20,wind,R1,windturbine,2065,0.05000000000
21,wind,R1,windturbine,2065,0.05000000000
22,wind,R1,windturbine,2065,0.18350000000
23,wind,R1,windturbine,2065,0.36850000000
24,gas,R1,gasCCGT,2060,0.41030000000
25,gas,R1,gasCCGT,2060,0.05570000000
26,gas,R1,gasCCGT,2060,0.22040000000
27,wind,R1,windturbine,2060,0.03330000000
28,wind,R1,windturbine,2060,0.03330000000
29,wind,R1,windturbine,2060,0.12230000000
30,gas,R1,gasCCGT,2065,0.05570000000
31,gas,R1,gasCCGT,2065,0.22040000000
32,wind,R1,windturbine,2065,0.03330000000
33,wind,R1,windturbine,2065,0.03330000000
34,wind,R1,windturbine,2065,0.12230000000
35,wind,R1,windturbine,2065,0.24570000000
36,gas,R1,gasCCGT,2060,0.61540000000
37,gas,R1,gasCCGT,2060,0.08350000000
38,gas,R1,gasCCGT,2060,0.33070000000
39,wind,R1,windturbine,2060,0.05000000000
40,wind,R1,windturbine,2060,0.05000000000
41,wind,R1,windturbine,2060,0.18350000000
42,gas,R1,gasCCGT,2065,0.08350000000
43,gas,R1,gasCCGT,2065,0.33070000000
44,wind,R1,windturbine,2065,0.05000000000
45,wind,R1,windturbine,2065,0.05000000000
46,wind,R1,windturbine,2065,0.18350000000
47,wind,R1,windturbine,2065,0.36850000000
48,gas,R1,gasCCGT,2060,1.23080000000
49,gas,R1,gasCCGT,2060,0.16700000000
50,gas,R1,gasCCGT,2060,0.66130000000
51,wind,R1,windturbine,2060,0.10000000000
52,wind,R1,windturbine,2060,0.10000000000
53,wind,R1,windturbine,2060,0.36700000000
54,gas,R1,gasCCGT,2065,0.16700000000
55,gas,R1,gasCCGT,2065,0.66130000000
56,wind,R1,windturbine,2065,0.10000000000
57,wind,R1,windturbine,2065,0.10000000000
58,wind,R1,windturbine,2065,0.36700000000
59,wind,R1,windturbine,2065,0.73700000000
60,gas,R1,gasCCGT,2060,0.82050000000
61,gas,R1,gasCCGT,2060,0.11130000000
62,gas,R1,gasCCGT,2060,0.44090000000
63,wind,R1,windturbine,2060,0.06670000000
64,wind,R1,windturbine,2060,0.06670000000
65,wind,R1,windturbine,2060,0.24470000000
66,gas,R1,gasCCGT,2065,0.11130000000
67,gas,R1,gasCCGT,2065,0.44090000000
68,wind,R1,windturbine,2065,0.06670000000
69,wind,R1,windturbine,2065,0.06670000000
70,wind,R1,windturbine,2065,0.24470000000
71,wind,R1,windturbine,2065,0.49130000000
