,commodity,region,technology,year,supply
0,electricity,R1,gasCCGT,2040,0.12230000000
1,electricity,R1,gasCCGT,2040,0.24570000000
2,electricity,R1,gasCCGT,2040,0.03330000000
3,electricity,R1,gasCCGT,2040,0.13200000000
4,electricity,R1,gasCCGT,2045,0.12230000000
5,electricity,R1,gasCCGT,2045,0.24570000000
6,electricity,R1,gasCCGT,2045,0.03330000000
7,electricity,R1,gasCCGT,2045,0.13200000000
8,electricity,R1,windturbine,2045,0.03330000000
9,CO2f,R1,gasCCGT,2040,11.21430000000
10,CO2f,R1,gasCCGT,2040,22.52030000000
11,CO2f,R1,gasCCGT,2040,3.05570000000
12,CO2f,R1,gasCCGT,2040,12.10040000000
13,CO2f,R1,gasCCGT,2045,11.21430000000
14,CO2f,R1,gasCCGT,2045,22.52030000000
15,CO2f,R1,gasCCGT,2045,3.05570000000
16,CO2f,R1,gasCCGT,2045,12.10040000000
17,electricity,R1,gasCCGT,2040,0.18350000000
18,electricity,R1,gasCCGT,2040,0.36850000000
19,electricity,R1,gasCCGT,2040,0.05000000000
20,electricity,R1,gasCCGT,2040,0.19800000000
21,electricity,R1,gasCCGT,2045,0.18350000000
22,electricity,R1,gasCCGT,2045,0.36850000000
23,electricity,R1,gasCCGT,2045,0.05000000000
24,electricity,R1,gasCCGT,2045,0.19800000000
25,electricity,R1,windturbine,2045,0.05000000000
26,CO2f,R1,gasCCGT,2040,16.82140000000
27,CO2f,R1,gasCCGT,2040,33.78040000000
28,CO2f,R1,gasCCGT,2040,4.58350000000
29,CO2f,R1,gasCCGT,2040,18.15070000000
30,CO2f,R1,gasCCGT,2045,16.82140000000
31,CO2f,R1,gasCCGT,2045,33.78040000000
32,CO2f,R1,gasCCGT,2045,4.58350000000
33,CO2f,R1,gasCCGT,2045,18.15070000000
34,electricity,R1,gasCCGT,2040,0.12230000000
35,electricity,R1,gasCCGT,2040,0.24570000000
36,electricity,R1,gasCCGT,2040,0.03330000000
37,electricity,R1,gasCCGT,2040,0.13200000000
38,electricity,R1,gasCCGT,2045,0.12230000000
39,electricity,R1,gasCCGT,2045,0.24570000000
40,electricity,R1,gasCCGT,2045,0.03330000000
41,electricity,R1,gasCCGT,2045,0.13200000000
42,electricity,R1,windturbine,2045,0.03330000000
43,CO2f,R1,gasCCGT,2040,11.21430000000
44,CO2f,R1,gasCCGT,2040,22.52030000000
45,CO2f,R1,gasCCGT,2040,3.05570000000
46,CO2f,R1,gasCCGT,2040,12.10040000000
47,CO2f,R1,gasCCGT,2045,11.21430000000
48,CO2f,R1,gasCCGT,2045,22.52030000000
49,CO2f,R1,gasCCGT,2045,3.05570000000
50,CO2f,R1,gasCCGT,2045,12.10040000000
51,electricity,R1,gasCCGT,2040,0.18350000000
52,electricity,R1,gasCCGT,2040,0.36850000000
53,electricity,R1,gasCCGT,2040,0.05000000000
54,electricity,R1,gasCCGT,2040,0.19800000000
55,electricity,R1,gasCCGT,2045,0.18350000000
56,electricity,R1,gasCCGT,2045,0.36850000000
57,electricity,R1,gasCCGT,2045,0.05000000000
58,electricity,R1,gasCCGT,2045,0.19800000000
59,electricity,R1,windturbine,2045,0.05000000000
60,CO2f,R1,gasCCGT,2040,16.82140000000
61,CO2f,R1,gasCCGT,2040,33.78040000000
62,CO2f,R1,gasCCGT,2040,4.58350000000
63,CO2f,R1,gasCCGT,2040,18.15070000000
64,CO2f,R1,gasCCGT,2045,16.82140000000
65,CO2f,R1,gasCCGT,2045,33.78040000000
66,CO2f,R1,gasCCGT,2045,4.58350000000
67,CO2f,R1,gasCCGT,2045,18.15070000000
68,electricity,R1,gasCCGT,2040,0.36700000000
69,electricity,R1,gasCCGT,2040,0.73700000000
70,electricity,R1,gasCCGT,2040,0.10000000000
71,electricity,R1,gasCCGT,2040,0.39600000000
72,electricity,R1,gasCCGT,2045,0.36700000000
73,electricity,R1,gasCCGT,2045,0.73700000000
74,electricity,R1,gasCCGT,2045,0.10000000000
75,electricity,R1,gasCCGT,2045,0.39600000000
76,electricity,R1,windturbine,2045,0.10000000000
77,CO2f,R1,gasCCGT,2040,33.64290000000
78,CO2f,R1,gasCCGT,2040,67.56080000000
79,CO2f,R1,gasCCGT,2040,9.16700000000
80,CO2f,R1,gasCCGT,2040,36.30130000000
81,CO2f,R1,gasCCGT,2045,33.64290000000
82,CO2f,R1,gasCCGT,2045,67.56080000000
83,CO2f,R1,gasCCGT,2045,9.16700000000
84,CO2f,R1,gasCCGT,2045,36.30130000000
85,electricity,R1,gasCCGT,2040,0.24470000000
86,electricity,R1,gasCCGT,2040,0.49130000000
87,electricity,R1,gasCCGT,2040,0.06670000000
88,electricity,R1,gasCCGT,2040,0.26400000000
89,electricity,R1,gasCCGT,2045,0.24470000000
90,electricity,R1,gasCCGT,2045,0.49130000000
91,electricity,R1,gasCCGT,2045,0.06670000000
92,electricity,R1,gasCCGT,2045,0.26400000000
93,electricity,R1,windturbine,2045,0.06670000000
94,CO2f,R1,gasCCGT,2040,22.42860000000
95,CO2f,R1,gasCCGT,2040,45.04050000000
96,CO2f,R1,gasCCGT,2040,6.11130000000
97,CO2f,R1,gasCCGT,2040,24.20090000000
98,CO2f,R1,gasCCGT,2045,22.42860000000
99,CO2f,R1,gasCCGT,2045,45.04050000000
100,CO2f,R1,gasCCGT,2045,6.11130000000
101,CO2f,R1,gasCCGT,2045,24.20090000000
