,asset,year,region,technology,installed,capacity
9,1,2035,R1,gasboiler,2025,2.59650000000
10,1,2039,R1,gasboiler,2025,2.59650000000
18,2,2035,R1,heatpump,2025,5.28070000000
19,2,2039,R1,heatpump,2025,5.28070000000
27,3,2035,R1,heatpump,2030,5.28070000000
28,3,2039,R1,heatpump,2030,5.28070000000
29,3,2040,R1,heatpump,2030,5.28070000000
30,3,2044,R1,heatpump,2030,5.28070000000
38,4,2040,R1,heatpump,2035,8.75440000000
39,4,2044,R1,heatpump,2035,8.75440000000
40,4,2045,R1,heatpump,2035,8.75440000000
41,4,2049,R1,heatpump,2035,8.75440000000
