,commodity,region,technology,year,consumption
0,electricity,R1,heatpump,2050,0.23400000000
1,electricity,R1,heatpump,2050,0.36600000000
2,electricity,R1,heatpump,2055,0.36600000000
3,electricity,R1,heatpump,2055,0.23400000000
4,electricity,R1,heatpump,2050,0.35100000000
5,electricity,R1,heatpump,2050,0.54900000000
6,electricity,R1,heatpump,2055,0.54900000000
7,electricity,R1,heatpump,2055,0.35100000000
8,electricity,R1,heatpump,2050,0.23400000000
9,electricity,R1,heatpump,2050,0.36600000000
10,electricity,R1,heatpump,2055,0.36600000000
11,electricity,R1,heatpump,2055,0.23400000000
12,electricity,R1,heatpump,2050,0.35100000000
13,electricity,R1,heatpump,2050,0.54900000000
14,electricity,R1,heatpump,2055,0.54900000000
15,electricity,R1,heatpump,2055,0.35100000000
16,electricity,R1,heatpump,2050,0.70200000000
17,electricity,R1,heatpump,2050,1.09800000000
18,electricity,R1,heatpump,2055,1.09800000000
19,electricity,R1,heatpump,2055,0.70200000000
20,electricity,R1,heatpump,2050,0.46800000000
21,electricity,R1,heatpump,2050,0.73200000000
22,electricity,R1,heatpump,2055,0.73200000000
23,electricity,R1,heatpump,2055,0.46800000000
