,commodity,region,technology,year,supply
0,gas,R1,gassupply1,2050,0.28610000000
1,gas,R1,gassupply1,2055,0.28610000000
2,CO2f,R1,gassupply1,2050,0.43810000000
3,CO2f,R1,gassupply1,2055,0.43810000000
4,gas,R1,gassupply1,2050,0.42920000000
5,gas,R1,gassupply1,2055,0.42920000000
6,CO2f,R1,gassupply1,2050,0.65710000000
7,CO2f,R1,gassupply1,2055,0.65710000000
8,gas,R1,gassupply1,2050,0.28610000000
9,gas,R1,gassupply1,2055,0.28610000000
10,CO2f,R1,gassupply1,2050,0.43810000000
11,CO2f,R1,gassupply1,2055,0.43810000000
12,gas,R1,gassupply1,2050,0.42920000000
13,gas,R1,gassupply1,2055,0.42920000000
14,CO2f,R1,gassupply1,2050,0.65710000000
15,CO2f,R1,gassupply1,2055,0.65710000000
16,gas,R1,gassupply1,2050,0.85840000000
17,gas,R1,gassupply1,2055,0.85840000000
18,CO2f,R1,gassupply1,2050,1.31420000000
19,CO2f,R1,gassupply1,2055,1.31420000000
20,gas,R1,gassupply1,2050,0.57230000000
21,gas,R1,gassupply1,2055,0.57230000000
22,CO2f,R1,gassupply1,2050,0.87610000000
23,CO2f,R1,gassupply1,2055,0.87610000000
