,asset,year,region,installed,technology,capacity
17,1,2040,R1,2020,windturbine,3.05830000000
18,1,2045,R1,2020,windturbine,3.05830000000
19,1,2049,R1,2020,windturbine,3.05830000000
30,2,2040,R1,2025,windturbine,1.12500000000
31,2,2045,R1,2025,windturbine,1.12500000000
32,2,2049,R1,2025,windturbine,1.12500000000
33,2,2050,R1,2025,windturbine,1.12500000000
34,2,2054,R1,2025,windturbine,1.12500000000
43,3,2040,R1,2030,windturbine,1.66670000000
44,3,2045,R1,2030,windturbine,1.66670000000
45,3,2049,R1,2030,windturbine,1.66670000000
46,3,2050,R1,2030,windturbine,1.66670000000
47,3,2054,R1,2030,windturbine,1.66670000000
48,3,2055,R1,2030,windturbine,1.66670000000
49,3,2059,R1,2030,windturbine,1.66670000000
