,commodity,region,technology,year,supply
0,electricity,R1,windturbine,2045,0.12230000000
1,electricity,R1,windturbine,2045,0.04500000000
2,electricity,R1,windturbine,2045,0.06670000000
3,electricity,R1,windturbine,2050,0.04500000000
4,electricity,R1,windturbine,2050,0.06670000000
5,electricity,R1,windturbine,2050,0.38970000000
6,electricity,R1,windturbine,2045,0.18350000000
7,electricity,R1,windturbine,2045,0.06750000000
8,electricity,R1,windturbine,2045,0.10000000000
9,electricity,R1,windturbine,2050,0.06750000000
10,electricity,R1,windturbine,2050,0.10000000000
11,electricity,R1,windturbine,2050,0.58450000000
12,electricity,R1,windturbine,2045,0.12230000000
13,electricity,R1,windturbine,2045,0.04500000000
14,electricity,R1,windturbine,2045,0.06670000000
15,electricity,R1,windturbine,2050,0.04500000000
16,electricity,R1,windturbine,2050,0.06670000000
17,electricity,R1,windturbine,2050,0.38970000000
18,electricity,R1,windturbine,2045,0.18350000000
19,electricity,R1,windturbine,2045,0.06750000000
20,electricity,R1,windturbine,2045,0.10000000000
21,electricity,R1,windturbine,2050,0.06750000000
22,electricity,R1,windturbine,2050,0.10000000000
23,electricity,R1,windturbine,2050,0.58450000000
24,electricity,R1,windturbine,2045,0.36700000000
25,electricity,R1,windturbine,2045,0.13500000000
26,electricity,R1,windturbine,2045,0.20000000000
27,electricity,R1,windturbine,2050,0.13500000000
28,electricity,R1,windturbine,2050,0.20000000000
29,electricity,R1,windturbine,2050,1.16900000000
30,electricity,R1,windturbine,2045,0.24470000000
31,electricity,R1,windturbine,2045,0.09000000000
32,electricity,R1,windturbine,2045,0.13330000000
33,electricity,R1,windturbine,2050,0.09000000000
34,electricity,R1,windturbine,2050,0.13330000000
35,electricity,R1,windturbine,2050,0.77930000000
