,asset,year,region,installed,technology,capacity
22,2,2050,R1,2040,heatpump,6.15790000000
23,2,2054,R1,2040,heatpump,6.15790000000
32,3,2050,R1,2045,gasboiler,2.59650000000
33,3,2054,R1,2045,gasboiler,2.59650000000
34,3,2055,R1,2045,gasboiler,2.59650000000
35,3,2059,R1,2045,gasboiler,2.59650000000
42,4,2050,R1,2045,heatpump,7.03510000000
43,4,2054,R1,2045,heatpump,7.03510000000
44,4,2055,R1,2045,heatpump,7.03510000000
45,4,2059,R1,2045,heatpump,7.03510000000
54,5,2055,R1,2050,heatpump,6.15790000000
55,5,2059,R1,2050,heatpump,6.15790000000
56,5,2060,R1,2050,heatpump,6.15790000000
57,5,2064,R1,2050,heatpump,6.15790000000
