,commodity,region,technology,year,consumption
0,gas,R1,gasboiler,2025,0.77140000000
1,electricity,R1,heatpump,2025,0.16730000000
2,gas,R1,gasboiler,2030,0.86810000000
3,electricity,R1,heatpump,2030,0.16730000000
4,gas,R1,gasboiler,2025,1.15710000000
5,electricity,R1,heatpump,2025,0.25100000000
6,gas,R1,gasboiler,2030,1.30210000000
7,electricity,R1,heatpump,2030,0.25100000000
8,gas,R1,gasboiler,2025,0.77140000000
9,electricity,R1,heatpump,2025,0.16730000000
10,gas,R1,gasboiler,2030,0.86810000000
11,electricity,R1,heatpump,2030,0.16730000000
12,gas,R1,gasboiler,2025,1.15710000000
13,electricity,R1,heatpump,2025,0.25100000000
14,gas,R1,gasboiler,2030,1.30210000000
15,electricity,R1,heatpump,2030,0.25100000000
16,gas,R1,gasboiler,2025,2.31420000000
17,electricity,R1,heatpump,2025,0.50200000000
18,gas,R1,gasboiler,2030,2.60420000000
19,electricity,R1,heatpump,2030,0.50200000000
20,gas,R1,gasboiler,2025,1.54280000000
21,electricity,R1,heatpump,2025,0.33470000000
22,gas,R1,gasboiler,2030,1.73610000000
23,electricity,R1,heatpump,2030,0.33470000000
