RegionName,Attribute,Time,electricity,gas,heat,CO2f,wind
Unit,-,Year,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/kt,MUS$2010/kt
R1,CommodityPrice,2010,3.3,3,0,0,0
R1,CommodityPrice,2015,3.468333165,3.15303015,0,0,0
R1,CommodityPrice,2020,3.645253014,3.313866376,0,0,0
R1,CommodityPrice,2025,3.831197553,3.482906866,0,0.189,0
R1,CommodityPrice,2030,4.026627132,3.66057012,0,0.2187,0
R1,CommodityPrice,2035,4.232025584,3.847295985,0,0.2394,0
R1,CommodityPrice,2040,4.447901421,4.043546746,0,0.2262,0
R1,CommodityPrice,2045,4.674789095,4.249808268,0,0.2276,0
R1,CommodityPrice,2050,4.913250321,4.466591201,0,0.2276,0
R1,CommodityPrice,2055,5.163875466,4.694432242,0,0.2276,0
R1,CommodityPrice,2060,5.427285013,4.933895466,0,0.2276,0
R1,CommodityPrice,2065,5.704131092,5.18557372,0,0.2276,0
R1,CommodityPrice,2070,5.995099106,5.450090096,0,0.2276,0
R1,CommodityPrice,2075,6.300909412,5.728099465,0,0.2276,0
R1,CommodityPrice,2080,6.622319116,6.020290105,0,0.2276,0
R1,CommodityPrice,2085,6.960123946,6.327385405,0,0.2276,0
R1,CommodityPrice,2090,7.315160217,6.650145652,0,0.2276,0
R1,CommodityPrice,2095,7.688306905,6.989369914,0,0.2276,0
R1,CommodityPrice,2100,8.080487826,7.345898024,0,0.2276,0
