,commodity,region,technology,year,supply
0,gas,R1,gassupply1,2045,0.09320000000
1,gas,R1,gassupply1,2045,0.60010000000
2,gas,R1,gassupply1,2050,0.52200000000
3,CO2f,R1,gassupply1,2045,0.14260000000
4,CO2f,R1,gassupply1,2045,0.91880000000
5,CO2f,R1,gassupply1,2050,0.79920000000
6,gas,R1,gassupply1,2045,0.13970000000
7,gas,R1,gassupply1,2045,0.90020000000
8,gas,R1,gassupply1,2050,0.78300000000
9,CO2f,R1,gassupply1,2045,0.21390000000
10,CO2f,R1,gassupply1,2045,1.37820000000
11,CO2f,R1,gassupply1,2050,1.19880000000
12,gas,R1,gassupply1,2045,0.09320000000
13,gas,R1,gassupply1,2045,0.60010000000
14,gas,R1,gassupply1,2050,0.52200000000
15,CO2f,R1,gassupply1,2045,0.14260000000
16,CO2f,R1,gassupply1,2045,0.91880000000
17,CO2f,R1,gassupply1,2050,0.79920000000
18,gas,R1,gassupply1,2045,0.13970000000
19,gas,R1,gassupply1,2045,0.90020000000
20,gas,R1,gassupply1,2050,0.78300000000
21,CO2f,R1,gassupply1,2045,0.21390000000
22,CO2f,R1,gassupply1,2045,1.37820000000
23,CO2f,R1,gassupply1,2050,1.19880000000
24,gas,R1,gassupply1,2045,0.27950000000
25,gas,R1,gassupply1,2045,1.80040000000
26,gas,R1,gassupply1,2050,1.56600000000
27,CO2f,R1,gassupply1,2045,0.42790000000
28,CO2f,R1,gassupply1,2045,2.75640000000
29,CO2f,R1,gassupply1,2050,2.39750000000
30,gas,R1,gassupply1,2045,0.18630000000
31,gas,R1,gassupply1,2045,1.20030000000
32,gas,R1,gassupply1,2050,1.04400000000
33,CO2f,R1,gassupply1,2045,0.28530000000
34,CO2f,R1,gassupply1,2045,1.83760000000
35,CO2f,R1,gassupply1,2050,1.59840000000
