,asset,year,region,installed,technology,capacity
55,3,2055,R1,2030,windturbine,3.67670000000
56,3,2059,R1,2030,windturbine,3.67670000000
72,4,2055,R1,2035,windturbine,2.25670000000
73,4,2059,R1,2035,windturbine,2.25670000000
74,4,2060,R1,2035,windturbine,2.25670000000
75,4,2064,R1,2035,windturbine,2.25670000000
89,5,2055,R1,2040,windturbine,0.58330000000
90,5,2059,R1,2040,windturbine,0.58330000000
91,5,2060,R1,2040,windturbine,0.58330000000
92,5,2064,R1,2040,windturbine,0.58330000000
93,5,2065,R1,2040,windturbine,0.58330000000
94,5,2069,R1,2040,windturbine,0.58330000000
106,6,2055,R1,2045,windturbine,2.85830000000
107,6,2059,R1,2045,windturbine,2.85830000000
108,6,2060,R1,2045,windturbine,2.85830000000
109,6,2064,R1,2045,windturbine,2.85830000000
110,6,2065,R1,2045,windturbine,2.85830000000
111,6,2069,R1,2045,windturbine,2.85830000000
112,6,2070,R1,2045,windturbine,2.85830000000
113,6,2074,R1,2045,windturbine,2.85830000000
123,7,2055,R1,2050,windturbine,1.12500000000
124,7,2059,R1,2050,windturbine,1.12500000000
125,7,2060,R1,2050,windturbine,1.12500000000
126,7,2064,R1,2050,windturbine,1.12500000000
127,7,2065,R1,2050,windturbine,1.12500000000
128,7,2069,R1,2050,windturbine,1.12500000000
129,7,2070,R1,2050,windturbine,1.12500000000
130,7,2074,R1,2050,windturbine,1.12500000000
131,7,2075,R1,2050,windturbine,1.12500000000
132,7,2079,R1,2050,windturbine,1.12500000000
142,8,2060,R1,2055,windturbine,3.67670000000
143,8,2064,R1,2055,windturbine,3.67670000000
144,8,2065,R1,2055,windturbine,3.67670000000
145,8,2069,R1,2055,windturbine,3.67670000000
146,8,2070,R1,2055,windturbine,3.67670000000
147,8,2074,R1,2055,windturbine,3.67670000000
148,8,2075,R1,2055,windturbine,3.67670000000
149,8,2079,R1,2055,windturbine,3.67670000000
150,8,2080,R1,2055,windturbine,3.67670000000
151,8,2084,R1,2055,windturbine,3.67670000000
