,asset,year,region,technology,installed,capacity
9,1,2040,R1,gasboiler,2030,1.58420000000
10,1,2044,R1,gasboiler,2030,1.58420000000
18,2,2040,R1,gasboiler,2035,4.44390000000
19,2,2044,R1,gasboiler,2035,4.44390000000
20,2,2045,R1,gasboiler,2035,4.44390000000
21,2,2049,R1,gasboiler,2035,4.44390000000
29,3,2045,R1,gasboiler,2040,1.84740000000
30,3,2049,R1,gasboiler,2040,1.84740000000
31,3,2050,R1,gasboiler,2040,1.84740000000
32,3,2054,R1,gasboiler,2040,1.84740000000
36,4,2040,R1,heatpump,2030,3.69650000000
37,4,2044,R1,heatpump,2030,3.69650000000
45,5,2040,R1,heatpump,2035,4.31050000000
46,5,2044,R1,heatpump,2035,4.31050000000
47,5,2045,R1,heatpump,2035,4.31050000000
48,5,2049,R1,heatpump,2035,4.31050000000
56,6,2045,R1,heatpump,2040,4.31050000000
57,6,2049,R1,heatpump,2040,4.31050000000
58,6,2050,R1,heatpump,2040,4.31050000000
59,6,2054,R1,heatpump,2040,4.31050000000
