,commodity,region,technology,year,supply
0,heat,R1,gasboiler,2025,0.91600000000
1,heat,R1,heatpump,2025,0.16730000000
2,heat,R1,gasboiler,2030,0.25100000000
3,heat,R1,gasboiler,2030,0.74830000000
4,heat,R1,heatpump,2030,0.16730000000
5,CO2f,R1,gasboiler,2025,59.27440000000
6,CO2f,R1,gasboiler,2030,16.24220000000
7,CO2f,R1,gasboiler,2030,48.42460000000
8,heat,R1,gasboiler,2025,1.37400000000
9,heat,R1,heatpump,2025,0.25100000000
10,heat,R1,gasboiler,2030,0.37650000000
11,heat,R1,gasboiler,2030,1.12250000000
12,heat,R1,heatpump,2030,0.25100000000
13,CO2f,R1,gasboiler,2025,88.91150000000
14,CO2f,R1,gasboiler,2030,24.36330000000
15,CO2f,R1,gasboiler,2030,72.63700000000
16,heat,R1,gasboiler,2025,0.91600000000
17,heat,R1,heatpump,2025,0.16730000000
18,heat,R1,gasboiler,2030,0.25100000000
19,heat,R1,gasboiler,2030,0.74830000000
20,heat,R1,heatpump,2030,0.16730000000
21,CO2f,R1,gasboiler,2025,59.27440000000
22,CO2f,R1,gasboiler,2030,16.24220000000
23,CO2f,R1,gasboiler,2030,48.42460000000
24,heat,R1,gasboiler,2025,1.37400000000
25,heat,R1,heatpump,2025,0.25100000000
26,heat,R1,gasboiler,2030,0.37650000000
27,heat,R1,gasboiler,2030,1.12250000000
28,heat,R1,heatpump,2030,0.25100000000
29,CO2f,R1,gasboiler,2025,88.91150000000
30,CO2f,R1,gasboiler,2030,24.36330000000
31,CO2f,R1,gasboiler,2030,72.63700000000
32,heat,R1,gasboiler,2025,2.74800000000
33,heat,R1,heatpump,2025,0.50200000000
34,heat,R1,gasboiler,2030,0.75300000000
35,heat,R1,gasboiler,2030,2.24500000000
36,heat,R1,heatpump,2030,0.50200000000
37,CO2f,R1,gasboiler,2025,177.82310000000
38,CO2f,R1,gasboiler,2030,48.72660000000
39,CO2f,R1,gasboiler,2030,145.27390000000
40,heat,R1,gasboiler,2025,1.83200000000
41,heat,R1,heatpump,2025,0.33470000000
42,heat,R1,gasboiler,2030,0.50200000000
43,heat,R1,gasboiler,2030,1.49670000000
44,heat,R1,heatpump,2030,0.33470000000
45,CO2f,R1,gasboiler,2025,118.54870000000
46,CO2f,R1,gasboiler,2030,32.48440000000
47,CO2f,R1,gasboiler,2030,96.84930000000
