technology,region,agent,type,sector,capacity,year
gasboiler,R1,A1,retrofit,residential,10.00000000000,2020
gasCCGT,R1,A1,retrofit,power,1.00000000000,2020
gassupply1,R1,A1,retrofit,gas,15.00000000000,2020
gasboiler,R1,A1,retrofit,residential,5.00000000000,2025
heatpump,R1,A1,retrofit,residential,3.61110000000,2025
gasCCGT,R1,A1,retrofit,power,1.00000000000,2025
windturbine,R1,A1,retrofit,power,17.25000000000,2025
gassupply1,R1,A1,retrofit,gas,36.47000000000,2025
heatpump,R1,A1,retrofit,residential,8.56480000000,2030
windturbine,R1,A1,retrofit,power,46.25000000000,2030
gassupply1,R1,A1,retrofit,gas,28.97000000000,2030
heatpump,R1,A1,retrofit,residential,10.79480000000,2035
windturbine,R1,A1,retrofit,power,58.29170000000,2035
gassupply1,R1,A1,retrofit,gas,21.47000000000,2035
heatpump,R1,A1,retrofit,residential,12.64530000000,2040
windturbine,R1,A1,retrofit,power,68.28470000000,2040
gassupply1,R1,A1,retrofit,gas,21.47000000000,2040
heatpump,R1,A1,retrofit,residential,14.55910000000,2045
windturbine,R1,A1,retrofit,power,78.61920000000,2045
gassupply1,R1,A1,retrofit,gas,21.47000000000,2045
heatpump,R1,A1,retrofit,residential,16.46240000000,2050
windturbine,R1,A1,retrofit,power,88.89680000000,2050
gassupply1,R1,A1,retrofit,gas,21.47000000000,2050
