asset,year,region,technology,installed,capacity
0,2025,R1,gasCCGT,2020,1.00000000000
2,2025,R1,windturbine,2020,17.25000000000
2,2030,R1,windturbine,2020,17.25000000000
2,2035,R1,windturbine,2020,17.25000000000
2,2040,R1,windturbine,2020,17.25000000000
2,2045,R1,windturbine,2020,17.25000000000
2,2049,R1,windturbine,2020,17.25000000000
3,2030,R1,windturbine,2025,29.00000000000
3,2035,R1,windturbine,2025,2.25000000000
3,2040,R1,windturbine,2025,2.25000000000
3,2045,R1,windturbine,2025,2.25000000000
3,2049,R1,windturbine,2025,2.25000000000
3,2050,R1,windturbine,2025,2.25000000000
3,2054,R1,windturbine,2025,29.00000000000
