timeslice,asset,year,commodity,region,technology,installed,comm_usage,month,day,hour,consumption
0,4,2035,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,night,0.55000000000
0,4,2040,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,night,0.55000000000
0,5,2035,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,night,0.80500000000
0,5,2040,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,night,0.80500000000
0,6,2035,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,night,1.54170000000
0,6,2040,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,night,1.54170000000
0,7,2040,wind,R1,windturbine,2035,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,night,0.91720000000
1,4,2035,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,morning,0.55000000000
1,4,2040,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,morning,0.55000000000
1,5,2035,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,morning,0.80500000000
1,5,2040,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,morning,0.80500000000
1,6,2035,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,morning,1.54170000000
1,6,2040,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,morning,1.54170000000
1,7,2040,wind,R1,windturbine,2035,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,morning,0.91720000000
2,4,2035,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,afternoon,0.55000000000
2,4,2040,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,afternoon,0.55000000000
2,5,2035,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,afternoon,0.80500000000
2,5,2040,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,afternoon,0.80500000000
2,6,2035,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,afternoon,1.54170000000
2,6,2040,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,afternoon,1.54170000000
2,7,2040,wind,R1,windturbine,2035,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,afternoon,0.91720000000
3,4,2035,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,early-peak,0.55000000000
3,4,2040,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,early-peak,0.55000000000
3,5,2035,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,early-peak,0.80500000000
3,5,2040,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,early-peak,0.80500000000
3,6,2035,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,early-peak,1.54170000000
3,6,2040,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,early-peak,1.54170000000
3,7,2040,wind,R1,windturbine,2035,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,early-peak,0.91720000000
4,4,2035,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,late-peak,0.55000000000
4,4,2040,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,late-peak,0.55000000000
4,5,2035,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,late-peak,0.80500000000
4,5,2040,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,late-peak,0.80500000000
4,6,2035,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,late-peak,1.54170000000
4,6,2040,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,late-peak,1.54170000000
4,7,2040,wind,R1,windturbine,2035,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,late-peak,0.91720000000
5,4,2035,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,evening,0.55000000000
5,4,2040,wind,R1,windturbine,2020,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,evening,0.55000000000
5,5,2035,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,evening,0.80500000000
5,5,2040,wind,R1,windturbine,2025,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,evening,0.80500000000
5,6,2035,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,evening,1.54170000000
5,6,2040,wind,R1,windturbine,2030,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,evening,1.54170000000
5,7,2040,wind,R1,windturbine,2035,CommodityUsage.ENERGY|CONSUMABLE,all-year,all-week,evening,0.91720000000
