asset,year,commodity,timeslice,region,technology,installed,comm_usage,month,day,hour,supply
4,2040,electricity,0,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,1.10000000000
4,2040,electricity,1,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,early-peak,1.10000000000
4,2040,electricity,2,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,evening,1.10000000000
4,2040,electricity,3,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,late-peak,1.10000000000
4,2040,electricity,4,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,1.10000000000
4,2040,electricity,5,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,1.10000000000
4,2045,electricity,0,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,1.10000000000
4,2045,electricity,1,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,early-peak,1.10000000000
4,2045,electricity,2,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,evening,1.10000000000
4,2045,electricity,3,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,late-peak,1.10000000000
4,2045,electricity,4,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,1.10000000000
4,2045,electricity,5,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,1.10000000000
5,2040,electricity,0,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,1.61000000000
5,2040,electricity,1,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,early-peak,1.61000000000
5,2040,electricity,2,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,evening,1.61000000000
5,2040,electricity,3,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,late-peak,1.61000000000
5,2040,electricity,4,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,1.61000000000
5,2040,electricity,5,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,1.61000000000
5,2045,electricity,0,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,1.61000000000
5,2045,electricity,1,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,early-peak,1.61000000000
5,2045,electricity,2,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,evening,1.61000000000
5,2045,electricity,3,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,late-peak,1.61000000000
5,2045,electricity,4,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,1.61000000000
5,2045,electricity,5,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,1.61000000000
6,2040,electricity,0,R1,windturbine,2030,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,1.74170000000
6,2040,electricity,1,R1,windturbine,2030,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,early-peak,1.74170000000
6,2040,electricity,2,R1,windturbine,2030,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,evening,1.74170000000
6,2040,electricity,3,R1,windturbine,2030,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,late-peak,1.74170000000
6,2040,electricity,4,R1,windturbine,2030,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,1.74170000000
6,2040,electricity,5,R1,windturbine,2030,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,1.74170000000
6,2045,electricity,0,R1,windturbine,2030,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,1.74170000000
6,2045,electricity,1,R1,windturbine,2030,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,early-peak,1.74170000000
6,2045,electricity,2,R1,windturbine,2030,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,evening,1.74170000000
6,2045,electricity,3,R1,windturbine,2030,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,late-peak,1.74170000000
6,2045,electricity,4,R1,windturbine,2030,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,1.74170000000
6,2045,electricity,5,R1,windturbine,2030,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,1.74170000000
7,2040,electricity,0,R1,windturbine,2035,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,2.05810000000
7,2040,electricity,1,R1,windturbine,2035,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,early-peak,2.05810000000
7,2040,electricity,2,R1,windturbine,2035,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,evening,2.05810000000
7,2040,electricity,3,R1,windturbine,2035,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,late-peak,2.05810000000
7,2040,electricity,4,R1,windturbine,2035,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,2.05810000000
7,2040,electricity,5,R1,windturbine,2035,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,2.05810000000
7,2045,electricity,0,R1,windturbine,2035,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,2.05810000000
7,2045,electricity,1,R1,windturbine,2035,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,early-peak,2.05810000000
7,2045,electricity,2,R1,windturbine,2035,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,evening,2.05810000000
7,2045,electricity,3,R1,windturbine,2035,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,late-peak,2.05810000000
7,2045,electricity,4,R1,windturbine,2035,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,2.05810000000
7,2045,electricity,5,R1,windturbine,2035,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,2.05810000000
8,2045,electricity,0,R1,windturbine,2040,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,2.11500000000
8,2045,electricity,1,R1,windturbine,2040,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,early-peak,2.11500000000
8,2045,electricity,2,R1,windturbine,2040,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,evening,2.11500000000
8,2045,electricity,3,R1,windturbine,2040,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,late-peak,2.11500000000
8,2045,electricity,4,R1,windturbine,2040,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,2.11500000000
