RegionName,Attribute,Time,electricity,gas,CO2f
R1,CommodityPrice,2010,14.81481472,6.6759,0
R1,CommodityPrice,2015,17.89814806,6.914325,0.052913851
R1,CommodityPrice,2020,19.5,7.15275,0.08314119
R1,CommodityPrice,2025,21.93518528,8.10645,0.120069795
R1,CommodityPrice,2030,26.50925917,9.06015,0.156998399
R1,CommodityPrice,2035,26.51851861,9.2191,0.214877567
R1,CommodityPrice,2040,23.85185194,9.37805,0.272756734
R1,CommodityPrice,2045,23.97222222,9.193829337,0.35394801
R1,CommodityPrice,2050,24.06481472,9.009608674,0.435139285
R1,CommodityPrice,2055,25.3425925,8.832625604,0.542365578
R1,CommodityPrice,2060,25.53703694,8.655642534,0.649591871
R1,CommodityPrice,2065,25.32407417,8.485612708,0.780892624
R1,CommodityPrice,2070,23.36111111,8.315582883,0.912193378
R1,CommodityPrice,2075,22.27777778,8.152233126,1.078321687
R1,CommodityPrice,2080,22.25925917,7.988883368,1.244449995
R1,CommodityPrice,2085,22.17592583,7.831951236,1.4253503
R1,CommodityPrice,2090,22.03703694,7.675019103,1.606250604
R1,CommodityPrice,2095,21.94444444,7.524252461,1.73877515
R1,CommodityPrice,2100,21.39814806,7.373485819,1.871299697
