asset,year,region,installed,technology,capacity
0,2045,USA,2020,windturbine,0.00000000000
0,2049,USA,2020,windturbine,0.00000000000
0,2050,USA,2020,windturbine,0.00000000000
0,2054,USA,2020,windturbine,0.00000000000
0,2055,USA,2020,windturbine,0.00000000000
0,2059,USA,2020,windturbine,0.00000000000
0,2060,USA,2020,windturbine,0.00000000000
0,2064,USA,2020,windturbine,0.00000000000
0,2065,USA,2020,windturbine,0.00000000000
0,2069,USA,2020,windturbine,0.00000000000
0,2070,USA,2020,windturbine,0.00000000000
0,2074,USA,2020,windturbine,0.00000000000
0,2075,USA,2020,windturbine,0.00000000000
0,2079,USA,2020,windturbine,0.00000000000
0,2080,USA,2020,windturbine,0.00000000000
0,2084,USA,2020,windturbine,0.00000000000
0,2085,USA,2020,windturbine,0.00000000000
0,2089,USA,2020,windturbine,0.00000000000
0,2090,USA,2020,windturbine,0.00000000000
1,2045,USA,2025,windturbine,0.00000000000
1,2049,USA,2025,windturbine,0.00000000000
1,2050,USA,2025,windturbine,13.25079199366
1,2054,USA,2025,windturbine,13.25079199366
1,2055,USA,2025,windturbine,0.00000000000
1,2059,USA,2025,windturbine,0.00000000000
1,2060,USA,2025,windturbine,0.00000000000
1,2064,USA,2025,windturbine,0.00000000000
1,2065,USA,2025,windturbine,0.00000000000
1,2069,USA,2025,windturbine,0.00000000000
1,2070,USA,2025,windturbine,0.00000000000
1,2074,USA,2025,windturbine,0.00000000000
1,2075,USA,2025,windturbine,0.00000000000
1,2079,USA,2025,windturbine,0.00000000000
1,2080,USA,2025,windturbine,0.00000000000
1,2084,USA,2025,windturbine,0.00000000000
1,2085,USA,2025,windturbine,0.00000000000
1,2089,USA,2025,windturbine,0.00000000000
1,2090,USA,2025,windturbine,0.00000000000
2,2045,USA,2030,windturbine,0.00000000000
2,2049,USA,2030,windturbine,0.00000000000
2,2050,USA,2030,windturbine,6.00043199654
2,2054,USA,2030,windturbine,6.00043199654
2,2055,USA,2030,windturbine,6.00043199654
2,2059,USA,2030,windturbine,6.00043199654
2,2060,USA,2030,windturbine,0.00000000000
2,2064,USA,2030,windturbine,0.00000000000
2,2065,USA,2030,windturbine,0.00000000000
2,2069,USA,2030,windturbine,0.00000000000
2,2070,USA,2030,windturbine,0.00000000000
2,2074,USA,2030,windturbine,0.00000000000
2,2075,USA,2030,windturbine,0.00000000000
2,2079,USA,2030,windturbine,0.00000000000
2,2080,USA,2030,windturbine,0.00000000000
2,2084,USA,2030,windturbine,0.00000000000
2,2085,USA,2030,windturbine,0.00000000000
2,2089,USA,2030,windturbine,0.00000000000
2,2090,USA,2030,windturbine,0.00000000000
3,2045,USA,2035,windturbine,0.00000000000
3,2049,USA,2035,windturbine,0.00000000000
3,2050,USA,2035,windturbine,6.00043199654
3,2054,USA,2035,windturbine,6.00043199654
3,2055,USA,2035,windturbine,6.00043199654
3,2059,USA,2035,windturbine,6.00043199654
3,2060,USA,2035,windturbine,6.00043199654
3,2064,USA,2035,windturbine,6.00043199654
3,2065,USA,2035,windturbine,0.00000000000
3,2069,USA,2035,windturbine,0.00000000000
3,2070,USA,2035,windturbine,0.00000000000
3,2074,USA,2035,windturbine,0.00000000000
3,2075,USA,2035,windturbine,0.00000000000
3,2079,USA,2035,windturbine,0.00000000000
3,2080,USA,2035,windturbine,0.00000000000
3,2084,USA,2035,windturbine,0.00000000000
3,2085,USA,2035,windturbine,0.00000000000
3,2089,USA,2035,windturbine,0.00000000000
3,2090,USA,2035,windturbine,0.00000000000
4,2045,USA,2040,windturbine,0.00000000000
4,2049,USA,2040,windturbine,0.00000000000
4,2050,USA,2040,windturbine,6.00043199654
4,2054,USA,2040,windturbine,6.00043199654
4,2055,USA,2040,windturbine,6.00043199654
4,2059,USA,2040,windturbine,6.00043199654
4,2060,USA,2040,windturbine,6.00043199654
4,2064,USA,2040,windturbine,6.00043199654
4,2065,USA,2040,windturbine,6.00043199654
4,2069,USA,2040,windturbine,6.00043199654
4,2070,USA,2040,windturbine,0.00000000000
4,2074,USA,2040,windturbine,0.00000000000
4,2075,USA,2040,windturbine,0.00000000000
4,2079,USA,2040,windturbine,0.00000000000
4,2080,USA,2040,windturbine,0.00000000000
4,2084,USA,2040,windturbine,0.00000000000
4,2085,USA,2040,windturbine,0.00000000000
4,2089,USA,2040,windturbine,0.00000000000
4,2090,USA,2040,windturbine,0.00000000000
5,2045,USA,2045,gasCCGT,0.00000000000
5,2049,USA,2045,gasCCGT,0.00000000000
5,2050,USA,2045,gasCCGT,0.00000000000
5,2054,USA,2045,gasCCGT,0.00000000000
5,2055,USA,2045,gasCCGT,0.00000000000
5,2059,USA,2045,gasCCGT,0.00000000000
5,2060,USA,2045,gasCCGT,0.00000000000
5,2064,USA,2045,gasCCGT,0.00000000000
5,2065,USA,2045,gasCCGT,0.00000000000
5,2069,USA,2045,gasCCGT,0.00000000000
5,2070,USA,2045,gasCCGT,0.00000000000
5,2074,USA,2045,gasCCGT,0.00000000000
5,2075,USA,2045,gasCCGT,0.00000000000
5,2079,USA,2045,gasCCGT,0.00000000000
5,2080,USA,2045,gasCCGT,0.00000000000
5,2084,USA,2045,gasCCGT,0.00000000000
5,2085,USA,2045,gasCCGT,0.00000000000
5,2089,USA,2045,gasCCGT,0.00000000000
5,2090,USA,2045,gasCCGT,0.00000000000
6,2045,USA,2045,windturbine,0.00000000000
6,2049,USA,2045,windturbine,0.00000000000
6,2050,USA,2045,windturbine,22.75179998560
6,2054,USA,2045,windturbine,22.75179998560
6,2055,USA,2045,windturbine,22.75179998560
6,2059,USA,2045,windturbine,22.75179998560
6,2060,USA,2045,windturbine,22.75179998560
6,2064,USA,2045,windturbine,22.75179998560
6,2065,USA,2045,windturbine,22.75179998560
6,2069,USA,2045,windturbine,22.75179998560
6,2070,USA,2045,windturbine,22.75179998560
6,2074,USA,2045,windturbine,22.75179998560
6,2075,USA,2045,windturbine,0.00000000000
6,2079,USA,2045,windturbine,0.00000000000
6,2080,USA,2045,windturbine,0.00000000000
6,2084,USA,2045,windturbine,0.00000000000
6,2085,USA,2045,windturbine,0.00000000000
6,2089,USA,2045,windturbine,0.00000000000
6,2090,USA,2045,windturbine,0.00000000000
7,2045,USA,2050,gasCCGT,0.00000000000
7,2049,USA,2050,gasCCGT,0.00000000000
7,2050,USA,2050,gasCCGT,0.00000000000
7,2054,USA,2050,gasCCGT,0.00000000000
7,2055,USA,2050,gasCCGT,0.00000000000
7,2059,USA,2050,gasCCGT,0.00000000000
7,2060,USA,2050,gasCCGT,0.00000000000
7,2064,USA,2050,gasCCGT,0.00000000000
7,2065,USA,2050,gasCCGT,0.00000000000
7,2069,USA,2050,gasCCGT,0.00000000000
7,2070,USA,2050,gasCCGT,0.00000000000
7,2074,USA,2050,gasCCGT,0.00000000000
7,2075,USA,2050,gasCCGT,0.00000000000
7,2079,USA,2050,gasCCGT,0.00000000000
7,2080,USA,2050,gasCCGT,0.00000000000
7,2084,USA,2050,gasCCGT,0.00000000000
7,2085,USA,2050,gasCCGT,0.00000000000
7,2089,USA,2050,gasCCGT,0.00000000000
7,2090,USA,2050,gasCCGT,0.00000000000
8,2045,USA,2050,windturbine,0.00000000000
8,2049,USA,2050,windturbine,0.00000000000
8,2050,USA,2050,windturbine,0.00000000000
8,2054,USA,2050,windturbine,0.00000000000
8,2055,USA,2050,windturbine,13.25079199366
8,2059,USA,2050,windturbine,13.25079199366
8,2060,USA,2050,windturbine,13.25079199366
8,2064,USA,2050,windturbine,13.25079199366
8,2065,USA,2050,windturbine,13.25079199366
