asset,year,region,technology,installed,capacity
0,2020,USA,gasboiler,2020,10.00000000000
0,2025,USA,gasboiler,2020,5.00000002294
0,2030,USA,gasboiler,2020,0.00000000388
0,2034,USA,gasboiler,2020,0.00000002294
0,2035,USA,gasboiler,2020,0.00000000000
0,2040,USA,gasboiler,2020,0.00000000000
0,2045,USA,gasboiler,2020,0.00000000000
0,2050,USA,gasboiler,2020,0.00000000000
1,2020,USA,heatpump,2020,0.00000000000
1,2025,USA,heatpump,2020,18.99999995820
1,2030,USA,heatpump,2020,12.99999998899
1,2034,USA,heatpump,2020,18.99999995820
1,2035,USA,heatpump,2020,0.00000000000
1,2040,USA,heatpump,2020,0.00000000000
1,2045,USA,heatpump,2020,0.00000000000
1,2050,USA,heatpump,2020,0.00000000000
