asset,year,region,installed,technology,capacity
0,2045,USA,2035,gasboiler,0.00000000000
0,2049,USA,2035,gasboiler,0.00000000000
0,2050,USA,2035,gasboiler,0.00000000000
0,2054,USA,2035,gasboiler,0.00000000000
0,2055,USA,2035,gasboiler,0.00000000000
0,2059,USA,2035,gasboiler,0.00000000000
0,2060,USA,2035,gasboiler,0.00000000000
0,2064,USA,2035,gasboiler,0.00000000000
0,2065,USA,2035,gasboiler,0.00000000000
1,2045,USA,2035,heatpump,0.00000000000
1,2049,USA,2035,heatpump,0.00000000000
1,2050,USA,2035,heatpump,0.00000000000
1,2054,USA,2035,heatpump,0.00000000000
1,2055,USA,2035,heatpump,0.00000000000
1,2059,USA,2035,heatpump,0.00000000000
1,2060,USA,2035,heatpump,0.00000000000
1,2064,USA,2035,heatpump,0.00000000000
1,2065,USA,2035,heatpump,0.00000000000
2,2045,USA,2040,gasboiler,0.00000000000
2,2049,USA,2040,gasboiler,0.00000000000
2,2050,USA,2040,gasboiler,0.00000000639
2,2054,USA,2040,gasboiler,0.00000000639
2,2055,USA,2040,gasboiler,0.00000000000
2,2059,USA,2040,gasboiler,0.00000000000
2,2060,USA,2040,gasboiler,0.00000000000
2,2064,USA,2040,gasboiler,0.00000000000
2,2065,USA,2040,gasboiler,0.00000000000
3,2045,USA,2040,heatpump,0.00000000000
3,2049,USA,2040,heatpump,0.00000000000
3,2050,USA,2040,heatpump,31.00000015626
3,2054,USA,2040,heatpump,31.00000015626
3,2055,USA,2040,heatpump,0.00000000000
3,2059,USA,2040,heatpump,0.00000000000
3,2060,USA,2040,heatpump,0.00000000000
3,2064,USA,2040,heatpump,0.00000000000
3,2065,USA,2040,heatpump,0.00000000000
4,2045,USA,2045,gasboiler,0.00000000000
4,2049,USA,2045,gasboiler,0.00000000000
4,2050,USA,2045,gasboiler,0.00000000285
4,2054,USA,2045,gasboiler,0.00000000285
4,2055,USA,2045,gasboiler,0.00000000285
4,2059,USA,2045,gasboiler,0.00000000285
4,2060,USA,2045,gasboiler,0.00000000000
4,2064,USA,2045,gasboiler,0.00000000000
4,2065,USA,2045,gasboiler,0.00000000000
5,2045,USA,2045,heatpump,0.00000000000
5,2049,USA,2045,heatpump,0.00000000000
5,2050,USA,2045,heatpump,22.99999973923
5,2054,USA,2045,heatpump,22.99999973923
5,2055,USA,2045,heatpump,22.99999973923
5,2059,USA,2045,heatpump,22.99999973923
5,2060,USA,2045,heatpump,0.00000000000
5,2064,USA,2045,heatpump,0.00000000000
5,2065,USA,2045,heatpump,0.00000000000
6,2045,USA,2050,gasboiler,0.00000000000
6,2049,USA,2050,gasboiler,0.00000000000
6,2050,USA,2050,gasboiler,0.00000000000
6,2054,USA,2050,gasboiler,0.00000000000
6,2055,USA,2050,gasboiler,0.00000000033
6,2059,USA,2050,gasboiler,0.00000000033
6,2060,USA,2050,gasboiler,0.00000000033
6,2064,USA,2050,gasboiler,0.00000000033
6,2065,USA,2050,gasboiler,0.00000000000
7,2045,USA,2050,heatpump,0.00000000000
7,2049,USA,2050,heatpump,0.00000000000
7,2050,USA,2050,heatpump,0.00000000000
7,2054,USA,2050,heatpump,0.00000000000
7,2055,USA,2050,heatpump,31.00000020798
7,2059,USA,2050,heatpump,31.00000020798
7,2060,USA,2050,heatpump,31.00000020798
7,2064,USA,2050,heatpump,31.00000020798
7,2065,USA,2050,heatpump,0.00000000000
