commodity,region,year,asset,installed,technology,supply
CO2f,R1,2030,0,2010,procammonia_1,46143.86520000000
CO2f,R1,2030,1,2010,procammonia_2,34450.59030000000
CO2f,R1,2030,2,2015,procammonia_1,23891.84810000000
CO2f,R1,2030,3,2015,procammonia_2,17837.43660000000
CO2f,R1,2030,4,2025,procammonia_1,23580.95860000000
CO2f,R1,2030,5,2025,procammonia_2,17605.32930000000
CO2f,R1,2035,0,2010,procammonia_1,10138.48300000000
CO2f,R1,2035,1,2010,procammonia_2,7569.29920000000
CO2f,R1,2035,2,2015,procammonia_1,20472.61680000000
CO2f,R1,2035,3,2015,procammonia_2,15284.66960000000
CO2f,R1,2035,4,2025,procammonia_1,20206.21950000000
CO2f,R1,2035,5,2025,procammonia_2,15085.77980000000
CO2f,R1,2035,6,2030,procammonia_1,40248.34580000000
CO2f,R1,2035,7,2030,procammonia_2,30049.04900000000
ammonia,R1,2030,0,2010,procammonia_1,11.07080000000
ammonia,R1,2030,1,2010,procammonia_2,11.07080000000
ammonia,R1,2030,2,2015,procammonia_1,5.77670000000
ammonia,R1,2030,3,2015,procammonia_2,5.77670000000
ammonia,R1,2030,4,2025,procammonia_1,5.79160000000
ammonia,R1,2030,5,2025,procammonia_2,5.79160000000
ammonia,R1,2035,0,2010,procammonia_1,2.43240000000
ammonia,R1,2035,1,2010,procammonia_2,2.43240000000
ammonia,R1,2035,2,2015,procammonia_1,4.95000000000
ammonia,R1,2035,3,2015,procammonia_2,4.95000000000
ammonia,R1,2035,4,2025,procammonia_1,4.96280000000
ammonia,R1,2035,5,2025,procammonia_2,4.96280000000
ammonia,R1,2035,6,2030,procammonia_1,9.96390000000
ammonia,R1,2035,7,2030,procammonia_2,9.96390000000
