dst_region,year,asset,region,technology,installed,capacity
R1,2020,0,R1,gasCCGT,2010,120.00000000000
R1,2025,0,R1,gasCCGT,2010,96.00000000000
R1,2030,0,R1,gasCCGT,2010,76.80000000000
R1,2035,0,R1,gasCCGT,2010,61.44000000000
R1,2040,0,R1,gasCCGT,2010,49.15200000000
R1,2045,0,R1,gasCCGT,2010,39.32160000000
R1,2050,0,R1,gasCCGT,2010,31.45730000000
R2,2020,1,R2,gasCCGT,2010,100.00000000000
R2,2025,1,R2,gasCCGT,2010,70.00000000000
R2,2030,1,R2,gasCCGT,2010,49.00000000000
R2,2035,1,R2,gasCCGT,2010,34.30000000000
R2,2040,1,R2,gasCCGT,2010,24.01000000000
R2,2045,1,R2,gasCCGT,2010,16.80700000000
R2,2050,1,R2,gasCCGT,2010,11.76490000000
