region,commodity,year,timeslice,prices
R1,electricity,2020,"('all-year', 'all-week', 'afternoon')",13.98150000000
R1,electricity,2020,"('all-year', 'all-week', 'early-peak')",13.98150000000
R1,electricity,2020,"('all-year', 'all-week', 'evening')",13.98150000000
R1,electricity,2020,"('all-year', 'all-week', 'late-peak')",13.98150000000
R1,electricity,2020,"('all-year', 'all-week', 'morning')",13.98150000000
R1,electricity,2020,"('all-year', 'all-week', 'night')",13.98150000000
R1,electricity,2025,"('all-year', 'all-week', 'afternoon')",16.27780000000
R1,electricity,2025,"('all-year', 'all-week', 'early-peak')",16.27780000000
R1,electricity,2025,"('all-year', 'all-week', 'evening')",16.27780000000
R1,electricity,2025,"('all-year', 'all-week', 'late-peak')",16.27780000000
R1,electricity,2025,"('all-year', 'all-week', 'morning')",16.27780000000
R1,electricity,2025,"('all-year', 'all-week', 'night')",16.27780000000
R1,electricity,2030,"('all-year', 'all-week', 'afternoon')",17.15740000000
R1,electricity,2030,"('all-year', 'all-week', 'early-peak')",17.15740000000
R1,electricity,2030,"('all-year', 'all-week', 'evening')",17.15740000000
R1,electricity,2030,"('all-year', 'all-week', 'late-peak')",17.15740000000
R1,electricity,2030,"('all-year', 'all-week', 'morning')",17.15740000000
R1,electricity,2030,"('all-year', 'all-week', 'night')",17.15740000000
R1,electricity,2035,"('all-year', 'all-week', 'afternoon')",17.50930000000
R1,electricity,2035,"('all-year', 'all-week', 'early-peak')",17.50930000000
R1,electricity,2035,"('all-year', 'all-week', 'evening')",17.50930000000
R1,electricity,2035,"('all-year', 'all-week', 'late-peak')",17.50930000000
R1,electricity,2035,"('all-year', 'all-week', 'morning')",17.50930000000
R1,electricity,2035,"('all-year', 'all-week', 'night')",17.50930000000
R1,gas,2020,"('all-year', 'all-week', 'afternoon')",4.71680000000
R1,gas,2020,"('all-year', 'all-week', 'early-peak')",4.71680000000
R1,gas,2020,"('all-year', 'all-week', 'evening')",4.71680000000
R1,gas,2020,"('all-year', 'all-week', 'late-peak')",4.71680000000
R1,gas,2020,"('all-year', 'all-week', 'morning')",4.71680000000
R1,gas,2020,"('all-year', 'all-week', 'night')",4.71680000000
R1,gas,2025,"('all-year', 'all-week', 'afternoon')",5.12660000000
R1,gas,2025,"('all-year', 'all-week', 'early-peak')",5.12660000000
R1,gas,2025,"('all-year', 'all-week', 'evening')",5.12660000000
R1,gas,2025,"('all-year', 'all-week', 'late-peak')",5.12660000000
R1,gas,2025,"('all-year', 'all-week', 'morning')",5.12660000000
R1,gas,2025,"('all-year', 'all-week', 'night')",5.12660000000
R1,gas,2030,"('all-year', 'all-week', 'afternoon')",5.53640000000
R1,gas,2030,"('all-year', 'all-week', 'early-peak')",5.53640000000
R1,gas,2030,"('all-year', 'all-week', 'evening')",5.53640000000
R1,gas,2030,"('all-year', 'all-week', 'late-peak')",5.53640000000
R1,gas,2030,"('all-year', 'all-week', 'morning')",5.53640000000
R1,gas,2030,"('all-year', 'all-week', 'night')",5.53640000000
R1,gas,2035,"('all-year', 'all-week', 'afternoon')",5.94620000000
R1,gas,2035,"('all-year', 'all-week', 'early-peak')",5.94620000000
R1,gas,2035,"('all-year', 'all-week', 'evening')",5.94620000000
R1,gas,2035,"('all-year', 'all-week', 'late-peak')",5.94620000000
R1,gas,2035,"('all-year', 'all-week', 'morning')",5.94620000000
R1,gas,2035,"('all-year', 'all-week', 'night')",5.94620000000
R2,electricity,2020,"('all-year', 'all-week', 'afternoon')",19.13890000000
R2,electricity,2020,"('all-year', 'all-week', 'early-peak')",19.13890000000
R2,electricity,2020,"('all-year', 'all-week', 'evening')",19.13890000000
R2,electricity,2020,"('all-year', 'all-week', 'late-peak')",19.13890000000
R2,electricity,2020,"('all-year', 'all-week', 'morning')",19.13890000000
R2,electricity,2020,"('all-year', 'all-week', 'night')",19.13890000000
R2,electricity,2025,"('all-year', 'all-week', 'afternoon')",22.86110000000
R2,electricity,2025,"('all-year', 'all-week', 'early-peak')",22.86110000000
R2,electricity,2025,"('all-year', 'all-week', 'evening')",22.86110000000
R2,electricity,2025,"('all-year', 'all-week', 'late-peak')",22.86110000000
R2,electricity,2025,"('all-year', 'all-week', 'morning')",22.86110000000
R2,electricity,2025,"('all-year', 'all-week', 'night')",22.86110000000
R2,electricity,2030,"('all-year', 'all-week', 'afternoon')",24.08330000000
R2,electricity,2030,"('all-year', 'all-week', 'early-peak')",24.08330000000
R2,electricity,2030,"('all-year', 'all-week', 'evening')",24.08330000000
R2,electricity,2030,"('all-year', 'all-week', 'late-peak')",24.08330000000
R2,electricity,2030,"('all-year', 'all-week', 'morning')",24.08330000000
R2,electricity,2030,"('all-year', 'all-week', 'night')",24.08330000000
