,RegionName,ProcessName,Timeslice,electricity,gas,CO2f,wind,heat
0,R1,gasboiler,1,0,0,0,0,189
1,R1,gasboiler,2,0,0,0,0,113
2,R1,gasboiler,3,0,0,0,0,47
3,R1,gasboiler,4,0,0,0,0,57
4,R1,gasboiler,5,0,0,0,0,57
5,R1,gasboiler,6,0,0,0,0,57
6,R2,gasboiler,1,0,0,0,0,5
7,R2,gasboiler,2,0,0,0,0,3
8,R2,gasboiler,3,0,0,0,0,1
9,R2,gasboiler,4,0,0,0,0,1
10,R2,gasboiler,5,0,0,0,0,1
11,R2,gasboiler,6,0,0,0,0,1
12,R3,gasboiler,1,0,0,0,0,1436
13,R3,gasboiler,2,0,0,0,0,862
14,R3,gasboiler,3,0,0,0,0,359
15,R3,gasboiler,4,0,0,0,0,431
16,R3,gasboiler,5,0,0,0,0,431
17,R3,gasboiler,6,0,0,0,0,431
